Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																				
Дата голосования: 02.12.2007																				
																				
Наименование Избирательной комиссии:    Кызылская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98					
1	"Число избирателей, внесенных в списки избирателей"	13886	856	1645	3576	794	664	659	307	1105	479	1492	809	650	850					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	12454	1051	1600	2600	721	647	723	290	956	420	1430	716	600	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	161	10	0	0	33	0	92	0	0	0	0	0	26	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9431	745	992	2134	486	495	553	248	783	348	990	507	528	622					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	381	97	21	21	19	31	14	6	64	18	58	10	9	13					
6	Число погашенных избирательных бюллетеней	2481	199	587	445	183	121	64	36	109	54	382	199	37	65					
7	Число избирательных бюллетеней в переносных ящиках для голосования	532	97	21	21	52	31	106	6	64	18	58	10	35	13					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9425	745	992	2134	486	495	553	248	777	348	990	507	528	622					
9	Число недействительных избирательных бюллетеней	114	7	0	0	12	20	14	2	19	0	20	6	0	14					
10	Число действительных избирательных бюллетеней	9843	835	1013	2155	526	506	645	252	822	366	1028	511	563	621					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	135	10	10	15	10	10	10	10	10	10	10	10	10	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	76	10	10	15	0	2	0	0	10	0	8	5	10	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	53	4	2	7	2	3	4	1	10	3	5	2	1	9					
14	Число погашенных неиспользованных открепительных удостоверений	59	0	0	0	10	8	10	10	0	10	2	5	0	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	1	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	1.Политическая партия «Аграрная партия России»	105	10	14	35	5	8	8	0	4	0	9	2	3	7					
		1.05%	1.19%	1.38%	1.62%	0.93%	1.52%	1.21%	0.00%	0.48%	0.00%	0.86%	0.39%	0.53%	1.10%					
19	2.Всероссийская политическая партия «Гражданская Сила»	15	1	1	7	2	0	0	0	1	0	3	0	0	0					
		0.15%	0.12%	0.10%	0.32%	0.37%	0.00%	0.00%	0.00%	0.12%	0.00%	0.29%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	4	0	0	0	1	0	0	0	2	0	0	1	0	0					
		0.04%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.19%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	387	33	41	96	28	24	28	7	31	0	21	19	38	21					
		3.89%	3.92%	4.05%	4.45%	5.20%	4.56%	4.25%	2.76%	3.69%	0.00%	2.00%	3.68%	6.75%	3.31%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	7	0	1	0	0	1	1	1	0	0	0	0	1	2					
		0.07%	0.00%	0.10%	0.00%	0.00%	0.19%	0.15%	0.39%	0.00%	0.00%	0.00%	0.00%	0.18%	0.31%					
23	6.Политическая партия «Партия социальной справедливости»	16	3	0	7	0	0	1	0	1	0	2	1	0	1					
		0.16%	0.36%	0.00%	0.32%	0.00%	0.00%	0.15%	0.00%	0.12%	0.00%	0.19%	0.19%	0.00%	0.16%					
24	7.Политическая партия «Либерально-демократическая партия России»	294	45	59	106	3	12	6	1	0	0	17	27	4	14					
		2.95%	5.34%	5.82%	4.92%	0.56%	2.28%	0.91%	0.39%	0.00%	0.00%	1.62%	5.22%	0.71%	2.20%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	294	34	45	95	5	13	12	2	11	0	31	28	6	12					
		2.95%	4.04%	4.44%	4.41%	0.93%	2.47%	1.82%	0.79%	1.31%	0.00%	2.96%	5.42%	1.07%	1.89%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	83	8	10	16	4	3	2	3	6	0	12	6	4	9					
		0.83%	0.95%	0.99%	0.74%	0.74%	0.57%	0.30%	1.18%	0.71%	0.00%	1.15%	1.16%	0.71%	1.42%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	8621	698	841	1791	478	443	584	238	764	366	932	426	507	553					
		86.58%	82.90%	83.02%	83.11%	88.85%	84.22%	88.62%	93.70%	90.84%	100.00%	88.93%	82.40%	90.05%	87.09%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	17	3	1	2	0	2	3	0	2	0	1	1	0	2					
		0.17%	0.36%	0.10%	0.09%	0.00%	0.38%	0.46%	0.00%	0.24%	0.00%	0.10%	0.19%	0.00%	0.31%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
