Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																									
Дата голосования: 02.12.2007																									
																									
Наименование Избирательной комиссии:    Константиновская																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370					
1	"Число избирателей, внесенных в списки избирателей"	10701	1571	1459	1430	309	437	177	321	78	304	762	663	360	400	1044	581	220	321	264					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10811	1663	1450	1408	312	433	185	316	82	302	776	660	370	406	1047	590	225	326	260					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	7249	927	825	835	236	395	150	195	62	223	603	532	278	270	699	405	196	232	186					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	451	74	40	39	23	14	6	53	3	6	42	36	5	9	29	38	0	17	17					
6	Число погашенных избирательных бюллетеней	3111	662	585	534	53	24	29	68	17	73	131	92	87	127	319	147	29	77	57					
7	Число избирательных бюллетеней в переносных ящиках для голосования	451	74	40	39	23	14	6	53	3	6	42	36	5	9	29	38	0	17	17					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7246	926	823	835	236	395	150	195	62	223	603	532	278	270	699	405	196	232	186					
9	Число недействительных избирательных бюллетеней	77	5	4	7	4	3	0	2	1	2	2	8	3	6	10	17	0	2	1					
10	Число действительных избирательных бюллетеней	7620	995	859	867	255	406	156	246	64	227	643	560	280	273	718	426	196	247	202					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	93	10	10	9	4	5	4	4	2	4	5	5	4	4	5	5	4	5	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	84	10	10	9	4	5	4	4	1	2	3	5	4	4	5	5	4	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	52	15	6	5	3	3	1	0	1	1	1	3	0	1	2	2	1	2	5					
14	Число погашенных неиспользованных открепительных удостоверений	9	0	0	0	0	0	0	0	1	2	2	0	0	0	0	0	0	0	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	4	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
18	1.Политическая партия «Аграрная партия России»	174	22	16	24	4	7	6	1	1	6	9	15	7	7	18	15	8	5	3					
		2.26%	2.20%	1.85%	2.75%	1.54%	1.71%	3.85%	0.40%	1.54%	2.62%	1.40%	2.64%	2.47%	2.51%	2.47%	3.39%	4.08%	2.01%	1.48%					
19	2.Всероссийская политическая партия «Гражданская Сила»	24	5	5	2	0	1	0	1	0	1	0	1	2	2	0	3	0	0	1					
		0.31%	0.50%	0.58%	0.23%	0.00%	0.24%	0.00%	0.40%	0.00%	0.44%	0.00%	0.18%	0.71%	0.72%	0.00%	0.68%	0.00%	0.00%	0.49%					
20	3.Политическая партия «Демократическая партия России»	7	0	1	0	1	1	1	0	0	0	0	0	2	1	0	0	0	0	0					
		0.09%	0.00%	0.12%	0.00%	0.39%	0.24%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.71%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	994	167	138	142	33	61	13	9	14	67	33	57	19	43	59	92	12	18	17					
		12.91%	16.70%	15.99%	16.25%	12.74%	14.91%	8.33%	3.63%	21.54%	29.26%	5.12%	10.04%	6.71%	15.41%	8.10%	20.77%	6.12%	7.23%	8.37%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	40	11	8	6	0	3	0	0	0	2	3	1	0	4	0	1	0	1	0					
		0.52%	1.10%	0.93%	0.69%	0.00%	0.73%	0.00%	0.00%	0.00%	0.87%	0.47%	0.18%	0.00%	1.43%	0.00%	0.23%	0.00%	0.40%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	8	0	1	0	0	0	0	0	0	0	2	0	0	1	1	2	0	0	1					
		0.10%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.36%	0.14%	0.45%	0.00%	0.00%	0.49%					
24	7.Политическая партия «Либерально-демократическая партия России»	571	67	65	72	20	37	20	18	3	36	34	24	22	23	59	32	12	9	18					
		7.42%	6.70%	7.53%	8.24%	7.72%	9.05%	12.82%	7.26%	4.62%	15.72%	5.27%	4.23%	7.77%	8.24%	8.10%	7.22%	6.12%	3.61%	8.87%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	237	46	37	40	15	8	4	2	0	1	10	8	6	6	18	24	5	4	3					
		3.08%	4.60%	4.29%	4.58%	5.79%	1.96%	2.56%	0.81%	0.00%	0.44%	1.55%	1.41%	2.12%	2.15%	2.47%	5.42%	2.55%	1.61%	1.48%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	43	4	5	4	2	1	2	3	1	2	3	4	5	3	1	2	0	0	1					
		0.56%	0.40%	0.58%	0.46%	0.77%	0.24%	1.28%	1.21%	1.54%	0.87%	0.47%	0.70%	1.77%	1.08%	0.14%	0.45%	0.00%	0.00%	0.49%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	5501	667	583	575	178	287	109	209	44	112	547	448	217	182	562	255	159	209	158					
		71.47%	66.70%	67.56%	65.79%	68.73%	70.17%	69.87%	84.27%	67.69%	48.91%	84.81%	78.87%	76.68%	65.23%	77.20%	57.56%	81.12%	83.94%	77.83%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	21	6	0	2	2	0	1	3	1	0	2	2	0	1	0	0	0	1	0					
		0.27%	0.60%	0.00%	0.23%	0.77%	0.00%	0.64%	1.21%	1.54%	0.00%	0.31%	0.35%	0.00%	0.36%	0.00%	0.00%	0.00%	0.40%	0.00%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
