Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																									
Дата голосования: 07.12.2003 0:00:00																																									
																																									
Наименование Избирательной комиссии:    Котельничская																																									
																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																									
																																									
		Сумма	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622					
1	"Число избирателей, внесенных в списки"	16013	358	1149	1158	141	396	619	174	247	336	201	153	449	100	970	818	230	284	435	964	71	436	728	209	139	142	623	250	1323	526	139	355	235	967	688					
2	"Число бюллетеней, полученных участковыми комиссиями"	15510	362	1050	1050	142	396	600	186	243	336	204	153	440	101	950	800	231	281	441	900	72	434	700	208	139	145	600	251	1200	512	184	358	231	950	660					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	8681	179	541	551	80	235	318	81	152	185	104	89	243	54	517	417	146	170	213	542	55	235	398	150	71	98	302	174	714	291	122	209	129	584	332					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1196	52	60	65	0	31	48	22	16	18	19	15	34	20	33	54	23	31	39	55	8	34	57	10	9	13	95	12	45	52	17	52	34	46	77					
6	Число погашенных бюллетеней	5633	131	449	434	62	130	234	83	75	133	81	49	163	27	400	329	62	80	189	303	9	165	245	48	59	34	203	65	441	169	45	97	68	320	251					
7	Число бюллетеней в переносных ящиках для голосования	1196	52	60	65	0	31	48	22	16	18	19	15	34	20	33	54	23	31	39	55	8	34	57	10	9	13	95	12	45	52	17	52	34	46	77					
8	Число бюллетеней в стационарных ящиках для голосования	8676	179	540	551	80	235	318	81	152	185	104	89	243	54	517	416	146	170	213	542	55	235	398	150	71	98	302	174	714	291	122	209	127	583	332					
9	Число недействительных бюллетеней	209	1	12	11	0	8	22	6	2	1	3	2	8	1	3	9	5	2	4	8	1	5	10	3	2	2	9	4	30	6	4	7	4	8	6					
10	Число действительных бюллетеней	9663	230	588	605	80	258	344	97	166	202	120	102	269	73	547	461	164	199	248	589	62	264	445	157	78	109	388	182	729	337	135	254	157	621	403					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	286	6	20	20	3	7	11	3	4	6	4	3	8	2	17	14	4	5	11	16	2	10	13	4	3	3	11	4	20	9	3	6	4	18	12					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	125	3	9	1	0	3	9	0	1	1	4	1	5	0	5	4	0	0	8	7	0	10	6	1	1	0	9	3	13	8	2	2	0	6	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	79	2	3	3	1	4	4	3	2	2	0	3	4	2	4	2	0	1	1	8	1	1	2	0	3	0	3	1	1	0	3	2	5	5	3					
14	Число погашенных открепительных удостоверений	161	3	11	19	3	4	2	3	3	5	0	2	3	2	12	10	4	5	3	9	2	0	7	3	2	3	2	1	7	1	1	4	4	12	9					
15	Число открепительных удостоверений выданных ТИК	8	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																									
