Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																										
Дата голосования: 02.12.2007																																										
																																										
Наименование Избирательной комиссии:    Бурзянская																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705					
1	"Число избирателей, внесенных в списки избирателей"	10203	312	255	211	779	246	232	259	210	393	30	233	174	107	298	196	382	276	293	30	167	322	1356	501	322	589	264	239	228	284	66	168	288	231	197	65					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	10168	306	261	209	780	249	232	262	214	393	30	234	174	105	297	200	370	276	290	32	167	327	1337	498	307	574	264	239	228	286	66	172	290	231	200	68					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	9718	292	247	209	733	232	224	256	207	377	30	226	174	105	285	188	342	261	290	30	167	322	1214	478	306	561	247	230	223	276	66	163	282	231	190	54					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	271	14	7	0	36	9	8	3	3	16	0	7	0	0	10	6	28	12	0	0	0	0	44	4	0	10	17	5	0	8	0	5	6	0	2	11					
6	Число погашенных избирательных бюллетеней	179	0	7	0	11	8	0	3	4	0	0	1	0	0	2	6	0	3	0	2	0	5	79	16	1	3	0	4	5	2	0	4	2	0	8	3					
7	Число избирательных бюллетеней в переносных ящиках для голосования	271	14	7	0	36	9	8	3	3	16	0	7	0	0	10	6	28	12	0	0	0	0	44	4	0	10	17	5	0	8	0	5	6	0	2	11					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	9718	292	247	209	733	232	224	256	207	377	30	226	174	105	285	188	342	261	290	30	167	322	1214	478	306	561	247	230	223	276	66	163	282	231	190	54					
9	Число недействительных избирательных бюллетеней	157	5	1	0	30	2	5	7	7	0	0	4	5	1	13	0	9	1	1	0	0	0	5	5	1	5	15	1	15	9	0	0	2	8	0	0					
10	Число действительных избирательных бюллетеней	9832	301	253	209	739	239	227	252	203	393	30	229	169	104	282	194	361	272	289	30	167	322	1253	477	305	566	249	234	208	275	66	168	286	223	192	65					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	150	3	3	3	10	3	3	0	3	3	2	3	3	3	4	3	3	3	0	2	3	3	38	9	3	10	3	3	3	3	0	3	3	3	3	3					
