Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																									
Дата голосования: 07.12.2003 0:00:00																									
																									
Наименование Избирательной комиссии:    Фрязинская городская																									
																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																									
																									
		Сумма	УИК №2871	УИК №2872	УИК №2873	УИК №2874	УИК №2875	УИК №2876	УИК №2877	УИК №2878	УИК №2879	УИК №2880	УИК №2881	УИК №2882	УИК №2883	УИК №2884	УИК №2885	УИК №2886	УИК №2887	УИК №2888					
1	"Число избирателей, внесенных в списки"	43782	2842	2162	2442	2123	2057	2680	2618	2153	2375	2537	2465	2956	2668	2822	2892	2895	2537	558					
2	"Число бюллетеней, полученных участковыми комиссиями"	40720	2600	2000	2200	2000	2000	2500	2500	2000	2200	2500	2300	2700	2500	2600	2700	2600	2300	520					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	23563	1314	990	1359	1110	1115	1568	1493	1135	1290	1406	1418	1507	1499	1640	1566	1562	1351	240					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	454	38	27	38	17	37	24	30	31	32	30	11	23	25	27	19	23	22	0					
6	Число погашенных бюллетеней	16705	1248	983	803	873	848	908	979	834	878	1064	871	1170	976	933	1115	1015	927	280					
7	Число бюллетеней в переносных ящиках для голосования	454	38	27	38	17	37	24	30	31	32	30	11	23	25	27	19	23	22	0					
8	Число бюллетеней в стационарных ящиках для голосования	23471	1310	990	1355	1106	1113	1566	1493	1135	1290	1399	1416	1503	1474	1629	1557	1550	1345	240					
9	Число недействительных бюллетеней	210	16	7	11	17	11	10	11	16	8	30	9	9	13	11	11	8	10	2					
10	Число действительных бюллетеней	23715	1332	1010	1382	1106	1139	1580	1512	1150	1314	1399	1418	1517	1486	1645	1565	1565	1357	238					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	520	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	198	12	12	16	9	8	16	12	11	9	15	14	17	17	10	6	8	5	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	107	9	7	10	4	14	4	8	5	5	5	5	6	1	4	4	5	7	4					
14	Число погашенных открепительных удостоверений	322	18	18	14	21	22	14	18	19	21	15	16	13	13	20	24	22	25	9					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0					
																									
18	"1. ""ЕДИНЕНИЕ"""	118	6	5	17	5	5	3	8	7	6	4	8	7	10	6	9	3	8	1					
		0.49%	0.44%	0.49%	1.22%	0.44%	0.43%	0.18%	0.52%	0.60%	0.45%	0.27%	0.56%	0.45%	0.66%	0.36%	0.57%	0.19%	0.58%	0.41%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	1434	59	41	91	78	82	155	95	41	72	52	88	90	80	111	103	89	93	14					
		5.99%	4.37%	4.03%	6.53%	6.94%	7.13%	9.74%	6.23%	3.51%	5.44%	3.63%	6.16%	5.89%	5.33%	6.70%	6.53%	5.65%	6.80%	5.83%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	511	31	25	28	15	23	25	25	29	39	41	36	24	47	34	35	30	22	2					
		2.13%	2.29%	2.45%	2.01%	1.33%	2.0%	1.57%	1.64%	2.48%	2.95%	2.86%	2.52%	1.57%	3.13%	2.05%	2.22%	1.90%	1.60%	0.83%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	2325	99	107	150	138	133	209	164	104	99	96	123	147	139	150	144	157	140	26					
		9.71%	7.34%	10.52%	10.76%	12.28%	11.56%	13.14%	10.76%	8.91%	7.48%	6.71%	8.61%	9.63%	9.27%	9.05%	9.13%	9.98%	10.24%	10.83%					
22	"5. ""За Русь Святую"""	111	8	4	7	6	6	7	8	6	4	8	5	7	7	7	7	7	7	0					
		0.46%	0.59%	0.39%	0.50%	0.53%	0.52%	0.44%	0.52%	0.51%	0.30%	0.55%	0.35%	0.45%	0.46%	0.42%	0.44%	0.44%	0.51%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	56	6	4	1	4	2	2	2	6	5	1	2	4	6	1	5	3	1	1					
		0.23%	0.44%	0.39%	0.07%	0.35%	0.17%	0.12%	0.13%	0.51%	0.37%	0.06%	0.14%	0.26%	0.40%	0.06%	0.31%	0.19%	0.07%	0.41%					
24	"7. ""Новый курс - Автомобильная Россия"""	335	18	11	29	12	17	20	20	13	17	18	14	31	19	26	25	15	25	5					
		1.40%	1.33%	1.08%	2.08%	1.06%	1.47%	1.25%	1.31%	1.11%	1.28%	1.25%	0.98%	2.03%	1.26%	1.57%	1.58%	0.95%	1.82%	2.08%					
25	"8. ""Народно-республиканская партия России"""	14	1	3	1	0	0	0	2	1	2	1	1	1	0	0	0	0	1	0					
		0.05%	0.07%	0.29%	0.07%	0.0%	0.0%	0.0%	0.13%	0.08%	0.15%	0.06%	0.07%	0.06%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	157	3	5	12	4	9	11	12	7	8	7	9	6	9	14	12	14	14	1					
		0.65%	0.22%	0.49%	0.86%	0.35%	0.78%	0.69%	0.78%	0.60%	0.60%	0.48%	0.63%	0.39%	0.60%	0.84%	0.76%	0.89%	1.02%	0.41%					
27	"10. ""Аграрная партия России"""	511	34	23	32	32	23	28	34	31	29	26	28	30	41	39	30	20	29	2					
		2.13%	2.52%	2.26%	2.29%	2.84%	2.0%	1.76%	2.23%	2.65%	2.19%	1.81%	1.96%	1.96%	2.73%	2.35%	1.90%	1.27%	2.12%	0.83%					
28	"11. ""Истинные патриоты России"""	7	0	0	0	2	0	2	0	1	0	0	0	0	0	0	1	1	0	0					
		0.02%	0.0%	0.0%	0.0%	0.17%	0.0%	0.12%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.06%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	286	13	19	14	15	19	16	21	16	12	27	13	13	9	23	18	18	19	1					
		1.19%	0.96%	1.86%	1.00%	1.33%	1.65%	1.00%	1.37%	1.37%	0.90%	1.88%	0.91%	0.85%	0.60%	1.38%	1.14%	1.14%	1.38%	0.41%					
30	"13. ""Демократическая партия России"""	33	4	4	4	1	4	3	1	3	0	0	2	2	0	0	2	2	1	0					
		0.13%	0.29%	0.39%	0.28%	0.08%	0.34%	0.18%	0.06%	0.25%	0.0%	0.0%	0.14%	0.13%	0.0%	0.0%	0.12%	0.12%	0.07%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	29	2	0	3	1	2	2	3	0	0	2	1	2	0	3	0	3	5	0					
		0.12%	0.14%	0.0%	0.21%	0.08%	0.17%	0.12%	0.19%	0.0%	0.0%	0.13%	0.07%	0.13%	0.0%	0.18%	0.0%	0.19%	0.36%	0.0%					
32	"15. ""Партия СЛОН"""	218	13	8	21	3	17	12	11	8	19	7	19	14	16	9	17	9	14	1					
		0.91%	0.96%	0.78%	1.50%	0.26%	1.47%	0.75%	0.72%	0.68%	1.43%	0.48%	1.33%	0.91%	1.06%	0.54%	1.07%	0.57%	1.02%	0.41%					
33	"16. ""Родина"" (народно-патриотический союз)"""	5415	246	216	317	254	262	357	378	233	302	345	334	366	337	423	358	348	288	51					
		22.63%	18.24%	21.23%	22.75%	22.61%	22.78%	22.45%	24.81%	19.98%	22.84%	24.14%	23.40%	23.98%	22.48%	25.54%	22.71%	22.12%	21.06%	21.25%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	15	1	1	1	1	0	0	1	0	1	1	5	2	1	0	0	0	0	0					
		0.06%	0.07%	0.09%	0.07%	0.08%	0.0%	0.0%	0.06%	0.0%	0.07%	0.06%	0.35%	0.13%	0.06%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1686	143	75	59	68	88	91	114	97	86	116	90	105	128	92	106	127	87	14					
		7.04%	10.60%	7.37%	4.23%	6.05%	7.65%	5.72%	7.48%	8.31%	6.50%	8.11%	6.30%	6.88%	8.53%	5.55%	6.72%	8.07%	6.36%	5.83%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	317	5	13	23	22	14	6	25	26	14	26	25	24	22	16	18	18	14	6					
		1.32%	0.37%	1.27%	1.65%	1.95%	1.21%	0.37%	1.64%	2.22%	1.05%	1.81%	1.75%	1.57%	1.46%	0.96%	1.14%	1.14%	1.02%	2.5%					
