Выборы Президента Российской Федерации																																							
																																							
Наименование Избирательной комиссии:    Верхнебуреинская																																							
																																							
Итоги голосования 																																							
																																							
		Сумма	УИК  506	УИК  507	УИК  508	УИК  509	УИК  510	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК  517	УИК  518	УИК  519	УИК  520	УИК  521	УИК  522	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531	УИК  532	УИК  533	УИК  534	УИК  535	УИК  621	УИК  637					
1	"Число избирателей, внесенных в список"	24640	482	69	423	184	1555	2820	2875	2567	822	879	202	625	246	166	111	2231	1514	2080	351	525	211	130	140	123	1314	254	91	64	81	276	592	637					
2	Число полученных избирательных бюллетеней	23733	491	67	402	169	1494	2640	2740	2549	666	775	202	554	263	163	122	2230	1549	2094	344	482	211	122	145	125	1239	235	80	67	73	307	582	551					
3	"Число избирательных бюллетеней, выданных  досрочно"	206	61	0	0	0	11	0	5	20	0	0	0	0	0	0	0	4	3	0	0	25	33	0	37	0	0	7	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	16404	363	49	299	134	1053	1685	2035	1808	507	667	174	512	209	132	72	1224	912	1145	302	393	162	115	78	95	855	143	70	58	65	182	450	456					
5	"Число избирательных бюллетеней, выданных вне помещения"	1082	43	1	34	5	63	112	73	57	63	15	2	32	15	4	7	104	67	81	8	11	0	7	9	7	127	47	0	0	3	47	15	23					
6	Число погашенных избирательных бюллетеней	6041	24	17	69	30	367	843	627	664	96	93	26	10	39	27	43	898	567	868	34	53	16	0	21	23	257	38	10	9	5	78	117	72					
7	Число избирательных бюллетеней в переносных ящиках	1287	104	1	34	5	74	112	78	77	63	15	2	32	15	4	7	108	70	80	8	36	33	7	46	7	127	54	0	0	3	47	15	23					
8	Число бюллетеней в стационарных ящиках для голосования	16401	363	49	299	134	1053	1685	2033	1808	507	667	174	512	209	132	72	1224	912	1144	302	393	162	115	78	95	855	143	70	58	65	182	450	456					
9	Число недействительных избирательных бюллетеней	162	6	1	2	3	9	14	16	40	6	13	1	1	1	0	0	10	6	4	1	5	1	0	0	0	8	0	0	0	0	4	2	8					
10	Число действительных избирательных бюллетеней	17526	461	49	331	136	1118	1783	2095	1845	564	669	175	543	223	136	79	1322	976	1220	309	424	194	122	124	102	974	197	70	58	68	225	463	471					
