Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Пушкиногорская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК  370	УИК  371	УИК  372	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387	УИК  388					
1	"Число избирателей, внесенных в списки"	9432	734	737	817	786	809	760	726	356	324	514	215	257	419	165	468	341	348	274	382					
2	"Число бюллетеней, полученных участковыми комиссиями"	9472	730	750	840	800	820	740	710	370	340	530	220	260	410	162	500	360	370	280	280					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3994	354	440	483	436	377	340	248	157	72	142	40	72	167	46	161	131	85	120	123					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1680	41	19	13	33	14	26	150	72	123	203	107	103	117	58	161	110	118	84	128					
6	Число погашенных бюллетеней	3798	335	291	344	331	429	374	312	141	145	185	73	85	126	58	178	119	167	76	29					
7	Число бюллетеней в переносных ящиках для голосования	1680	41	19	13	33	14	26	150	72	123	203	107	103	117	58	161	110	118	84	128					
8	Число бюллетеней в стационарных ящиках для голосования	3994	354	440	483	436	377	340	248	157	72	142	40	72	167	46	161	131	85	120	123					
9	Число недействительных бюллетеней	78	3	6	3	6	5	3	9	2	3	6	5	0	3	4	3	6	4	3	4					
10	Число действительных бюллетеней	5596	392	453	493	463	386	363	389	227	192	339	142	175	281	100	319	235	199	201	247					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	95	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	19	1	2	4	1	0	2	1	3	0	1	0	0	0	0	1	3	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	29	1	1	3	4	1	0	2	0	1	2	3	0	2	3	0	0	2	0	4					
14	Число погашенных открепительных удостоверений	76	4	3	1	4	5	3	4	2	5	4	5	5	5	5	4	2	5	5	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
