Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																									
Дата голосования: 02.12.2007																																																									
																																																									
"Наименование Избирательной комиссии:    Ярославль, Заволжская"																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122					
1	"Число избирателей, внесенных в списки избирателей"	94513	857	1009	1623	1516	393	317	2510	2437	2190	1533	2007	2061	2058	2057	2094	2052	2029	2281	2333	2236	2247	2386	2335	2323	2166	2165	2226	2341	2392	2171	2060	2022	2057	2024	2134	2012	2087	2325	942	2281	2103	2106	2167	2364	2526	2349	1604	81	131	793					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	76600	700	800	1300	1200	400	350	2000	1950	1750	1250	1650	1650	1650	1650	1700	1650	1650	1750	1850	1800	1800	1850	1900	1850	1750	1750	1800	1900	1950	1750	1700	1650	1650	1650	1700	1650	1700	1900	850	1900	1700	1700	1750	1900	2050	1900	1300	100	150	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	54351	300	454	689	693	216	171	1272	1378	1283	844	1311	1330	1242	1286	1291	1255	1272	1357	1573	1400	1218	1334	1465	1442	1130	1272	1352	1285	1474	1249	1210	1186	1306	1174	1341	1207	1431	1341	295	1176	1130	1187	1233	1181	1419	1378	719	31	120	448					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2733	58	48	65	81	145	0	82	37	44	68	64	35	53	36	50	39	34	56	27	27	51	75	77	51	78	49	42	49	37	47	47	26	35	40	39	49	36	45	76	105	30	25	39	73	62	50	81	50	6	214					
6	Число погашенных избирательных бюллетеней	19516	342	298	546	426	39	179	646	535	423	338	275	285	355	328	359	356	344	337	250	373	531	441	358	357	542	429	406	566	439	454	443	438	309	436	320	394	233	514	479	619	540	488	478	646	569	472	500	19	24	38					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2733	58	48	65	81	145	0	82	37	44	68	64	35	53	36	50	39	34	56	27	27	51	75	77	51	78	49	42	49	37	47	47	26	35	40	39	49	36	45	76	105	30	25	39	73	62	50	81	50	6	214					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	54319	300	453	689	693	216	170	1272	1378	1283	843	1311	1330	1240	1286	1291	1253	1272	1355	1573	1399	1211	1334	1465	1442	1130	1272	1346	1285	1474	1249	1210	1184	1306	1174	1341	1207	1431	1341	295	1176	1130	1187	1231	1178	1419	1376	719	31	120	448					
9	Число недействительных избирательных бюллетеней	551	11	2	2	2	7	2	10	18	16	11	10	9	13	4	9	15	14	14	20	14	12	8	14	18	7	13	8	15	20	10	16	13	16	13	17	15	10	13	5	17	14	10	16	6	8	19	10	0	2	3					
10	Число действительных избирательных бюллетеней	56501	347	499	752	772	354	168	1344	1397	1311	900	1365	1356	1280	1318	1332	1277	1292	1397	1580	1412	1250	1401	1528	1475	1201	1308	1380	1319	1491	1286	1241	1197	1325	1201	1363	1241	1457	1373	366	1264	1146	1202	1254	1245	1473	1407	790	81	124	659					
