Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																									
Дата голосования: 04.12.2011																																																									
																																																									
"Наименование Избирательной комиссии:    Ярославль, Заволжская"																																																									
																																																									
Сводная таблица результатов выборов																																																									
																																																									
		Сумма	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122					
1	"Число избирателей, внесенных в список избирателей"	94132	806	1012	1662	1576	352	366	2387	2393	1980	1988	2222	2149	2182	1985	1985	2162	2034	2005	2166	2217	2057	2272	2076	2288	2196	2366	2063	2128	2270	2080	2032	2049	2025	1994	1975	2040	2058	2303	2193	2232	2034	2025	2062	2431	2307	2278	1688	111	139	731					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	75980	650	800	1300	1250	330	300	1950	1950	1600	1600	1750	1750	1750	1600	1600	1750	1650	1600	1750	1800	1650	1800	1650	1850	1750	1900	1650	1700	1800	1700	1650	1650	1650	1600	1600	1650	1700	1900	1700	1800	1650	1650	1650	1950	1850	1850	1350	120	130	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	51405	290	407	681	667	183	179	1185	1226	1077	1053	1134	1309	1279	1154	1189	1181	1217	1122	1406	1381	1134	1283	1142	1388	1269	1225	1184	1248	1210	1229	1196	1128	1194	1176	1141	1220	1198	1175	1102	1127	1093	1145	1099	1164	1224	1243	712	39	70	327					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2320	35	53	56	84	136	0	59	39	42	39	38	28	64	50	31	44	32	39	18	26	21	26	42	59	31	51	43	42	42	33	23	39	18	16	24	14	35	56	88	72	42	30	47	46	50	43	77	72	18	207					
6	Число погашенных избирательных бюллетеней	22254	325	340	563	499	11	121	706	685	481	508	578	413	407	396	380	525	401	439	326	393	495	491	466	403	450	624	423	410	548	438	431	483	438	408	435	416	467	668	510	601	515	475	504	740	576	564	561	9	42	166					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2320	35	53	56	84	136	0	59	39	42	39	38	28	64	50	31	44	32	39	18	26	21	26	42	59	31	51	43	42	42	33	23	39	18	16	24	14	35	56	88	72	42	30	47	46	50	43	77	72	18	207					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	51308	290	407	681	667	183	179	1185	1226	1077	1053	1134	1309	1272	1154	1189	1181	1217	1122	1404	1380	1131	1283	1138	1387	1269	1225	1184	1248	1210	1229	1196	1128	1194	1176	1141	1220	1198	1175	1027	1127	1093	1143	1099	1163	1223	1243	712	39	70	327					
9	Число недействительных избирательных бюллетеней	911	7	4	19	14	24	4	32	16	19	24	21	25	25	15	22	25	27	23	23	24	14	21	12	22	12	30	21	27	15	32	11	13	18	10	7	28	23	21	16	20	19	23	28	14	24	17	14	1	0	5					
10	Число действительных избирательных бюллетеней	52717	318	456	718	737	295	175	1212	1249	1100	1068	1151	1312	1311	1189	1198	1200	1222	1138	1399	1382	1138	1288	1168	1424	1288	1246	1206	1263	1237	1230	1208	1154	1194	1182	1158	1206	1210	1210	1099	1179	1116	1150	1118	1195	1249	1269	775	110	88	529					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1527	10	20	20	25	10	100	35	40	25	45	35	35	35	45	25	25	45	30	35	38	30	32	25	30	45	45	35	32	30	40	25	35	25	30	35	35	35	45	25	25	25	25	45	21	29	25	20	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1271	1	11	18	25	1	65	32	36	23	28	30	33	34	34	24	20	31	26	27	36	29	32	23	26	36	39	31	27	28	31	25	26	25	29	27	30	31	43	12	23	16	25	33	20	29	25	15	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	912	10	16	25	16	20	21	20	17	13	15	24	25	18	14	25	7	16	14	11	11	29	11	18	18	21	8	25	17	19	23	14	15	8	27	15	20	16	10	22	13	9	0	26	29	32	19	32	2	11	65					
14	Число погашенных неиспользованных открепительных удостоверений	256	9	9	2	0	9	35	3	4	2	17	5	2	1	11	1	5	14	4	8	2	1	0	2	4	9	6	4	5	2	9	0	9	0	1	8	5	4	2	13	2	9	0	12	1	0	0	5	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	22	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	1	2	1	1	0	0	0	0	0	1	2	0	0	0	0	2	0	0	1	1	1	0	0	0	1	1	0	2	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	11205	51	97	151	85	38	35	294	290	239	245	214	341	301	278	287	239	288	233	278	332	243	260	263	302	260	259	256	295	252	262	270	264	265	258	257	274	272	238	136	260	256	213	235	235	240	238	129	26	27	144					
		20.89%	15.69%	21.09%	20.49%	11.32%	11.91%	19.55%	23.63%	22.92%	21.36%	22.44%	18.26%	25.50%	22.53%	23.09%	23.52%	19.51%	23.06%	20.07%	19.55%	23.61%	21.09%	19.86%	22.29%	20.89%	20.00%	20.30%	20.86%	22.87%	20.13%	20.76%	22.15%	22.62%	21.86%	21.64%	22.06%	22.20%	22.06%	19.33%	12.20%	21.68%	22.56%	18.16%	20.51%	19.44%	18.85%	18.51%	16.35%	23.42%	30.68%	26.97%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	8224	58	76	140	101	26	49	200	211	183	174	203	179	182	185	154	185	157	143	219	205	172	215	188	191	194	216	166	185	220	220	195	170	185	161	185	170	179	214	237	161	155	174	167	199	238	234	114	14	9	66					
		15.34%	17.85%	16.52%	18.99%	13.45%	8.15%	27.37%	16.08%	16.68%	16.35%	15.93%	17.32%	13.39%	13.62%	15.37%	12.62%	15.10%	12.57%	12.32%	15.40%	14.58%	14.93%	16.42%	15.93%	13.21%	14.92%	16.93%	13.53%	14.34%	17.57%	17.43%	15.99%	14.57%	15.26%	13.51%	15.88%	13.78%	14.52%	17.38%	21.26%	13.43%	13.66%	14.83%	14.57%	16.46%	18.70%	18.20%	14.45%	12.61%	10.23%	12.36%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	1316	6	6	14	14	3	2	24	37	19	25	29	33	29	40	33	30	30	33	48	52	31	22	23	36	26	36	25	38	40	35	35	23	31	21	33	33	46	28	24	34	24	26	23	27	35	29	16	1	1	7					
		2.45%	1.85%	1.30%	1.90%	1.86%	0.94%	1.12%	1.93%	2.92%	1.70%	2.29%	2.47%	2.47%	2.17%	3.32%	2.70%	2.45%	2.40%	2.84%	3.38%	3.70%	2.69%	1.68%	1.95%	2.49%	2.00%	2.82%	2.04%	2.95%	3.19%	2.77%	2.87%	1.97%	2.56%	1.76%	2.83%	2.67%	3.73%	2.27%	2.15%	2.84%	2.11%	2.22%	2.01%	2.23%	2.75%	2.26%	2.03%	0.90%	1.14%	1.31%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	13478	62	101	162	65	42	48	323	297	317	298	298	318	337	307	342	320	373	326	395	380	346	304	285	396	355	321	361	330	315	293	282	333	331	385	324	326	299	251	178	286	294	262	261	285	275	319	191	27	19	133					
