Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Сосновоборская городская																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674					
1	"Число избирателей, внесенных в списки"	23632	2367	2463	2398	2773	3053	2621	2649	2646	2662					
2	"Число бюллетеней, полученных участковыми комиссиями"	23200	2300	2400	2300	2800	2900	2600	2600	2600	2700					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10321	1023	1042	1135	1162	1370	1155	1097	1174	1163					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	201	25	23	26	23	21	14	34	17	18					
6	Число погашенных бюллетеней	12678	1252	1335	1139	1615	1509	1431	1469	1409	1519					
7	Число бюллетеней в переносных ящиках для голосования	201	25	23	26	23	21	14	34	17	18					
8	Число бюллетеней в стационарных ящиках для голосования	10316	1023	1042	1135	1161	1370	1154	1097	1174	1160					
9	Число недействительных бюллетеней	143	32	19	13	11	12	14	15	8	19					
10	Число действительных бюллетеней	10374	1016	1046	1148	1173	1379	1154	1116	1183	1159					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	300	33	33	33	33	36	33	33	33	33					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	60	7	8	6	14	4	2	4	11	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	31	8	3	7	1	3	2	1	2	4					
14	Число погашенных открепительных удостоверений	240	26	25	27	19	32	31	29	22	29					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0					
																
18	"1. ""ЕДИНЕНИЕ"""	74	12	8	6	7	6	6	6	9	14					
		0.70%	1.14%	0.75%	0.51%	0.59%	0.43%	0.51%	0.53%	0.75%	1.18%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	390	30	38	30	48	49	58	51	44	42					
		3.70%	2.86%	3.56%	2.58%	4.05%	3.52%	4.96%	4.50%	3.69%	3.56%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	247	16	32	38	26	27	20	27	26	35					
		2.34%	1.52%	3.00%	3.27%	2.19%	1.94%	1.71%	2.38%	2.18%	2.97%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	536	59	45	49	60	66	71	57	62	67					
		5.09%	5.62%	4.22%	4.22%	5.06%	4.74%	6.07%	5.03%	5.20%	5.68%					
22	"5. ""За Русь Святую"""	40	7	5	6	2	6	5	4	2	3					
