Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва															
Дата голосования: 07.12.2003 0:00:00															
															
Наименование Избирательной комиссии:    Пикалевская городская															
															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)															
															
		Сумма	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728					
1	"Число избирателей, внесенных в списки"	19696	2454	2304	2423	2551	2313	2396	2633	2622					
2	"Число бюллетеней, полученных участковыми комиссиями"	18890	2365	2200	2325	2430	2240	2295	2525	2510					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	11584	1452	1381	1558	1547	1414	1277	1525	1430					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	333	55	29	44	44	47	46	34	34					
6	Число погашенных бюллетеней	6973	858	790	723	839	779	972	966	1046					
7	Число бюллетеней в переносных ящиках для голосования	333	55	29	44	44	47	46	34	34					
8	Число бюллетеней в стационарных ящиках для голосования	11581	1452	1381	1558	1547	1414	1274	1525	1430					
9	Число недействительных бюллетеней	162	19	23	20	12	15	24	24	25					
10	Число действительных бюллетеней	11752	1488	1387	1582	1579	1446	1296	1535	1439					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	288	30	78	30	30	30	30	30	30					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	80	8	17	5	9	14	8	9	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	17	2	0	3	2	2	1	4	3					
14	Число погашенных открепительных удостоверений	208	22	61	25	21	16	22	21	20					
15	Число открепительных удостоверений выданных ТИК	17	2	1	4	1	2	4	2	1					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0					
															
18	"1. ""ЕДИНЕНИЕ"""	171	27	29	19	16	17	22	19	22					
		1.43%	1.79%	2.05%	1.18%	1.00%	1.16%	1.66%	1.21%	1.50%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	411	62	36	50	61	73	34	47	48					
		3.44%	4.11%	2.55%	3.12%	3.83%	4.99%	2.57%	3.01%	3.27%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	516	68	56	94	43	65	74	66	50					
		4.33%	4.51%	3.97%	5.86%	2.70%	4.44%	5.60%	4.23%	3.41%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	421	56	35	63	55	40	41	72	59					
		3.53%	3.71%	2.48%	3.93%	3.45%	2.73%	3.10%	4.61%	4.03%					
22	"5. ""За Русь Святую"""	60	13	7	3	10	5	9	9	4					
		0.50%	0.86%	0.49%	0.18%	0.62%	0.34%	0.68%	0.57%	0.27%					
23	"6. ""Объединенная Российская партия ""Русь"""	30	2	7	5	7	1	5	2	1					
		0.25%	0.13%	0.49%	0.31%	0.43%	0.06%	0.37%	0.12%	0.06%					
24	"7. ""Новый курс - Автомобильная Россия"""	83	14	6	6	15	7	20	5	10					
		0.69%	0.92%	0.42%	0.37%	0.94%	0.47%	1.51%	0.32%	0.68%					
25	"8. ""Народно-республиканская партия России"""	22	3	1	3	1	9	1	2	2					
		0.18%	0.19%	0.07%	0.18%	0.06%	0.61%	0.07%	0.12%	0.13%					
26	"9. ""Российская экологическая партия ""Зеленые"""	45	10	5	6	6	6	1	7	4					
		0.37%	0.66%	0.35%	0.37%	0.37%	0.41%	0.07%	0.44%	0.27%					
27	"10. ""Аграрная партия России"""	326	46	50	60	39	33	30	33	35					
		2.73%	3.05%	3.54%	3.74%	2.45%	2.25%	2.27%	2.11%	2.39%					
28	"11. ""Истинные патриоты России"""	13	2	0	1	3	1	3	1	2					
		0.10%	0.13%	0.0%	0.06%	0.18%	0.06%	0.22%	0.06%	0.13%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	225	16	17	31	33	31	33	13	51					
		1.88%	1.06%	1.20%	1.93%	2.07%	2.12%	2.5%	0.83%	3.48%					
30	"13. ""Демократическая партия России"""	21	5	2	3	2	5	1	2	1					
		0.17%	0.33%	0.14%	0.18%	0.12%	0.34%	0.07%	0.12%	0.06%					
31	"14. ""Великая Россия - Евразийский Союз"""	25	4	2	5	5	2	3	3	1					
		0.20%	0.26%	0.14%	0.31%	0.31%	0.13%	0.22%	0.19%	0.06%					
32	"15. ""Партия СЛОН"""	8	1	2	2	2	1	0	0	0					
		0.06%	0.06%	0.14%	0.12%	0.12%	0.06%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	964	111	123	106	133	141	102	126	122					
		8.09%	7.36%	8.72%	6.61%	8.35%	9.65%	7.72%	8.08%	8.33%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	33	5	2	9	2	2	8	3	2					
		0.27%	0.33%	0.14%	0.56%	0.12%	0.13%	0.60%	0.19%	0.13%					
35	"18. ""ЛДПР"""	1703	221	184	215	268	200	158	255	202					
		14.29%	14.66%	13.04%	13.42%	16.84%	13.68%	11.96%	16.35%	13.79%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	325	29	38	68	49	26	38	41	36					
		2.72%	1.92%	2.69%	4.24%	3.07%	1.77%	2.87%	2.62%	2.45%					
37	"20. ""Политическая партия ""Единая Россия"""	5080	627	626	638	675	614	574	693	633					
		42.63%	41.60%	44.39%	39.82%	42.42%	42.02%	43.48%	44.45%	43.23%					
38	"21. ""Российская Конституционно-демократическая партия"""	20	3	4	2	4	0	0	1	6					
		0.16%	0.19%	0.28%	0.12%	0.25%	0.0%	0.0%	0.06%	0.40%					
