Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																
Дата голосования: 18.09.2016																																																																																
																																																																																
Наименование Избирательной комиссии:    Новочеркасская городская																																																																																
																																																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																
																																																																																
		Сумма	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №2621									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	130693	2921	2992	1635	1607	1607	516	2216	2274	2312	869	1547	1356	2745	1096	3135	2758	2277	1531	2619	1687	1086	2010	1728	2497	1015	2307	2271	1382	1045	1014	2262	1752	2102	1923	1362	394	2617	2600	2537	2950	1741	1482	1521	1766	1749	1649	2473	1999	2200	2294	2259	1432	2226	1802	2590	1683	854	1642	1274	2532	2469	2078	2561	2668	2473	712	2102	1267	641									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	94500	2050	2050	1200	1150	1150	400	1550	1600	1650	800	1100	1000	1950	800	2600	1950	1650	1150	1850	1100	800	1450	1250	1700	700	1600	1600	1000	750	1000	1600	1150	1500	1350	1000	300	1900	1850	1850	2100	1250	1100	1100	1250	1250	1200	1800	1450	1600	1650	1600	1050	1600	1300	1850	1200	650	1200	950	1800	1700	1500	1850	1850	1750	600	1450	1300	450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	46463	965	1088	582	554	550	162	826	862	902	384	494	481	927	275	1412	912	771	451	766	529	288	482	503	595	269	721	643	418	342	539	782	541	521	625	400	137	774	1010	925	1072	634	606	681	743	664	745	825	633	699	805	1059	538	705	762	827	313	153	472	428	876	1205	828	1055	938	906	347	1037	1242	257									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1617	51	90	17	8	8	3	21	12	27	2	18	11	34	14	15	60	11	9	25	162	13	13	12	66	4	27	35	16	6	0	10	88	12	28	7	5	16	23	11	10	11	12	7	15	15	21	8	28	14	9	8	5	16	7	14	6	2	10	9	25	11	13	16	70	12	247	4	0	2									
6	Число погашенных избирательных бюллетеней	46420	1034	872	601	588	592	235	703	726	721	414	588	508	989	511	1173	978	868	690	1059	409	499	955	735	1039	427	852	922	566	402	461	808	521	967	697	593	158	1110	817	914	1018	605	482	412	492	571	434	967	789	887	836	533	507	879	531	1009	881	495	718	513	899	484	659	779	842	832	6	409	58	191									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1617	51	90	17	8	8	3	21	12	27	2	18	11	34	14	15	60	11	9	25	162	13	13	12	66	4	27	35	16	6	0	10	88	12	28	7	5	16	23	11	10	11	12	7	15	15	21	8	28	14	9	8	5	16	7	14	6	2	10	9	25	11	13	16	70	12	247	4	0	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	46416	965	1088	577	554	550	162	826	861	902	384	494	480	927	275	1412	912	770	451	766	529	288	469	503	595	269	721	642	418	342	539	782	541	521	622	400	137	774	1009	923	1072	634	604	681	741	664	745	825	623	699	804	1058	538	705	762	827	313	153	472	428	876	1205	826	1055	938	906	347	1037	1242	256									
9	Число недействительных избирательных бюллетеней	1227	17	20	12	12	15	6	13	13	22	4	8	7	28	9	28	23	25	8	20	24	9	20	15	20	5	25	19	8	6	13	18	21	12	15	11	7	21	29	19	24	13	13	14	23	20	19	33	19	19	20	18	12	16	19	14	6	5	21	9	22	36	40	33	20	29	37	27	33	6									
10	Число действительных избирательных бюллетеней	46806	999	1158	582	550	543	159	834	860	907	382	504	484	933	280	1399	949	756	452	771	667	292	462	500	641	268	723	658	426	342	526	774	608	521	635	396	135	769	1003	915	1058	632	603	674	733	659	747	800	632	694	793	1048	531	705	750	827	313	150	461	428	879	1180	799	1038	988	889	557	1014	1209	252									
