Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Хилокская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №3401	УИК №3402	УИК №3403	УИК №3404	УИК №3405	УИК №3406	УИК №3407	УИК №3408	УИК №3409	УИК №3410	УИК №3411	УИК №3412	УИК №3413	УИК №3414	УИК №3415	УИК №3416	УИК №3417	УИК №3418	УИК №3419	УИК №3420	УИК №3421	УИК №3422	УИК №3423	УИК №3424	УИК №3425	УИК №3426	УИК №3427	УИК №3428									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	23027	2067	1799	1316	1995	1492	112	338	116	1312	1493	414	223	135	234	923	1894	599	183	136	1251	125	89	830	1085	854	843	1064	105									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	22948	2062	1795	1319	1998	1491	112	338	116	1325	1509	297	223	133	238	928	1892	597	187	142	1254	124	89	832	1092	849	842	1059	105									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7090	526	545	365	440	319	67	164	113	431	579	289	126	91	102	415	451	174	78	49	405	49	62	227	346	209	191	193	84									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	399	17	10	9	5	26	0	3	0	20	35	5	6	0	27	21	32	18	11	0	19	4	0	28	35	19	37	12	0									
6	Число погашенных избирательных бюллетеней	15459	1519	1240	945	1553	1146	45	171	3	874	895	3	91	42	109	492	1409	405	98	93	830	71	27	577	711	621	614	854	21									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	399	17	10	9	5	26	0	3	0	20	35	5	6	0	27	21	32	18	11	0	19	4	0	28	35	19	37	12	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7079	526	545	365	440	319	67	164	113	420	579	289	126	91	102	415	451	174	78	49	405	49	62	227	346	209	191	193	84									
9	Число недействительных избирательных бюллетеней	135	7	7	1	4	5	1	1	0	11	10	10	0	1	1	11	17	3	0	3	6	0	0	8	18	4	1	5	0									
10	Число действительных избирательных бюллетеней	7343	536	548	373	441	340	66	166	113	429	604	284	132	90	128	425	466	189	89	46	418	53	62	247	363	224	227	200	84									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	280	15	15	15	15	15	5	10	5	15	15	10	5	5	5	10	15	10	5	5	10	5	5	10	15	10	10	15	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	61	9	3	1	5	0	0	1	0	6	2	10	1	0	1	1	1	0	3	0	1	0	0	1	4	1	5	5	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	122	4	4	2	3	0	0	0	0	2	1	88	0	1	1	1	5	2	0	0	0	0	0	0	0	6	2	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	219	6	12	14	10	15	5	9	5	9	13	0	4	5	4	9	14	10	2	5	9	5	5	9	11	9	5	10	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	3	1	1	2	0	0	0	0	1	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	91	8	7	5	8	5	2	0	1	8	10	13	0	0	1	4	5	4	0	0	3	1	0	0	2	1	2	1	0									
		1.22%	1.47%	1.26%	1.34%	1.80%	1.45%	2.99%	0.00%	0.88%	1.82%	1.63%	4.42%	0.00%	0.00%	0.78%	0.92%	1.04%	2.08%	0.00%	0.00%	0.71%	1.89%	0.00%	0.00%	0.52%	0.44%	0.88%	0.49%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	253	18	25	10	19	7	0	2	7	6	26	2	3	2	4	15	19	16	0	1	17	0	0	14	22	8	7	3	0									
		3.38%	3.31%	4.50%	2.67%	4.27%	2.03%	0.00%	1.20%	6.19%	1.36%	4.23%	0.68%	2.27%	2.20%	3.10%	3.44%	3.93%	8.33%	0.00%	2.04%	4.01%	0.00%	0.00%	5.49%	5.77%	3.51%	3.07%	1.46%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	190	10	19	17	11	13	1	2	2	14	16	7	0	0	4	16	18	3	3	0	6	0	0	4	8	6	5	5	0									
		2.54%	1.84%	3.42%	4.55%	2.47%	3.77%	1.49%	1.20%	1.77%	3.18%	2.61%	2.38%	0.00%	0.00%	3.10%	3.67%	3.73%	1.56%	3.37%	0.00%	1.42%	0.00%	0.00%	1.57%	2.10%	2.63%	2.19%	2.44%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2604	124	132	98	123	105	20	77	84	154	195	111	39	63	63	131	163	51	71	16	126	21	39	116	195	67	73	67	80									
		34.82%	22.84%	23.78%	26.20%	27.64%	30.43%	29.85%	46.11%	74.34%	35.00%	31.76%	37.76%	29.55%	69.23%	48.84%	30.05%	33.75%	26.56%	79.78%	32.65%	29.72%	39.62%	62.90%	45.49%	51.18%	29.39%	32.02%	32.68%	95.24%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	26	0	3	2	1	2	0	1	1	2	1	5	1	0	0	1	1	0	0	1	1	0	0	2	1	0	0	0	0									
		0.35%	0.00%	0.54%	0.53%	0.22%	0.58%	0.00%	0.60%	0.88%	0.45%	0.16%	1.70%	0.76%	0.00%	0.00%	0.23%	0.21%	0.00%	0.00%	2.04%	0.24%	0.00%	0.00%	0.78%	0.26%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	27	2	0	1	0	2	1	1	0	2	4	0	0	0	0	2	1	1	1	1	4	2	0	0	0	2	0	0	0									
		0.36%	0.37%	0.00%	0.27%	0.00%	0.58%	1.49%	0.60%	0.00%	0.45%	0.65%	0.00%	0.00%	0.00%	0.00%	0.46%	0.21%	0.52%	1.12%	2.04%	0.94%	3.77%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2662	225	205	141	189	133	24	35	4	160	242	109	68	19	43	151	162	83	7	11	169	14	15	66	85	100	102	100	0									
		35.60%	41.44%	36.94%	37.70%	42.47%	38.55%	35.82%	20.96%	3.54%	36.36%	39.41%	37.07%	51.52%	20.88%	33.33%	34.63%	33.54%	43.23%	7.87%	22.45%	39.86%	26.42%	24.19%	25.88%	22.31%	43.86%	44.74%	48.78%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	36	6	8	2	1	0	0	1	2	0	1	2	0	0	0	3	0	0	0	0	2	0	0	2	0	4	1	1	0									
		0.48%	1.10%	1.44%	0.53%	0.22%	0.00%	0.00%	0.60%	1.77%	0.00%	0.16%	0.68%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.78%	0.00%	1.75%	0.44%	0.49%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	48	1	5	3	1	1	2	2	1	9	5	2	0	0	0	3	2	0	0	1	2	4	0	1	0	1	0	1	1									
		0.64%	0.18%	0.90%	0.80%	0.22%	0.29%	2.99%	1.20%	0.88%	2.05%	0.81%	0.68%	0.00%	0.00%	0.00%	0.69%	0.41%	0.00%	0.00%	2.04%	0.47%	7.55%	0.00%	0.39%	0.00%	0.44%	0.00%	0.49%	1.19%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	15	1	2	3	1	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	1	1	0	0	0	2	0	0	0									
		0.20%	0.18%	0.36%	0.80%	0.22%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.34%	0.00%	1.10%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	1.89%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	44	4	2	4	6	1	0	1	3	3	2	5	0	0	1	4	2	1	0	2	1	0	0	0	1	0	1	0	0									
		0.59%	0.74%	0.36%	1.07%	1.35%	0.29%	0.00%	0.60%	2.65%	0.68%	0.33%	1.70%	0.00%	0.00%	0.78%	0.92%	0.41%	0.52%	0.00%	4.08%	0.24%	0.00%	0.00%	0.00%	0.26%	0.00%	0.44%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1114	114	106	71	66	64	16	40	8	59	86	16	17	5	11	71	78	22	5	12	78	8	3	39	41	28	31	17	2									
		14.90%	20.99%	19.10%	18.98%	14.83%	18.55%	23.88%	23.95%	7.08%	13.41%	14.01%	5.44%	12.88%	5.49%	8.53%	16.28%	16.15%	11.46%	5.62%	24.49%	18.40%	15.09%	4.84%	15.29%	10.76%	12.28%	13.60%	8.29%	2.38%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	41	4	8	3	5	2	0	0	0	1	3	2	0	0	0	1	3	0	1	0	0	0	3	1	2	1	1	0	0									
		0.55%	0.74%	1.44%	0.80%	1.12%	0.58%	0.00%	0.00%	0.00%	0.23%	0.49%	0.68%	0.00%	0.00%	0.00%	0.23%	0.62%	0.00%	1.12%	0.00%	0.00%	0.00%	4.84%	0.39%	0.52%	0.44%	0.44%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	192	19	26	13	10	5	0	4	0	10	13	9	4	0	0	23	12	8	1	1	8	2	2	2	6	4	4	5	1									
		2.57%	3.50%	4.68%	3.48%	2.25%	1.45%	0.00%	2.40%	0.00%	2.27%	2.12%	3.06%	3.03%	0.00%	0.00%	5.28%	2.48%	4.17%	1.12%	2.04%	1.89%	3.77%	3.23%	0.78%	1.57%	1.75%	1.75%	2.44%	1.19%									
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
																																							
