Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																												
Дата голосования: 18.09.2016																																																												
																																																												
Наименование Избирательной комиссии:    Сургутская - 222																																																												
																																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																																												
																																																												
		Сумма	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №536	УИК №539	УИК №694									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	88277	1958	2599	2353	2152	2005	1565	2184	2038	2170	2471	1745	1976	2054	812	1513	1600	1769	1499	1326	1300	1043	1391	2878	2751	2226	2113	2160	2345	2256	1792	2232	2246	2371	3076	2735	2564	647	439	1054	786	1625	1484	1727	159	445	450	1654	2261	2278									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	76646	1800	2300	2300	1900	1700	1300	2000	1500	2000	2000	1500	1700	1500	650	1300	1300	1500	1200	1100	1000	900	1100	2500	2600	1800	1900	2000	2100	2000	1500	2000	2000	2000	2700	2500	2300	500	300	900	650	1246	2000	1500	150	300	250	1400	2000	2000									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	980	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	41	33	353	375	0	9	0	97	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	26113	393	840	781	650	590	326	584	566	519	625	469	607	636	230	452	482	558	521	374	329	290	341	930	795	560	428	608	591	752	449	989	812	1142	778	671	593	236	139	291	250	395	555	612	57	188	4	444	1093	588									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	229	2	7	8	1	7	4	2	1	0	2	1	6	4	6	2	5	3	6	0	3	5	3	21	9	4	3	5	6	5	7	4	0	0	1	8	7	1	1	4	22	0	23	8	0	6	0	3	0	3									
6	Число погашенных избирательных бюллетеней	49324	1405	1453	1511	1249	1103	970	1414	933	1458	1373	1030	1087	860	414	846	813	939	673	726	668	605	756	1549	1796	1236	1469	1387	1503	1243	1044	958	1188	858	1921	1821	1700	263	160	564	345	498	1047	880	84	106	149	953	907	1409									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1208	2	7	8	1	7	4	2	1	23	2	1	6	4	6	2	5	3	6	0	3	5	3	21	9	4	3	5	6	5	7	53	0	0	1	8	7	1	1	45	55	353	398	8	9	6	96	3	0	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	26097	393	840	781	650	590	326	584	565	519	625	469	607	634	229	452	482	558	521	374	329	290	341	930	793	560	428	608	585	752	448	989	812	1142	778	668	593	236	139	291	250	395	555	612	57	188	4	444	1093	588									
9	Число недействительных избирательных бюллетеней	1089	4	15	25	25	21	13	29	22	13	28	14	15	19	5	19	15	14	10	17	5	12	15	37	25	22	27	24	22	30	32	39	30	67	28	28	25	8	5	17	29	20	65	29	6	5	18	13	57	26									
10	Число действительных избирательных бюллетеней	26216	391	832	764	626	576	317	557	544	529	599	456	598	619	230	435	472	547	517	357	327	283	329	914	777	542	404	589	569	727	423	1003	782	1075	751	648	575	229	135	319	276	728	888	591	60	189	82	434	1036	565									
