Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																										
Дата голосования: 02.12.2007																																																										
																																																										
"Наименование Избирательной комиссии:    Саратов, Волжская"																																																										
																																																										
Сводная таблица результатов выборов																																																										
																																																										
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51					
1	"Число избирателей, внесенных в списки избирателей"	68893	672	1275	879	1449	1094	808	1019	1016	1775	1387	679	999	1449	1039	1933	1427	1089	1351	200	145	1499	1048	1275	1500	1008	1273	1514	1967	1150	1529	2126	2032	1987	834	345	1985	1573	1308	1093	1114	1251	1552	1350	1823	2143	1936	2410	2905	861	1673	1144					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	65697	600	1300	800	1400	1000	700	902	900	1800	1400	600	1000	1147	1000	1900	1400	1000	1300	200	160	1400	1900	1200	1500	900	1200	1500	1700	1000	1500	2000	2000	1900	800	345	1533	1500	1300	1010	1000	1000	1500	1300	1800	2000	1900	2300	2800	800	1600	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	35059	347	762	480	692	549	467	632	509	754	636	244	361	805	434	1060	705	612	752	200	145	750	1010	537	706	460	685	576	1014	407	711	1062	1049	834	293	331	1022	565	763	490	541	654	872	604	885	1244	1131	1406	1489	396	764	662					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1799	26	77	35	63	37	27	21	64	48	54	17	43	10	15	53	44	47	37	0	0	43	38	25	47	50	21	30	24	16	32	41	50	47	38	14	41	44	33	62	26	42	42	23	47	36	22	18	23	24	66	16					
6	Число погашенных избирательных бюллетеней	28836	227	461	285	645	414	205	249	326	998	710	339	596	332	551	787	651	341	511	0	15	607	852	638	747	390	494	894	662	577	757	897	901	1019	469	0	470	891	504	457	433	304	586	673	868	720	747	876	1288	380	770	322					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1786	26	77	35	63	37	27	21	64	48	53	17	43	10	15	53	44	47	37	0	0	43	38	25	47	50	21	30	24	16	32	41	50	44	38	14	41	44	33	61	26	42	39	23	47	36	22	17	23	24	63	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	34657	346	758	480	691	516	457	631	509	751	634	244	361	795	432	1044	704	605	748	200	145	737	997	535	701	459	684	576	1014	407	706	1056	1035	803	285	330	1004	490	763	487	514	653	819	599	885	1243	1131	1402	1479	389	763	660					
9	Число недействительных избирательных бюллетеней	560	8	14	7	14	19	4	12	13	11	15	5	9	8	7	23	13	8	8	0	0	12	15	12	12	11	13	11	17	9	12	19	11	23	4	5	6	4	6	7	14	7	8	11	19	12	11	15	40	3	6	7					
10	Число действительных избирательных бюллетеней	35883	364	821	508	740	534	480	640	560	788	672	256	395	797	440	1074	735	644	777	200	145	768	1020	548	736	498	692	595	1021	414	726	1078	1074	824	319	339	1039	530	790	541	526	688	850	611	913	1267	1142	1404	1462	410	820	668					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2540	50	57	50	50	50	50	50	50	70	50	50	50	50	50	65	50	50	50	0	0	50	50	50	50	50	50	50	50	50	50	85	55	60	50	0	50	50	50	50	50	78	50	50	50	50	50	60	60	50	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1931	25	57	25	33	46	29	22	34	70	40	27	28	27	31	65	46	33	42	0	0	27	50	39	38	26	33	40	50	37	49	82	53	45	24	0	33	34	45	31	22	78	36	33	27	50	50	60	60	31	31	37					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2620	20	80	62	11	17	11	307	57	22	13	14	14	407	8	15	14	27	17	94	145	15	7	13	13	14	14	13	230	9	12	17	11	19	7	237	417	16	11	31	10	16	18	7	4	23	15	23	10	10	8	15					
14	Число погашенных неиспользованных открепительных удостоверений	609	25	0	25	17	4	21	28	16	0	10	23	22	23	19	0	4	17	8	0	0	23	0	11	12	24	17	10	0	13	1	3	2	15	26	0	17	16	5	19	28	0	14	17	23	0	0	0	0	19	19	13					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	3	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																										
18	1.Политическая партия «Аграрная партия России»	941	8	17	10	25	19	20	7	8	26	22	4	4	21	13	32	29	11	32	1	0	18	33	17	21	15	17	13	38	8	26	31	29	20	11	2	25	10	22	27	18	21	15	8	14	39	32	26	27	13	22	14					
		2.58%	2.15%	2.04%	1.94%	3.32%	3.44%	4.13%	1.07%	1.40%	3.25%	3.20%	1.53%	0.99%	2.61%	2.91%	2.92%	3.88%	1.69%	4.08%	0.50%	0.00%	2.31%	3.19%	3.04%	2.81%	2.95%	2.41%	2.15%	3.66%	1.89%	3.52%	2.83%	2.67%	2.36%	3.41%	0.58%	2.39%	1.87%	2.76%	4.93%	3.33%	3.02%	1.75%	1.29%	1.50%	3.05%	2.78%	1.83%	1.80%	3.15%	2.66%	2.07%					
19	2.Всероссийская политическая партия «Гражданская Сила»	670	9	26	17	14	16	11	7	13	16	12	2	6	4	18	27	14	16	16	3	0	13	23	13	15	7	15	8	22	10	16	21	20	13	4	0	20	6	15	6	5	9	10	8	12	27	26	30	27	4	7	11					
		1.84%	2.42%	3.11%	3.30%	1.86%	2.89%	2.27%	1.07%	2.27%	2.00%	1.75%	0.77%	1.49%	0.50%	4.03%	2.46%	1.87%	2.45%	2.04%	1.50%	0.00%	1.67%	2.22%	2.32%	2.01%	1.38%	2.13%	1.32%	2.12%	2.36%	2.17%	1.91%	1.84%	1.53%	1.24%	0.00%	1.91%	1.12%	1.88%	1.09%	0.93%	1.29%	1.17%	1.29%	1.29%	2.11%	2.25%	2.11%	1.80%	0.97%	0.85%	1.63%					
20	3.Политическая партия «Демократическая партия России»	56	0	0	0	0	1	1	1	0	3	0	2	1	3	2	1	2	1	0	1	0	2	4	1	1	0	0	1	1	0	1	1	4	0	1	0	1	0	0	1	0	4	2	3	0	4	0	0	1	1	2	1					
		0.15%	0.00%	0.00%	0.00%	0.00%	0.18%	0.21%	0.15%	0.00%	0.38%	0.00%	0.77%	0.25%	0.37%	0.45%	0.09%	0.27%	0.15%	0.00%	0.50%	0.00%	0.26%	0.39%	0.18%	0.13%	0.00%	0.00%	0.17%	0.10%	0.00%	0.14%	0.09%	0.37%	0.00%	0.31%	0.00%	0.10%	0.00%	0.00%	0.18%	0.00%	0.58%	0.23%	0.48%	0.00%	0.31%	0.00%	0.00%	0.07%	0.24%	0.24%	0.15%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	6014	65	128	92	174	73	73	52	100	146	121	33	35	69	78	240	125	122	138	5	3	179	251	98	164	112	148	95	146	59	128	185	254	129	43	4	110	109	136	100	108	100	155	107	137	211	172	197	212	68	145	80					
		16.50%	17.47%	15.33%	17.86%	23.08%	13.20%	15.08%	7.98%	17.45%	18.27%	17.61%	12.64%	8.66%	8.57%	17.45%	21.88%	16.71%	18.71%	17.58%	2.50%	2.07%	22.95%	24.25%	17.50%	21.93%	22.00%	20.99%	15.68%	14.07%	13.95%	17.34%	16.86%	23.41%	15.23%	13.31%	1.16%	10.53%	20.41%	17.09%	18.25%	20.00%	14.39%	18.07%	17.20%	14.70%	16.50%	14.92%	13.88%	14.11%	16.46%	17.55%	11.85%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	661	13	28	10	8	11	12	11	11	16	13	8	9	5	6	31	27	13	32	1	0	27	24	13	21	11	18	3	16	6	9	23	19	12	0	0	7	6	13	6	4	14	15	2	11	19	20	24	23	10	6	14					
		1.81%	3.49%	3.35%	1.94%	1.06%	1.99%	2.48%	1.69%	1.92%	2.00%	1.89%	3.07%	2.23%	0.62%	1.34%	2.83%	3.61%	1.99%	4.08%	0.50%	0.00%	3.46%	2.32%	2.32%	2.81%	2.16%	2.55%	0.50%	1.54%	1.42%	1.22%	2.10%	1.75%	1.42%	0.00%	0.00%	0.67%	1.12%	1.63%	1.09%	0.74%	2.01%	1.75%	0.32%	1.18%	1.49%	1.73%	1.69%	1.53%	2.42%	0.73%	2.07%					
23	6.Политическая партия «Партия социальной справедливости»	122	2	4	3	1	0	5	3	1	6	2	2	1	2	3	4	6	3	3	0	0	1	0	2	3	1	1	0	5	2	2	3	2	2	1	0	5	3	3	5	2	1	5	3	0	2	1	3	4	2	4	3					
		0.33%	0.54%	0.48%	0.58%	0.13%	0.00%	1.03%	0.46%	0.17%	0.75%	0.29%	0.77%	0.25%	0.25%	0.67%	0.36%	0.80%	0.46%	0.38%	0.00%	0.00%	0.13%	0.00%	0.36%	0.40%	0.20%	0.14%	0.00%	0.48%	0.47%	0.27%	0.27%	0.18%	0.24%	0.31%	0.00%	0.48%	0.56%	0.38%	0.91%	0.37%	0.14%	0.58%	0.48%	0.00%	0.16%	0.09%	0.21%	0.27%	0.48%	0.48%	0.44%					
24	7.Политическая партия «Либерально-демократическая партия России»	2717	28	69	33	58	26	27	54	42	59	48	21	38	56	34	72	75	39	47	7	0	49	58	47	46	48	47	49	77	37	56	90	67	82	18	3	84	39	55	39	37	53	78	47	74	116	85	114	156	28	51	54					
		7.46%	7.53%	8.26%	6.41%	7.69%	4.70%	5.58%	8.28%	7.33%	7.38%	6.99%	8.05%	9.41%	6.96%	7.61%	6.56%	10.03%	5.98%	5.99%	3.50%	0.00%	6.28%	5.60%	8.39%	6.15%	9.43%	6.67%	8.09%	7.42%	8.75%	7.59%	8.20%	6.18%	9.68%	5.57%	0.87%	8.04%	7.30%	6.91%	7.12%	6.85%	7.63%	9.09%	7.56%	7.94%	9.07%	7.37%	8.03%	10.39%	6.78%	6.17%	8.00%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	3866	49	91	64	82	77	57	40	62	83	77	31	40	47	58	112	77	96	93	14	1	101	91	64	78	61	81	54	109	50	87	113	155	75	21	7	82	44	105	47	52	70	87	69	77	156	131	161	192	35	91	69					
		10.61%	13.17%	10.90%	12.43%	10.88%	13.92%	11.78%	6.13%	10.82%	10.39%	11.21%	11.88%	9.90%	5.84%	12.98%	10.21%	10.29%	14.72%	11.85%	7.00%	0.69%	12.95%	8.79%	11.43%	10.43%	11.98%	11.49%	8.91%	10.50%	11.82%	11.79%	10.30%	14.29%	8.85%	6.50%	2.03%	7.85%	8.24%	13.19%	8.58%	9.63%	10.07%	10.14%	11.09%	8.26%	12.20%	11.36%	11.35%	12.78%	8.47%	11.02%	10.22%					
