Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва										
Дата голосования: 07.12.2003 0:00:00										
										
Наименование Избирательной комиссии:    Видяевская										
										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)										
										
		Сумма	УИК №302	УИК №303	УИК №304					
1	"Число избирателей, внесенных в списки"	4857	1637	1584	1636					
2	"Число бюллетеней, полученных участковыми комиссиями"	4500	1550	1450	1500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	3042	1064	1130	848					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	26	4	17	5					
6	Число погашенных бюллетеней	1432	482	303	647					
7	Число бюллетеней в переносных ящиках для голосования	22	0	17	5					
8	Число бюллетеней в стационарных ящиках для голосования	3051	1068	1130	853					
9	Число недействительных бюллетеней	36	2	20	14					
10	Число действительных бюллетеней	3037	1066	1127	844					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	127	41	42	44					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	49	15	30	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	6	1	3	2					
14	Число погашенных открепительных удостоверений	78	26	12	40					
15	Число открепительных удостоверений выданных ТИК	3	0	2	1					
16	Число утраченных бюллетеней	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0					
										
18	"1. ""ЕДИНЕНИЕ"""	31	11	16	4					
		1.00%	1.02%	1.39%	0.46%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	71	32	19	20					
		2.31%	2.99%	1.65%	2.33%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	99	37	32	30					
		3.22%	3.46%	2.78%	3.49%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	73	27	23	23					
		2.37%	2.52%	2.00%	2.68%					
22	"5. ""За Русь Святую"""	9	2	3	4					
		0.29%	0.18%	0.26%	0.46%					
23	"6. ""Объединенная Российская партия ""Русь"""	7	1	4	2					
		0.22%	0.09%	0.34%	0.23%					
24	"7. ""Новый курс - Автомобильная Россия"""	41	12	16	13					
		1.33%	1.12%	1.39%	1.51%					
25	"8. ""Народно-республиканская партия России"""	5	0	1	4					
		0.16%	0.0%	0.08%	0.46%					
26	"9. ""Российская экологическая партия ""Зеленые"""	18	6	10	2					
		0.58%	0.56%	0.87%	0.23%					
27	"10. ""Аграрная партия России"""	29	10	9	10					
		0.94%	0.93%	0.78%	1.16%					
28	"11. ""Истинные патриоты России"""	7	1	1	5					
		0.22%	0.09%	0.08%	0.58%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	88	35	29	24					
		2.86%	3.27%	2.52%	2.79%					
30	"13. ""Демократическая партия России"""	6	4	2	0					
		0.19%	0.37%	0.17%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	6	3	3	0					
		0.19%	0.28%	0.26%	0.0%					
32	"15. ""Партия СЛОН"""	2	1	0	1					
		0.06%	0.09%	0.0%	0.11%					
33	"16. ""Родина"" (народно-патриотический союз)"""	234	96	60	78					
		7.61%	8.98%	5.23%	9.09%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	8	3	2	3					
		0.26%	0.28%	0.17%	0.34%					
35	"18. ""ЛДПР"""	470	135	223	112					
		15.29%	12.64%	19.44%	13.05%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	37	18	11	8					
		1.20%	1.68%	0.95%	0.93%					
37	"20. ""Политическая партия ""Единая Россия"""	1491	525	546	420					
		48.51%	49.15%	47.60%	48.95%					
38	"21. ""Российская Конституционно-демократическая партия"""	6	3	2	1					
		0.19%	0.28%	0.17%	0.11%					
39	"22. ""Развитие предпринимательства"""	6	2	3	1					
		0.19%	0.18%	0.26%	0.11%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	137	55	43	39					
		4.45%	5.14%	3.74%	4.54%					
										
41	Против всех	156	47	69	40					
		5.07%	4.40%	6.01%	4.66%					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
