Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Большеберезниковская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140					
1	"Число избирателей, внесенных в списки"	12491	1468	1000	1415	1028	192	211	182	115	143	193	224	302	440	647	393	292	398	495	193	693	465	575	329	229	869					
2	"Число бюллетеней, полученных участковыми комиссиями"	12544	1485	1005	1418	1046	192	210	179	117	142	189	228	305	455	641	381	295	405	480	197	699	462	577	330	227	879					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	10531	1194	799	1149	725	192	184	159	107	127	173	191	292	376	489	336	266	369	454	193	621	423	481	293	198	740					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	521	36	83	22	50	0	9	0	4	10	0	0	0	48	21	22	11	25	15	0	15	8	51	23	15	53					
6	Число погашенных бюллетеней	1492	255	123	247	271	0	17	20	6	5	16	37	13	31	131	23	18	11	11	4	63	31	45	14	14	86					
7	Число бюллетеней в переносных ящиках для голосования	521	36	83	22	50	0	9	0	4	10	0	0	0	48	21	22	11	25	15	0	15	8	51	23	15	53					
8	Число бюллетеней в стационарных ящиках для голосования	10518	1194	799	1149	716	192	184	159	107	127	173	191	292	376	489	333	266	369	454	193	620	423	481	293	198	740					
9	Число недействительных бюллетеней	194	25	1	9	8	0	0	0	3	0	2	6	0	2	35	4	7	5	7	2	12	8	0	0	17	41					
10	Число действительных бюллетеней	10845	1205	881	1162	758	192	193	159	108	137	171	185	292	422	475	351	270	389	462	191	623	423	532	316	196	752					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	20	20	20	20	2	3	5	5	5	5	5	5	5	5	5	5	5	5	5	10	5	10	5	5	15					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	58	9	5	13	6	0	0	1	0	1	0	0	0	1	2	3	1	1	1	0	1	2	4	2	0	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	44	1	0	3	1	0	0	1	3	1	4	3	2	1	5	6	1	1	0	1	1	2	1	1	2	3					
14	Число погашенных открепительных удостоверений	142	11	15	7	14	2	3	4	5	4	5	5	5	4	3	2	4	4	4	5	9	3	6	3	5	10					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
