Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																												
Дата голосования: 04.12.2011																																												
																																												
Наименование Избирательной комиссии:    Переславская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680					
1	"Число избирателей, внесенных в список избирателей"	16587	256	318	547	361	542	267	359	483	495	369	775	617	686	322	279	105	334	267	905	610	212	264	670	689	742	322	251	427	477	302	471	513	279	782	444	301	544					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16675	265	325	560	360	530	260	360	490	500	375	780	610	685	320	280	110	340	270	910	615	215	260	680	700	745	325	250	435	470	300	470	525	280	790	450	300	535					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6919	108	141	187	122	269	115	152	203	244	147	325	271	299	88	98	39	117	84	423	283	95	128	308	306	293	104	122	187	240	132	223	230	120	360	74	133	149					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	2638	41	43	119	114	28	35	65	58	61	97	144	54	76	105	70	47	110	60	75	41	33	43	98	48	81	68	47	29	21	69	68	97	67	81	145	34	166					
6	Число погашенных избирательных бюллетеней	7118	116	141	254	124	233	110	143	229	195	131	311	285	310	127	112	24	113	126	412	291	87	89	274	346	371	153	81	219	209	99	179	198	93	349	231	133	220					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2638	41	43	119	114	28	35	65	58	61	97	144	54	76	105	70	47	110	60	75	41	33	43	98	48	81	68	47	29	21	69	68	97	67	81	145	34	166					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6919	108	141	187	122	269	115	152	203	244	147	325	271	299	88	98	39	117	84	423	283	95	128	308	306	293	104	122	187	240	132	223	230	120	360	74	133	149					
9	Число недействительных избирательных бюллетеней	146	1	3	9	4	8	5	2	6	5	0	2	5	4	3	2	1	2	2	8	7	0	0	7	4	4	2	0	1	5	1	1	8	2	14	14	0	4					
10	Число действительных избирательных бюллетеней	9411	148	181	297	232	289	145	215	255	300	244	467	320	371	190	166	85	225	142	490	317	128	171	399	350	370	170	169	215	256	200	290	319	185	427	205	167	311					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	449	10	10	15	10	15	10	10	15	15	10	15	15	15	10	10	10	10	10	15	10	10	10	14	15	15	10	10	10	10	10	15	15	10	15	15	10	15					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	120	10	6	9	0	0	1	2	3	4	5	2	0	5	0	4	7	3	0	2	2	1	1	9	13	2	3	4	4	1	0	0	5	0	8	2	0	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	161	0	2	5	5	2	2	2	4	3	5	4	10	9	1	4	4	1	0	9	6	1	6	0	14	4	5	2	1	14	2	6	5	1	9	3	3	7					
14	Число погашенных неиспользованных открепительных удостоверений	329	0	4	6	10	15	9	8	12	11	5	13	15	10	10	6	3	7	10	13	8	9	9	5	2	13	7	6	6	9	10	15	10	10	7	13	10	13					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																												
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1890	30	29	59	39	38	39	29	39	64	51	84	89	79	58	18	7	24	20	123	78	23	34	122	78	81	33	35	38	70	27	31	61	18	99	43	33	67					
		19.78%	20.13%	15.76%	19.28%	16.53%	12.79%	26.00%	13.36%	14.94%	20.98%	20.90%	17.91%	27.38%	21.07%	30.05%	10.71%	8.14%	10.57%	13.89%	24.70%	24.07%	17.97%	19.88%	30.05%	22.03%	21.66%	19.19%	20.71%	17.59%	26.82%	13.43%	10.65%	18.65%	9.63%	22.45%	19.63%	19.76%	21.27%					
