Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Переславль-Залесская городская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №896									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	33651	1832	2435	1428	1495	1599	1385	1804	1529	1774	1807	1973	1729	1564	1689	1631	1535	1529	1629	1569	1620	95									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24750	1400	1700	1100	1100	1200	1000	1300	1100	1300	1300	1400	1300	1200	1200	1200	1100	1100	1200	1100	1200	250									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11383	730	1336	433	362	515	471	532	407	493	548	603	650	564	610	542	553	501	354	589	570	20									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	372	5	45	26	22	37	12	29	13	13	8	10	9	12	6	7	8	7	7	9	15	72									
6	Число погашенных избирательных бюллетеней	12995	665	319	641	716	648	517	739	680	794	744	787	641	624	584	651	539	592	839	502	615	158									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	372	5	45	26	22	37	12	29	13	13	8	10	9	12	6	7	8	7	7	9	15	72									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11373	729	1331	433	362	515	471	531	407	493	548	603	649	564	610	542	553	501	352	589	570	20									
9	Число недействительных избирательных бюллетеней	266	13	60	4	10	12	15	16	7	13	7	8	14	10	13	11	15	14	6	9	9	0									
10	Число действительных избирательных бюллетеней	11479	721	1316	455	374	540	468	544	413	493	549	605	644	566	603	538	546	494	353	589	576	92									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	550	30	40	25	25	30	25	30	25	30	30	30	30	25	25	25	25	25	25	25	25	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	171	15	15	2	7	12	4	13	5	8	12	6	4	5	7	8	13	5	8	14	8	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	118	3	10	4	1	25	8	6	7	6	4	8	4	3	0	3	0	1	0	13	8	4									
14	Число погашенных неиспользованных открепительных удостоверений	379	15	25	23	18	18	21	17	20	22	18	24	26	20	18	17	12	20	17	11	17	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	85	4	12	4	2	5	5	4	3	3	8	10	4	1	5	0	4	2	4	2	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																
