Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																				
Дата голосования: 18.09.2016																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №20																																																																																				
																																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																				
																																																																																				
		Сумма	УИК №1949	УИК №1950	УИК №1951	УИК №1952	УИК №1953	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1958	УИК №1959	УИК №1960	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	152647	2354	2639	2493	1851	2848	2619	2166	1278	2777	2771	1310	2617	2756	2535	2739	1495	2051	2726	2044	2786	2572	1610	2004	1758	2077	1963	1368	2249	2738	2777	2544	1651	1493	2011	184	2373	1816	1564	335	1638	1485	1257	1049	1890	852	2534	2687	2993	1175	2157	2109	2587	2647	1341	2538	2714	2515	2626	1910	2441	2155	1550	2831	2573	2552	2765	2779	1573	1863	2490	2276	1999	154									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	140030	2000	2500	2500	1900	2500	2500	2000	1000	2500	2500	1000	2500	2500	2500	2500	1500	2000	2500	2000	2500	2000	1500	2000	1500	2000	2000	1000	1500	2500	2500	2000	1500	1500	2000	185	2000	1500	1500	345	1500	1000	1000	1000	1500	800	2500	2500	3000	1000	2000	2000	2500	2500	1000	2500	2500	2500	2500	2000	2000	2000	1500	2500	2500	2500	2500	2500	1500	1500	2300	2000	2000	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	52593	885	1006	887	655	1004	940	791	487	996	890	519	1003	1057	900	1025	570	695	944	714	1004	885	635	798	774	695	737	478	1320	1082	1013	1006	647	551	646	106	928	732	608	106	646	522	436	391	689	380	667	609	725	328	645	628	710	669	532	758	934	954	982	699	854	844	627	761	753	799	758	646	511	641	708	329	585	154									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1765	15	15	17	14	12	15	11	3	31	18	6	25	21	9	16	32	22	15	80	35	211	20	1	1	118	54	8	19	8	1	16	3	9	30	74	24	28	29	203	17	126	28	20	24	22	18	19	3	45	5	6	30	11	0	1	4	1	1	10	8	6	37	2	1	3	2	19	1	3	2	13	8	0									
6	Число погашенных избирательных бюллетеней	85672	1100	1479	1596	1231	1484	1545	1198	510	1473	1592	475	1472	1422	1591	1459	898	1283	1541	1206	1461	904	845	1201	725	1187	1209	514	161	1410	1486	978	850	940	1324	5	1048	740	863	36	837	352	536	589	787	398	1815	1872	2272	627	1350	1366	1760	1820	468	1741	1562	1545	1517	1291	1138	1150	836	1737	1746	1698	1740	1835	988	856	1590	1658	1407	346									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1764	15	15	17	14	12	15	11	3	31	18	6	25	21	9	16	32	22	15	80	35	211	20	1	1	118	54	8	19	8	1	16	3	9	30	74	24	28	29	202	17	126	28	20	24	22	18	19	3	45	5	6	30	11	0	1	4	1	1	10	8	6	37	2	1	3	2	19	1	3	2	13	8	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	52439	879	991	867	636	1004	940	790	485	995	887	515	1003	1057	897	1025	568	694	944	714	1004	883	635	798	773	695	737	478	1320	1082	999	1004	646	551	646	106	924	730	608	104	646	507	436	391	689	380	667	603	725	328	645	627	709	669	532	748	934	954	981	699	854	837	627	760	750	796	758	645	511	641	708	329	585	154									
9	Число недействительных избирательных бюллетеней	1030	18	20	20	17	14	15	21	10	22	13	11	25	27	19	28	19	16	14	20	13	19	16	6	6	20	20	15	19	6	12	36	7	23	20	10	18	22	15	4	13	0	14	7	12	3	14	15	17	16	17	11	21	12	5	5	17	16	9	13	0	13	6	16	16	11	11	5	7	15	2	14	17	4									
10	Число действительных избирательных бюллетеней	53173	876	986	864	633	1002	940	780	478	1004	892	510	1003	1051	887	1013	581	700	945	774	1026	1075	639	793	768	793	771	471	1320	1084	988	984	642	537	656	170	930	736	622	302	650	633	450	404	701	399	671	607	711	357	633	622	718	668	527	744	921	939	973	696	862	830	658	746	735	788	749	659	505	629	708	328	576	150									
