Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Алейская городская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №1901									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22405	1235	595	1304	1474	1456	1557	1285	1485	1421	1410	2536	780	3318	2492	57									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20800	1140	540	1150	1340	1320	1340	1210	1230	1330	1290	2240	720	3310	2440	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8857	455	252	335	394	450	479	483	567	692	459	1021	208	2075	956	31									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	403	30	21	16	12	20	22	15	18	23	17	29	14	102	47	17									
6	Число погашенных избирательных бюллетеней	11540	655	267	799	934	850	839	712	645	615	814	1190	498	1133	1437	152									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	403	30	21	16	12	20	22	15	18	23	17	29	14	102	47	17									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8847	455	252	335	394	450	479	483	567	692	459	1021	208	2065	956	31									
9	Число недействительных избирательных бюллетеней	274	12	9	9	12	20	12	16	26	26	13	20	4	59	36	0									
10	Число действительных избирательных бюллетеней	8976	473	264	342	394	450	489	482	559	689	463	1030	218	2108	967	48									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	273	9	10	10	10	10	18	10	10	25	16	30	5	80	30	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	166	6	8	5	5	7	15	4	8	24	14	29	2	11	28	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	68	1	3	3	2	2	3	1	10	5	6	8	3	9	11	1									
14	Число погашенных неиспользованных открепительных удостоверений	107	3	2	5	5	3	3	6	2	1	2	1	3	69	2	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	27	2	1	1	1	1	0	2	2	2	0	4	0	3	8	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	87	3	3	0	3	1	5	4	11	7	3	10	2	21	14	0									
		0.94%	0.62%	1.10%	0.00%	0.74%	0.21%	0.99%	0.80%	1.88%	0.98%	0.63%	0.95%	0.90%	0.97%	1.40%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	333	24	13	17	16	25	34	18	17	38	11	45	9	34	27	5									
		3.60%	4.95%	4.76%	4.84%	3.94%	5.32%	6.79%	3.61%	2.91%	5.31%	2.31%	4.29%	4.05%	1.57%	2.69%	10.42%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	169	11	8	14	6	8	10	8	6	22	8	33	5	17	12	1									
		1.83%	2.27%	2.93%	3.99%	1.48%	1.70%	1.99%	1.61%	1.03%	3.08%	1.68%	3.14%	2.25%	0.78%	1.20%	2.08%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3400	138	95	120	125	162	147	138	215	200	141	308	78	1185	329	19									
		36.76%	28.45%	34.80%	34.19%	30.79%	34.47%	29.34%	27.71%	36.75%	27.97%	29.62%	29.33%	35.14%	54.68%	32.80%	39.58%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	44	0	4	2	2	1	3	4	3	5	1	3	0	12	4	0									
		0.48%	0.00%	1.47%	0.57%	0.49%	0.21%	0.60%	0.80%	0.51%	0.70%	0.21%	0.29%	0.00%	0.55%	0.40%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	11	0	0	0	0	1	0	3	2	1	0	1	0	1	2	0									
		0.12%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.60%	0.34%	0.14%	0.00%	0.10%	0.00%	0.05%	0.20%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2181	107	34	88	109	105	124	103	153	126	121	185	43	617	256	10									
		23.58%	22.06%	12.45%	25.07%	26.85%	22.34%	24.75%	20.68%	26.15%	17.62%	25.42%	17.62%	19.37%	28.47%	25.52%	20.83%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	58	4	1	1	8	2	3	3	0	12	3	6	0	10	4	1									
		0.63%	0.82%	0.37%	0.28%	1.97%	0.43%	0.60%	0.60%	0.00%	1.68%	0.63%	0.57%	0.00%	0.46%	0.40%	2.08%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	64	1	0	11	2	4	2	6	3	5	5	9	1	8	7	0									
		0.69%	0.21%	0.00%	3.13%	0.49%	0.85%	0.40%	1.20%	0.51%	0.70%	1.05%	0.86%	0.45%	0.37%	0.70%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	14	3	0	0	1	0	1	2	1	1	2	1	0	1	1	0									
		0.15%	0.62%	0.00%	0.00%	0.25%	0.00%	0.20%	0.40%	0.17%	0.14%	0.42%	0.10%	0.00%	0.05%	0.10%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	82	1	0	1	4	3	7	7	7	9	9	10	0	12	12	0									
		0.89%	0.21%	0.00%	0.28%	0.99%	0.64%	1.40%	1.41%	1.20%	1.26%	1.89%	0.95%	0.00%	0.55%	1.20%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1575	108	77	65	86	87	106	114	83	150	102	239	61	110	179	8									
		17.03%	22.27%	28.21%	18.52%	21.18%	18.51%	21.16%	22.89%	14.19%	20.98%	21.43%	22.76%	27.48%	5.08%	17.85%	16.67%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	33	3	1	1	1	0	2	3	0	3	2	4	1	9	3	0									
		0.36%	0.62%	0.37%	0.28%	0.25%	0.00%	0.40%	0.60%	0.00%	0.42%	0.42%	0.38%	0.45%	0.42%	0.30%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	925	70	28	22	31	51	45	69	58	110	55	176	18	71	117	4									
