Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Чусовская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №4401	УИК №4402	УИК №4403	УИК №4404	УИК №4405	УИК №4406	УИК №4407	УИК №4408	УИК №4409	УИК №4410	УИК №4411	УИК №4412	УИК №4413	УИК №4414	УИК №4415	УИК №4416	УИК №4417	УИК №4418	УИК №4419	УИК №4420	УИК №4421	УИК №4422	УИК №4423	УИК №4424	УИК №4425	УИК №4426	УИК №4427	УИК №4428	УИК №4429	УИК №4430	УИК №4431	УИК №4432	УИК №4433	УИК №4434	УИК №4435	УИК №4436	УИК №4437	УИК №4438	УИК №4439	УИК №4440	УИК №4441	УИК №4442	УИК №4443	УИК №4444	УИК №4445	УИК №4446	УИК №4447	УИК №4448	УИК №4449	УИК №4450	УИК №4451	УИК №4452	УИК №4453	УИК №4454									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	53223	967	688	1017	932	1530	373	1795	867	1011	1210	680	2100	2017	2162	2148	2083	806	2083	1393	2066	2291	2004	1930	431	1972	1619	1716	865	1089	171	221	287	359	482	598	148	726	811	250	552	232	577	954	97	232	238	1396	450	565	92	1020	259	483	178									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	50410	900	700	1000	900	1400	300	1800	800	1000	1200	600	2000	2000	2000	2000	2000	700	2000	1300	2000	2000	1900	1900	400	1900	1600	1700	800	1000	150	200	250	350	450	500	150	700	800	200	500	200	500	900	90	200	240	1400	400	500	80	1000	250	450	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	8	0	0	0	14	8	0	0	10	28	0	0	8	0	0	14	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	18658	358	242	282	236	413	94	581	294	338	437	186	697	678	778	853	878	289	764	581	905	893	746	812	107	644	434	440	255	360	78	39	100	136	195	214	35	211	262	88	170	61	174	381	44	90	75	514	201	329	68	304	91	145	78									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1024	18	9	12	8	27	0	12	19	22	8	22	19	24	17	24	27	60	11	1	12	8	10	28	18	14	7	23	14	21	0	11	14	15	13	13	10	51	25	26	22	8	78	114	12	16	14	41	3	11	0	28	2	0	2									
6	Число погашенных избирательных бюллетеней	30596	524	449	706	656	960	206	1207	487	640	755	392	1284	1298	1205	1123	1095	351	1225	718	1083	1099	1144	1060	275	1242	1159	1237	531	577	72	142	136	199	242	259	97	438	513	76	280	131	248	397	34	94	137	845	196	160	12	668	157	305	70									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1156	18	9	12	8	27	0	12	19	22	8	22	19	24	17	24	27	60	11	1	12	8	10	28	18	14	7	23	14	63	0	19	14	15	13	27	18	51	25	36	50	8	78	122	12	16	28	41	3	11	0	28	2	0	2									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	18638	358	242	282	236	413	94	581	294	338	437	186	697	678	777	853	878	289	764	580	905	892	745	802	106	644	432	440	255	360	78	39	100	136	195	214	35	211	262	88	170	61	174	379	44	90	75	514	201	329	68	304	90	145	78									
9	Число недействительных избирательных бюллетеней	1174	24	21	14	16	39	9	57	13	30	33	9	41	37	38	44	63	20	33	31	42	39	43	48	7	49	35	42	38	21	3	2	3	3	9	8	2	3	22	6	10	10	11	17	0	2	2	48	14	16	0	19	7	17	4									
10	Число действительных избирательных бюллетеней	18620	352	230	280	228	401	85	536	300	330	412	199	675	665	756	833	842	329	742	550	875	861	712	782	117	609	404	421	231	402	75	56	111	148	199	233	51	259	265	118	210	59	241	484	56	104	101	507	190	324	68	313	85	128	76									
