Выборы Президента Российской Федерации																									
																									
Наименование Избирательной комиссии:    Новоторъяльская																									
																									
Итоги голосования 																									
																									
		Сумма	УИК  423	УИК  424	УИК  425	УИК  426	УИК  427	УИК  428	УИК  429	УИК  430	УИК  431	УИК  432	УИК  433	УИК  434	УИК  435	УИК  436	УИК  437	УИК  438	УИК  439	УИК  440					
1	"Число избирателей, внесенных в список"	12615	1321	1298	1158	1283	556	614	233	377	386	330	771	248	1013	843	713	498	508	465					
2	Число полученных избирательных бюллетеней	12000	1200	1000	1000	1200	550	550	250	400	400	350	850	250	1000	800	700	500	500	500					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7511	882	704	786	932	261	352	125	271	243	248	514	172	552	399	344	237	314	175					
5	"Число избирательных бюллетеней, выданных вне помещения"	2279	50	209	29	42	139	143	67	62	106	65	146	39	236	257	229	181	113	166					
6	Число погашенных избирательных бюллетеней	2210	268	87	185	226	150	55	58	67	51	37	190	39	212	144	127	82	73	159					
7	Число избирательных бюллетеней в переносных ящиках	2279	50	209	29	42	139	143	67	62	106	65	146	39	236	257	229	181	113	166					
8	Число бюллетеней в стационарных ящиках для голосования	7511	882	704	786	932	261	352	125	271	243	248	514	172	552	399	344	237	314	175					
9	Число недействительных избирательных бюллетеней	58	4	12	6	5	3	3	0	4	2	6	3	1	0	2	3	4	0	0					
10	Число действительных избирательных бюллетеней	9732	928	901	809	969	397	492	192	329	347	307	657	210	788	654	570	414	427	341					
11	Число полученных открепительных  удостоверений	401	30	30	30	40	15	16	10	15	25	30	39	20	21	20	15	15	15	15					
12	Число выданных открепительных удостоверений	318	17	14	21	30	8	16	10	6	24	30	39	20	21	15	15	15	2	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	76	6	5	2	13	3	2	5	6	2	1	6	4	1	7	4	2	3	4					
14	Число неиспользованных открепительных удостоверений	83	13	16	9	10	7	0	0	9	1	0	0	0	0	5	0	0	13	0					
15	"Число открепительных удостоверений, выданных в ТИК"	8	2	1	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																									
18	. Глазьев Сергей Юрьевич	250	34	31	32	44	11	1	3	2	8	7	8	2	7	12	29	5	9	5					
		2.55%	3.65%	3.40%	3.93%	4.52%	2.75%	0.20%	1.56%	0.60%	2.29%	2.24%	1.21%	0.95%	0.89%	1.83%	5.06%	1.20%	2.11%	1.47%					
19	. Малышкин Олег Александрович	336	30	27	23	32	15	16	3	17	30	10	32	4	20	19	25	9	11	13					
		3.43%	3.22%	2.96%	2.82%	3.29%	3.75%	3.23%	1.56%	5.11%	8.60%	3.19%	4.85%	1.90%	2.54%	2.90%	4.36%	2.15%	2.58%	3.81%					
20	. Миронов Сергей Михайлович	67	13	18	4	5	2	3	1	1	4	2	2	0	2	2	3	2	1	2					
		0.68%	1.39%	1.97%	0.49%	0.51%	0.50%	0.61%	0.52%	0.30%	1.15%	0.64%	0.30%	0.00%	0.25%	0.30%	0.52%	0.48%	0.23%	0.59%					
21	. Путин Владимир Владимирович	6785	612	641	547	630	194	379	165	259	247	234	442	147	557	443	378	312	349	249					
		69.31%	65.67%	70.21%	67.12%	64.68%	48.50%	76.57%	85.94%	77.78%	70.77%	74.76%	66.97%	69.67%	70.69%	67.53%	65.97%	74.64%	81.73%	73.02%					
22	. Хакамада Ирина Муцуовна	162	18	23	10	23	8	7	4	5	7	4	10	7	12	4	8	3	3	6					
		1.65%	1.93%	2.52%	1.23%	2.36%	2.00%	1.41%	2.08%	1.50%	2.01%	1.28%	1.52%	3.32%	1.52%	0.61%	1.40%	0.72%	0.70%	1.76%					
23	. Харитонов Николай Михайлович	1991	205	145	164	212	164	81	13	44	48	46	160	46	176	171	124	81	48	63					
		20.34%	22.00%	15.88%	20.12%	21.77%	41.00%	16.36%	6.77%	13.21%	13.75%	14.70%	24.24%	21.80%	22.34%	26.07%	21.64%	19.38%	11.24%	18.48%					
																									
24	Против всех	141	16	16	29	23	3	5	3	1	3	4	3	4	14	3	3	2	6	3					
		1.44%	1.72%	1.75%	3.56%	2.36%	0.75%	1.01%	1.56%	0.30%	0.86%	1.28%	0.45%	1.90%	1.78%	0.46%	0.52%	0.48%	1.41%	0.88%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
