Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Майнская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20887	938	983	309	669	495	423	445	1979	2005	1479	802	530	353	294	297	561	518	419	201	542	199	330	365	332	409	311	364	427	256	230	198	1323	351	810	740									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21840	990	1040	320	660	520	450	470	1980	2070	1530	830	570	380	320	320	600	550	450	210	580	220	350	400	360	440	320	400	450	310	240	190	1370	360	830	760									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11728	482	591	158	291	302	243	286	1174	997	615	492	370	213	160	164	314	289	304	125	277	106	203	208	221	265	206	234	252	215	205	129	608	273	375	381									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2550	119	108	47	123	40	33	51	137	132	244	37	80	51	40	44	131	99	18	27	91	23	25	67	45	75	43	62	65	41	7	17	97	22	92	217									
6	Число погашенных избирательных бюллетеней	7562	389	341	115	246	178	174	133	669	941	671	301	120	116	120	112	155	162	128	58	212	91	122	125	94	100	71	104	133	54	28	44	665	65	363	162									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2550	119	108	47	123	40	33	51	137	132	244	37	80	51	40	44	131	99	18	27	91	23	25	67	45	75	43	62	65	41	7	17	97	22	92	217									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11728	482	591	158	291	302	243	286	1174	997	615	492	370	213	160	164	314	289	304	125	277	106	203	208	221	265	206	234	252	215	205	129	608	273	375	381									
9	Число недействительных избирательных бюллетеней	207	6	3	1	4	8	3	1	20	19	12	9	0	3	3	5	1	2	21	0	2	2	2	3	1	5	1	2	6	4	3	4	28	1	14	8									
10	Число действительных избирательных бюллетеней	14071	595	696	204	410	334	273	336	1291	1110	847	520	450	261	197	203	444	386	301	152	366	127	226	272	265	335	248	294	311	252	209	142	677	294	453	590									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1125	40	55	20	40	30	25	25	60	55	50	40	35	30	25	20	40	35	35	15	35	20	25	35	30	35	20	35	35	30	15	15	50	20	30	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1107	40	55	20	40	30	25	25	60	55	50	22	35	30	25	20	40	35	35	15	35	20	25	35	30	35	20	35	35	30	15	15	50	20	30	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	125	3	1	5	0	6	3	4	21	14	6	0	5	4	1	2	2	2	1	2	2	2	2	0	1	0	4	3	5	0	1	0	10	4	7	2									
14	Число погашенных неиспользованных открепительных удостоверений	18	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	75	9	3	0	5	1	3	3	4	18	3	3	5	0	3	2	0	1	0	0	0	0	0	0	2	0	1	0	1	1	1	1	2	0	2	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																														
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	82	3	1	0	1	3	1	1	12	9	1	2	0	4	6	1	1	0	3	2	3	1	1	2	2	0	1	2	2	1	1	0	4	3	4	4									
		0.57%	0.50%	0.14%	0.00%	0.24%	0.88%	0.36%	0.30%	0.92%	0.80%	0.12%	0.38%	0.00%	1.52%	3.00%	0.48%	0.22%	0.00%	0.93%	1.32%	0.82%	0.78%	0.44%	0.73%	0.75%	0.00%	0.40%	0.68%	0.63%	0.39%	0.47%	0.00%	0.57%	1.02%	0.86%	0.67%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	344	15	33	4	5	9	4	8	46	27	4	17	13	8	7	1	6	8	3	2	19	2	8	3	6	7	4	10	12	2	5	4	15	4	14	9									
		2.41%	2.50%	4.72%	1.95%	1.21%	2.63%	1.45%	2.37%	3.51%	2.39%	0.47%	3.21%	2.89%	3.03%	3.50%	0.48%	1.35%	2.06%	0.93%	1.32%	5.16%	1.55%	3.51%	1.09%	2.26%	2.06%	1.61%	3.38%	3.79%	0.78%	2.36%	2.74%	2.13%	1.36%	2.99%	1.51%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	217	8	15	3	12	2	6	3	24	14	2	6	0	6	3	2	34	6	10	1	2	1	4	4	7	2	2	5	2	1	3	2	6	0	13	6									
		1.52%	1.33%	2.15%	1.46%	2.90%	0.58%	2.17%	0.89%	1.83%	1.24%	0.23%	1.13%	0.00%	2.27%	1.50%	0.96%	7.64%	1.55%	3.11%	0.66%	0.54%	0.78%	1.75%	1.45%	2.63%	0.59%	0.80%	1.69%	0.63%	0.39%	1.42%	1.37%	0.85%	0.00%	2.78%	1.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9394	403	451	121	245	220	182	252	751	629	634	331	263	181	130	155	303	250	230	114	232	93	161	182	165	241	198	200	237	208	177	121	388	226	268	452									
		65.79%	67.05%	64.52%	59.02%	59.18%	64.33%	65.94%	74.78%	57.28%	55.71%	73.81%	62.57%	58.44%	68.56%	65.00%	74.52%	68.09%	64.43%	71.43%	75.00%	63.04%	72.09%	70.61%	66.18%	62.03%	70.88%	79.52%	67.57%	74.76%	81.25%	83.49%	82.88%	55.04%	76.61%	57.39%	75.59%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	41	3	1	2	0	2	1	0	5	8	0	0	0	1	0	0	2	3	0	0	2	0	0	3	0	2	1	1	0	0	0	0	2	0	2	0									
		0.29%	0.50%	0.14%	0.98%	0.00%	0.58%	0.36%	0.00%	0.38%	0.71%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.45%	0.77%	0.00%	0.00%	0.54%	0.00%	0.00%	1.09%	0.00%	0.59%	0.40%	0.34%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.43%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	18	1	0	0	3	0	1	1	3	0	0	0	0	0	1	0	0	0	0	2	1	0	2	0	0	0	0	1	0	1	0	0	1	0	0	0									
		0.13%	0.17%	0.00%	0.00%	0.72%	0.00%	0.36%	0.30%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	1.32%	0.27%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.39%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2063	70	97	31	62	58	43	30	202	242	130	110	77	36	28	17	62	60	23	21	42	21	19	45	26	41	19	41	22	16	12	9	167	40	93	51									
		14.45%	11.65%	13.88%	15.12%	14.98%	16.96%	15.58%	8.90%	15.41%	21.43%	15.13%	20.79%	17.11%	13.64%	14.00%	8.17%	13.93%	15.46%	7.14%	13.82%	11.41%	16.28%	8.33%	16.36%	9.77%	12.06%	7.63%	13.85%	6.94%	6.25%	5.66%	6.16%	23.69%	13.56%	19.91%	8.53%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	22	0	1	0	1	0	0	0	3	5	0	2	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	3	3									
		0.15%	0.00%	0.14%	0.00%	0.24%	0.00%	0.00%	0.00%	0.23%	0.44%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.36%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.64%	0.50%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	50	1	2	2	0	1	0	1	5	9	0	1	0	0	1	0	0	6	2	0	2	0	2	1	0	0	1	2	0	0	0	0	3	2	6	0									
		0.35%	0.17%	0.29%	0.98%	0.00%	0.29%	0.00%	0.30%	0.38%	0.80%	0.00%	0.19%	0.00%	0.00%	0.50%	0.00%	0.00%	1.55%	0.62%	0.00%	0.54%	0.00%	0.88%	0.36%	0.00%	0.00%	0.40%	0.68%	0.00%	0.00%	0.00%	0.00%	0.43%	0.68%	1.28%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	18	0	2	0	0	0	0	0	2	1	0	1	0	0	0	1	1	0	1	0	0	0	1	3	1	1	0	1	0	0	0	1	0	0	0	1									
		0.13%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.09%	0.00%	0.19%	0.00%	0.00%	0.00%	0.48%	0.22%	0.00%	0.31%	0.00%	0.00%	0.00%	0.44%	1.09%	0.38%	0.29%	0.00%	0.34%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.17%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	66	2	0	1	2	2	1	0	9	9	3	5	0	0	3	3	2	0	0	0	0	1	1	4	4	2	0	3	1	0	0	0	1	3	3	1									
		0.46%	0.33%	0.00%	0.49%	0.48%	0.58%	0.36%	0.00%	0.69%	0.80%	0.35%	0.95%	0.00%	0.00%	1.50%	1.44%	0.45%	0.00%	0.00%	0.00%	0.00%	0.78%	0.44%	1.45%	1.50%	0.59%	0.00%	1.01%	0.32%	0.00%	0.00%	0.00%	0.14%	1.02%	0.64%	0.17%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1507	73	81	33	71	30	31	34	199	132	63	38	88	15	17	22	27	49	26	9	58	8	24	19	45	29	13	23	30	23	10	5	74	12	41	55									
		10.55%	12.15%	11.59%	16.10%	17.15%	8.77%	11.23%	10.09%	15.18%	11.69%	7.33%	7.18%	19.56%	5.68%	8.50%	10.58%	6.07%	12.63%	8.07%	5.92%	15.76%	6.20%	10.53%	6.91%	16.92%	8.53%	5.22%	7.77%	9.46%	8.98%	4.72%	3.42%	10.50%	4.07%	8.78%	9.20%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	36	2	3	1	4	1	1	1	7	4	1	0	0	0	1	1	0	0	0	0	1	0	1	1	1	0	2	1	0	0	0	0	0	2	0	0									
		0.25%	0.33%	0.43%	0.49%	0.97%	0.29%	0.36%	0.30%	0.53%	0.35%	0.12%	0.00%	0.00%	0.00%	0.50%	0.48%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.44%	0.36%	0.38%	0.00%	0.80%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	213	14	9	6	4	6	2	5	23	21	9	7	9	10	0	0	6	4	3	1	4	0	1	4	7	10	7	4	5	0	1	0	15	2	6	8									
		1.49%	2.33%	1.29%	2.93%	0.97%	1.75%	0.72%	1.48%	1.75%	1.86%	1.05%	1.32%	2.00%	3.79%	0.00%	0.00%	1.35%	1.03%	0.93%	0.66%	1.09%	0.00%	0.44%	1.45%	2.63%	2.94%	2.81%	1.35%	1.58%	0.00%	0.47%	0.00%	2.13%	0.68%	1.28%	1.34%									
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
																																														
