Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																			
Дата голосования: 02.12.2007																																																																																			
																																																																																			
Наименование Избирательной комиссии:    Адмиралтейская N 1																																																																																			
																																																																																			
Сводная таблица результатов выборов																																																																																			
																																																																																			
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76					
1	"Число избирателей, внесенных в списки избирателей"	133900	1981	1751	2211	1675	2224	2011	1918	2190	2585	1942	1910	2399	2423	2087	1415	2093	1359	2231	2149	1960	2068	1748	1821	1699	1809	2313	2237	2118	1804	1059	1680	1833	1506	2029	1772	1681	1853	2029	1843	1880	1259	2170	2299	2087	1958	2183	2094	2005	1814	1464	1792	1707	1550	1798	1932	1183	2782	1903	1006	2598	1772	2180	1833	2223	1666	1570	2199	1667	1938	388	165	228	109	406	336	340					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	107700	1500	1400	1700	1300	1700	1500	1500	1700	2300	1500	1500	1700	1800	1600	1000	1700	1000	1600	1600	1500	1600	1400	1500	1400	1400	1700	1800	1600	1500	1000	1300	1400	1200	1700	1400	1100	1400	1600	1300	1500	1000	1600	1800	1600	1500	1700	1600	1500	1500	1000	1400	1500	1500	1400	1500	1000	2000	1500	700	2000	1500	1600	1500	1700	1500	1300	1700	1500	1500	500	200	300	200	500	1000	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	63031	940	1018	985	799	975	894	828	1057	1133	976	906	986	1099	960	683	1066	690	1069	949	776	968	821	816	827	860	931	1104	919	785	536	762	875	712	1042	1146	870	847	928	966	869	630	1011	957	1023	883	1023	1298	923	867	675	893	732	670	843	927	500	1303	956	487	1462	849	975	837	1014	743	697	873	721	756	20	28	165	13	228	336	340					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	2324	30	34	34	16	24	21	39	31	24	22	15	23	18	25	5	35	18	23	22	22	33	17	35	19	30	25	24	31	35	11	33	23	11	17	14	29	16	30	21	26	17	23	24	19	19	26	8	157	10	7	44	29	12	18	28	17	25	32	16	18	14	25	11	46	7	23	14	21	55	342	137	23	96	0	0	0					
6	Число погашенных избирательных бюллетеней	42344	530	348	681	485	701	585	633	612	1143	502	579	691	683	615	312	599	292	508	629	702	599	562	649	554	510	744	672	650	680	453	505	502	477	641	240	201	537	642	313	605	353	566	819	558	598	651	294	420	623	318	463	739	818	539	545	483	672	512	197	520	636	600	652	640	750	580	813	758	689	138	35	112	91	272	664	1660					
7	Число избирательных бюллетеней в переносных ящиках для голосования	2320	30	34	34	16	24	21	39	31	24	22	15	23	18	25	5	35	18	23	22	22	33	16	35	19	30	25	24	31	35	11	33	23	11	17	14	29	16	30	21	26	17	23	24	19	19	26	8	154	10	7	44	29	12	18	28	17	25	32	16	18	14	25	11	46	7	23	14	21	55	342	137	23	96	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	62849	936	978	983	799	972	887	826	1054	1130	975	905	985	1097	960	683	1066	687	1060	949	776	966	815	816	825	858	931	1101	917	783	536	757	872	710	1039	1146	867	847	927	966	864	630	1011	953	1018	880	1021	1295	919	865	675	889	731	670	843	926	499	1298	953	487	1458	848	973	832	1013	742	694	873	720	755	20	28	165	13	228	336	337					
9	Число недействительных избирательных бюллетеней	654	6	10	8	10	6	5	8	15	8	13	5	8	10	9	3	14	5	10	15	7	7	13	6	18	12	10	15	4	3	8	8	11	13	9	18	8	8	5	9	8	7	8	10	16	8	11	14	11	8	6	10	4	8	8	8	3	8	11	1	26	14	8	8	11	6	7	8	5	2	10	1	5	2	5	1	7					
10	Число действительных избирательных бюллетеней	64515	960	1002	1009	805	990	903	857	1070	1146	984	915	1000	1105	976	685	1087	700	1073	956	791	992	818	845	826	876	946	1110	944	815	539	782	884	708	1047	1142	888	855	952	978	882	640	1026	967	1021	891	1036	1289	1062	867	676	923	756	674	853	946	513	1315	974	502	1450	848	990	835	1048	743	710	879	736	808	352	164	183	107	223	335	330					
