Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																										
Дата голосования: 04.12.2011																																										
																																										
Наименование Избирательной комиссии:    Верхнепышминская городская																																										
																																										
Сводная таблица результатов выборов																																										
																																										
		Сумма	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202	УИК №1203	УИК №1204	УИК №1205	УИК №1206	УИК №1207	УИК №1208	УИК №1209	УИК №1210	УИК №1211					
1	"Число избирателей, внесенных в список избирателей"	58947	2823	2783	1372	2143	2020	2627	2766	2850	1305	2677	2879	2466	2419	1703	1046	2410	2066	3210	2672	1199	180	2037	705	1328	598	1879	201	2269	246	314	365	167	1595	480	1147					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	56100	2600	2700	1100	2000	1900	2500	2600	2600	1200	2600	2700	2400	2300	1600	1700	2000	2800	2700	2600	1100	150	2000	600	1300	600	1800	200	2000	200	200	300	150	1500	400	1000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	28720	1515	1425	677	1021	980	1413	1416	1385	654	1245	1392	1144	1245	782	921	1148	1216	1605	1336	479	90	859	172	600	237	736	74	1105	113	138	119	77	607	137	657					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1294	24	25	50	94	14	46	11	16	13	14	6	6	14	38	125	199	41	38	44	19	0	32	84	10	14	29	6	15	10	19	23	3	150	57	5					
6	Число погашенных избирательных бюллетеней	26084	1061	1248	373	885	906	1041	1173	1199	533	1341	1302	1250	1041	780	654	653	1543	1057	1220	602	60	1109	344	690	349	1035	120	880	77	43	158	70	743	206	338					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1292	24	23	50	94	14	46	11	16	13	14	6	6	14	38	125	199	41	38	44	19	0	32	84	10	14	29	6	15	10	19	23	3	150	57	5					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	28676	1515	1402	677	1021	980	1405	1405	1385	654	1245	1392	1144	1245	782	921	1148	1216	1605	1336	479	90	859	172	599	237	736	74	1105	113	138	119	77	607	137	656					
9	Число недействительных избирательных бюллетеней	655	31	28	18	22	17	32	23	23	7	28	25	25	16	19	36	45	9	38	34	9	2	26	12	30	7	24	2	22	1	3	3	0	27	4	7					
10	Число действительных избирательных бюллетеней	29313	1508	1397	709	1093	977	1419	1393	1378	660	1231	1373	1125	1243	801	1010	1302	1248	1605	1346	489	88	865	244	579	244	741	78	1098	122	154	139	80	730	190	654					
