Выборы Президента Российской Федерации																																																																											
																																																																											
"Наименование Избирательной комиссии:    Челябинск, Ленинская"																																																																											
																																																																											
Итоги голосования 																																																																											
																																																																											
		Сумма	УИК №1961	УИК №1962	УИК №1963	УИК №1964	УИК №1965	УИК №1966	УИК №1967	УИК №1968	УИК №1969	УИК №1970	УИК №1972	УИК №1973	УИК №1974	УИК №1975	УИК №1976	УИК №1977	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1994	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №1999	УИК №2000	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030					
1	"Число избирателей, внесенных в список"	141726	2024	1768	2059	2131	2528	1738	2438	1924	2490	2818	2177	2572	2000	1744	2230	2113	2057	2105	2237	2070	1808	2265	2330	2238	2190	2505	1729	1047	2458	2748	1476	1717	2347	1994	2227	1734	2158	2093	2230	1674	1825	1185	2297	1678	1436	2379	2384	2076	2431	2245	2364	2778	2547	1952	1755	2034	1756	1995	2041	1773	1722	1734	1874	1517	2902	2217	2318	2320					
2	Число полученных избирательных бюллетеней	136000	2000	1600	2000	2000	2500	1700	2300	2000	2500	2800	2000	2500	2000	1700	2200	2000	2000	2000	2000	2000	1700	2300	2300	2300	2200	2400	1700	1000	2300	2300	1500	1600	2200	2100	2100	1700	2100	2000	2100	1500	1700	1000	2000	1600	1300	2400	2300	2000	2200	2100	2300	2500	2600	2000	1600	2000	1700	2000	2000	2000	1700	1700	1500	1500	2700	2100	2200	2100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	83746	1242	1018	1238	1321	1528	1079	1483	1158	1487	1874	1193	1537	1236	1008	1255	1150	1334	1283	1170	1249	938	1288	1275	1227	1254	1470	1056	634	1397	1463	857	1054	1408	1326	1222	1017	1331	1354	1341	888	1022	637	1468	985	814	1491	1412	1226	1417	1389	1492	1616	1645	1248	922	1168	1071	1180	1254	1056	877	1044	1209	944	1473	1309	1393	1341					
5	"Число избирательных бюллетеней, выданных вне помещения"	4219	57	31	104	37	28	43	56	59	38	57	165	27	103	56	107	35	75	19	63	86	62	77	102	77	52	67	37	67	80	153	34	61	25	39	81	16	69	65	79	61	73	81	19	39	37	75	40	74	63	41	38	121	81	32	79	71	43	35	25	72	27	74	88	71	106	56	60	48					
6	Число погашенных избирательных бюллетеней	48034	701	551	658	642	944	578	761	783	975	869	642	936	661	636	838	815	591	698	767	665	700	935	923	996	894	863	607	299	823	683	609	485	767	735	797	667	700	581	680	551	605	282	513	576	449	834	848	700	720	670	770	763	874	720	599	761	586	785	721	872	796	582	203	485	1121	735	747	711					
7	Число избирательных бюллетеней в переносных ящиках	4218	57	31	104	37	28	43	56	59	38	57	165	27	103	56	107	35	75	19	63	86	62	77	102	77	52	67	37	67	80	153	34	61	25	39	81	16	69	65	79	61	73	81	19	39	37	75	40	74	63	41	38	121	81	32	79	71	43	35	25	71	27	74	88	71	106	56	60	48					
8	Число бюллетеней в стационарных ящиках для голосования	83709	1242	1018	1238	1321	1525	1079	1483	1158	1486	1874	1193	1532	1236	1008	1254	1150	1334	1283	1170	1249	930	1287	1275	1227	1254	1470	1056	634	1397	1463	857	1054	1408	1326	1222	1017	1330	1354	1341	888	1022	637	1468	985	814	1488	1412	1224	1412	1389	1492	1613	1645	1248	922	1168	1071	1180	1254	1056	877	1042	1207	944	1473	1309	1393	1341					
9	Число недействительных избирательных бюллетеней	642	4	10	6	10	13	7	13	17	5	13	15	2	2	5	7	10	12	17	5	9	7	18	11	14	15	8	15	5	3	13	7	3	9	9	7	9	5	4	11	6	15	7	10	10	5	11	11	10	0	17	5	16	11	6	1	8	2	20	5	14	17	7	11	13	20	9	2	18					
10	Число действительных избирательных бюллетеней	87285	1295	1039	1336	1348	1540	1115	1526	1200	1519	1918	1343	1557	1337	1059	1354	1175	1397	1285	1228	1326	985	1346	1366	1290	1291	1529	1078	696	1474	1603	884	1112	1424	1356	1296	1024	1394	1415	1409	943	1080	711	1477	1014	846	1552	1441	1288	1475	1413	1525	1718	1715	1274	1000	1231	1112	1195	1274	1113	887	1109	1284	1002	1559	1356	1451	1371					
11	Число полученных открепительных  удостоверений	2210	40	30	30	30	50	40	30	30	30	30	30	40	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	60	30	30	30	30	30	30	30	30	30	30	30	30	30	30	40	30	30	30	30	30	30	40	90	30	30	30	30	30	30	30	30	40	30	30	30	30	30					
12	Число выданных открепительных удостоверений	1411	32	12	13	12	37	26	23	17	16	30	25	31	25	19	23	12	14	18	29	24	15	20	24	26	20	20	22	4	24	28	28	16	24	28	20	26	15	28	25	6	14	5	11	10	9	34	16	16	25	26	26	24	30	72	8	20	14	11	10	28	15	21	32	10	19	17	16	15					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1231	17	15	16	7	12	20	10	15	16	12	13	20	30	16	29	20	11	13	31	15	14	11	13	26	13	25	16	13	23	15	12	11	13	8	14	3	9	30	17	12	7	27	83	63	29	13	11	9	25	10	20	29	22	24	11	15	14	8	7	16	4	11	59	27	16	14	14	7					
14	Число неиспользованных открепительных удостоверений	799	8	18	17	18	13	14	7	13	14	0	5	9	5	11	7	18	16	12	1	6	15	10	6	4	10	10	8	26	6	2	32	14	6	2	10	4	15	2	5	24	16	25	19	20	21	6	14	14	5	4	4	6	10	18	22	10	16	19	20	2	15	9	8	20	11	13	14	15					
15	"Число открепительных удостоверений, выданных в ТИК"	91	1	1	4	3	3	1	1	2	1	2	0	2	3	1	1	2	0	2	0	1	1	0	1	1	0	3	0	0	3	0	1	1	1	4	2	1	0	0	3	0	3	0	1	1	0	3	2	0	2	3	0	0	3	0	0	5	0	1	2	0	5	0	1	1	3	2	0	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																											
18	. Глазьев Сергей Юрьевич	3484	40	32	57	48	59	42	69	64	50	74	51	68	54	49	57	45	45	56	56	35	28	28	58	45	42	89	44	22	54	75	38	43	55	69	37	64	61	59	69	40	36	34	63	30	32	62	65	55	52	58	69	80	80	39	50	49	39	32	45	31	28	65	33	30	52	64	72	68					
