Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																	
Дата голосования: 07.12.2003 0:00:00																																	
																																	
Наименование Избирательной комиссии:    Пролетарская																																	
																																	
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																	
																																	
		Сумма	УИК  699	УИК  700	УИК  701	УИК  702	УИК  703	УИК  704	УИК  705	УИК  706	УИК  707	УИК  708	УИК  709	УИК  710	УИК  711	УИК  712	УИК  713	УИК  714	УИК  715	УИК  716	УИК  717	УИК  718	УИК  719	УИК  720	УИК  721	УИК  722	УИК  723	УИК  724					
1	"Число избирателей, внесенных в списки"	25791	2665	1651	1496	1822	2078	1805	1527	2220	892	405	1390	175	152	1334	171	421	648	116	463	231	924	593	366	1364	746	136					
2	"Число бюллетеней, полученных участковыми комиссиями"	23263	2285	1490	1385	1625	1890	1625	1340	1945	805	365	1310	178	154	1205	173	355	590	104	430	240	855	535	325	1250	670	134					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	14090	1204	885	664	933	998	926	703	958	550	256	930	132	103	794	110	244	497	97	324	183	568	327	214	851	530	109					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1321	102	85	90	28	72	83	36	171	35	16	68	18	0	93	12	49	29	0	15	11	81	33	9	142	39	4					
6	Число погашенных бюллетеней	7852	979	520	631	664	820	616	601	816	220	93	312	28	51	318	51	62	64	7	91	46	206	175	102	257	101	21					
7	Число бюллетеней в переносных ящиках для голосования	1321	102	85	90	28	72	83	36	171	35	16	68	18	0	93	12	49	29	0	15	11	81	33	9	142	39	4					
8	Число бюллетеней в стационарных ящиках для голосования	14087	1204	885	663	933	998	924	703	958	550	256	930	132	103	794	110	244	497	97	324	183	568	327	214	851	530	109					
9	Число недействительных бюллетеней	166	11	8	10	15	14	10	5	10	2	3	24	4	6	12	1	5	3	0	1	3	0	5	0	9	0	5					
10	Число действительных бюллетеней	15242	1295	962	743	946	1056	997	734	1119	583	269	974	146	97	875	121	288	523	97	338	191	649	355	223	984	569	108					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	499	33	28	28	28	34	28	28	33	15	10	28	10	10	28	10	10	15	10	10	10	15	15	10	28	15	10					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	106	6	1	8	6	12	2	0	2	1	1	9	0	0	17	2	0	5	0	10	0	13	1	0	10	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	39	7	3	0	4	3	4	0	0	1	1	1	0	0	3	2	5	0	0	1	0	0	0	0	2	1	1					
14	Число погашенных открепительных удостоверений	393	27	27	20	22	22	26	28	31	14	9	19	10	10	11	8	10	10	10	0	10	2	14	10	18	15	10					
15	Число открепительных удостоверений выданных ТИК	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																	
18	"1. ""ЕДИНЕНИЕ"""	212	19	10	8	14	9	10	9	10	6	4	13	5	6	18	6	7	3	3	6	9	12	3	8	11	0	3					
		1.37%	1.45%	1.03%	1.06%	1.45%	0.84%	0.99%	1.21%	0.88%	1.02%	1.47%	1.30%	3.33%	5.82%	2.02%	4.91%	2.38%	0.57%	3.09%	1.76%	4.63%	1.84%	0.83%	3.58%	1.10%	0.0%	2.65%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	165	16	14	11	8	18	10	14	7	7	0	8	0	2	6	1	1	7	1	2	3	8	5	1	6	8	1					
		1.07%	1.22%	1.44%	1.46%	0.83%	1.68%	0.99%	1.89%	0.62%	1.19%	0.0%	0.80%	0.0%	1.94%	0.67%	0.81%	0.34%	1.33%	1.03%	0.58%	1.54%	1.23%	1.38%	0.44%	0.60%	1.40%	0.88%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	446	42	16	20	22	25	36	18	25	12	6	26	1	0	22	3	6	13	4	7	8	17	4	1	33	70	9					
		2.89%	3.21%	1.64%	2.65%	2.28%	2.33%	3.57%	2.43%	2.21%	2.05%	2.20%	2.60%	0.66%	0.0%	2.48%	2.45%	2.04%	2.47%	4.12%	2.06%	4.12%	2.61%	1.11%	0.44%	3.32%	12.30%	7.96%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	154	16	10	21	10	10	7	8	9	2	3	14	1	1	7	3	7	0	1	0	3	8	0	1	9	3	0					
