Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																			
Дата голосования: 07.12.2003 0:00:00																																			
																																			
Наименование Избирательной комиссии:    Ракитянская 																																			
																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																			
																																			
		Сумма	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853	УИК  854	УИК  855	УИК  856	УИК  857	УИК  858	УИК  859	УИК  860	УИК  861	УИК  862	УИК  863	УИК  864	УИК  865	УИК  866	УИК  867	УИК  868	УИК  869	УИК  870	УИК  871	УИК  872	УИК  873	УИК  874	УИК  875					
1	"Число избирателей, внесенных в списки"	26437	380	1112	345	562	233	454	234	957	267	542	840	347	832	687	330	614	464	386	404	2257	2559	2232	541	1345	2243	1949	2478	843					
2	"Число бюллетеней, полученных участковыми комиссиями"	26278	374	1108	342	560	235	450	229	957	267	540	835	346	840	683	327	610	462	393	399	2244	2550	2227	536	1317	2205	1940	2458	844					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	16384	265	761	225	315	135	202	143	468	95	486	690	244	696	582	234	417	256	250	250	1345	1523	1357	271	822	1429	1005	1326	592					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	3406	75	203	73	120	74	139	51	267	145	47	60	45	92	82	64	111	137	81	94	49	103	61	136	99	128	461	247	162					
6	Число погашенных бюллетеней	6488	34	144	44	125	26	109	35	222	27	7	85	57	52	19	29	82	69	62	55	850	924	809	129	396	648	474	885	90					
7	Число бюллетеней в переносных ящиках для голосования	3406	75	203	73	120	74	139	51	267	145	47	60	45	92	82	64	111	137	81	94	49	103	61	136	99	128	461	247	162					
8	Число бюллетеней в стационарных ящиках для голосования	16384	265	761	225	315	135	202	143	468	95	486	690	244	696	582	234	417	256	250	250	1345	1523	1357	271	822	1429	1005	1326	592					
9	Число недействительных бюллетеней	271	4	3	2	4	1	4	6	11	1	20	5	25	42	4	6	5	3	11	6	15	17	20	2	15	13	13	10	3					
10	Число действительных бюллетеней	19519	336	961	296	431	208	337	188	724	239	513	745	264	746	660	292	523	390	320	338	1379	1609	1398	405	906	1544	1453	1563	751					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	200	3	10	3	4	3	3	3	10	3	3	8	4	8	0	3	3	5	3	3	14	14	14	3	15	15	12	15	16					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	54	1	0	0	1	0	0	0	0	0	0	1	0	6	0	0	0	1	1	0	3	7	4	0	2	10	5	8	4					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	66	2	2	3	0	0	2	3	6	0	2	2	1	1	0	4	0	2	3	1	6	4	2	1	3	10	1	2	3					
14	Число погашенных открепительных удостоверений	146	2	10	3	3	3	3	3	10	3	3	7	4	2	0	3	3	4	2	3	11	7	10	3	13	5	7	7	12					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
18	"1. ""ЕДИНЕНИЕ"""	243	3	17	9	4	3	7	5	10	8	6	9	4	9	4	1	8	10	3	5	12	14	23	4	15	14	14	17	5					
		1.22%	0.88%	1.76%	3.02%	0.91%	1.43%	2.05%	2.57%	1.36%	3.33%	1.12%	1.2%	1.38%	1.14%	0.60%	0.33%	1.51%	2.54%	0.90%	1.45%	0.86%	0.86%	1.62%	0.98%	1.62%	0.89%	0.95%	1.08%	0.66%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	100	0	0	1	2	0	1	4	5	0	0	2	0	5	0	0	2	4	0	0	10	15	8	0	7	10	8	14	2					
		0.50%	0.0%	0.0%	0.33%	0.45%	0.0%	0.29%	2.06%	0.68%	0.0%	0.0%	0.26%	0.0%	0.63%	0.0%	0.0%	0.37%	1.01%	0.0%	0.0%	0.71%	0.92%	0.56%	0.0%	0.76%	0.64%	0.54%	0.89%	0.26%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	555	5	14	10	8	8	3	12	30	9	6	15	3	25	22	5	7	9	7	2	41	60	52	7	20	72	29	55	19					
		2.80%	1.47%	1.45%	3.35%	1.83%	3.82%	0.87%	6.18%	4.08%	3.75%	1.12%	2.0%	1.03%	3.17%	3.31%	1.67%	1.32%	2.29%	2.11%	0.58%	2.94%	3.69%	3.66%	1.71%	2.17%	4.62%	1.97%	3.49%	2.51%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	224	1	2	1	2	1	0	6	10	0	5	2	1	5	2	2	0	5	3	4	31	39	28	2	5	31	12	20	4					
		1.13%	0.29%	0.20%	0.33%	0.45%	0.47%	0.0%	3.09%	1.36%	0.0%	0.93%	0.26%	0.34%	0.63%	0.30%	0.67%	0.0%	1.27%	0.90%	1.16%	2.22%	2.39%	1.97%	0.49%	0.54%	1.99%	0.81%	1.27%	0.53%					
22	"5. ""За Русь Святую"""	65	0	3	2	0	3	0	1	5	1	0	0	1	2	4	7	1	0	2	0	3	7	3	0	5	4	2	8	1					
		0.32%	0.0%	0.31%	0.67%	0.0%	1.43%	0.0%	0.51%	0.68%	0.41%	0.0%	0.0%	0.34%	0.25%	0.60%	2.34%	0.18%	0.0%	0.60%	0.0%	0.21%	0.43%	0.21%	0.0%	0.54%	0.25%	0.13%	0.50%	0.13%					
23	"6. ""Объединенная Российская партия ""Русь"""	37	0	0	1	0	3	1	1	0	0	0	0	2	1	1	1	1	0	2	0	5	3	3	2	1	7	2	0	0					
		0.18%	0.0%	0.0%	0.33%	0.0%	1.43%	0.29%	0.51%	0.0%	0.0%	0.0%	0.0%	0.69%	0.12%	0.15%	0.33%	0.18%	0.0%	0.60%	0.0%	0.35%	0.18%	0.21%	0.49%	0.10%	0.44%	0.13%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	131	2	0	1	3	0	0	6	6	0	0	2	1	0	2	1	0	0	2	0	17	20	10	3	11	15	9	15	5					
		0.66%	0.58%	0.0%	0.33%	0.68%	0.0%	0.0%	3.09%	0.81%	0.0%	0.0%	0.26%	0.34%	0.0%	0.30%	0.33%	0.0%	0.0%	0.60%	0.0%	1.21%	1.23%	0.70%	0.73%	1.19%	0.96%	0.61%	0.95%	0.66%					
25	"8. ""Народно-республиканская партия России"""	15	0	0	0	2	3	0	0	0	0	0	1	0	0	1	2	0	0	0	0	1	0	2	1	0	2	0	0	0					
