Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																												
Дата голосования: 02.12.2007																																												
																																												
Наименование Избирательной комиссии:    Нижнетавдинская																																												
																																												
Сводная таблица результатов выборов																																												
																																												
		Сумма	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518					
1	"Число избирателей, внесенных в списки избирателей"	17447	383	166	143	624	140	430	808	284	1236	787	313	420	387	252	415	460	101	2608	1516	947	181	179	230	235	222	383	183	168	84	148	479	870	325	184	420	616	120					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	17427	382	168	143	627	140	427	812	284	1228	774	313	424	385	250	414	459	101	2585	1547	915	180	176	246	235	220	386	189	168	84	148	477	870	312	191	415	632	120					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	15773	361	166	141	417	140	381	555	274	1152	666	309	364	365	212	412	420	98	2378	1424	885	160	165	210	220	219	371	179	167	76	145	455	793	289	177	375	561	91					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1264	0	0	0	197	0	39	248	10	66	78	4	49	17	38	0	38	3	109	34	14	18	11	14	7	0	4	4	0	8	3	21	77	23	7	40	54	29					
6	Число погашенных избирательных бюллетеней	390	21	2	2	13	0	7	9	0	10	30	0	11	3	0	2	1	0	98	89	16	2	0	22	8	1	11	6	1	0	0	1	0	0	7	0	17	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1264	0	0	0	197	0	39	248	10	66	78	4	49	17	38	0	38	3	109	34	14	18	11	14	7	0	4	4	0	8	3	21	77	23	7	40	54	29					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15769	361	166	141	417	140	381	551	274	1152	666	309	364	365	212	412	420	98	2378	1424	885	160	165	210	220	219	371	179	167	76	145	455	793	289	177	375	561	91					
9	Число недействительных избирательных бюллетеней	12	0	0	0	0	0	0	3	0	3	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	17021	361	166	141	614	140	420	796	284	1215	744	313	413	382	247	412	458	101	2485	1458	899	178	176	224	227	219	375	183	167	84	148	475	870	312	184	415	615	120					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	446	6	4	4	10	2	10	8	6	25	20	7	7	7	7	7	10	4	79	45	40	8	6	20	8	5	5	3	4	4	4	10	20	10	6	6	15	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	317	6	0	0	7	0	10	3	4	7	20	6	6	7	6	7	1	0	69	41	14	0	2	20	8	5	5	3	3	4	2	5	20	8	6	6	5	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	150	2	0	2	6	1	6	1	4	8	7	2	1	3	9	2	2	1	30	8	3	3	6	2	3	1	2	0	2	2	3	1	9	6	2	3	4	3					
14	Число погашенных неиспользованных открепительных удостоверений	129	0	4	4	3	2	0	5	2	18	0	1	1	0	1	0	9	4	10	4	26	8	4	0	0	0	0	0	1	0	2	5	0	2	0	0	10	3					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																												
18	1.Политическая партия «Аграрная партия России»	18	0	0	0	0	0	0	1	1	3	0	2	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	1	0	0	0	0	1	0	0	1	0					
		0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.35%	0.25%	0.00%	0.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.53%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.16%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	5	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0					
		0.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.08%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	329	79	3	3	6	2	7	4	2	16	28	4	2	5	5	6	3	1	54	35	25	2	2	2	2	5	3	4	3	1	2	2	2	1	1	3	4	0					
		1.93%	21.88%	1.81%	2.13%	0.98%	1.43%	1.67%	0.50%	0.70%	1.31%	3.76%	1.28%	0.48%	1.31%	2.00%	1.46%	0.66%	0.99%	2.17%	2.40%	2.78%	1.12%	1.14%	0.89%	0.88%	2.28%	0.80%	2.19%	1.80%	1.19%	1.35%	0.42%	0.23%	0.32%	0.54%	0.72%	0.65%	0.00%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	7	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2					
		0.04%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.67%					
24	7.Политическая партия «Либерально-демократическая партия России»	110	2	1	0	12	0	2	5	2	10	0	2	2	5	1	4	5	1	21	0	1	4	3	2	3	2	2	1	2	2	1	1	1	1	1	4	4	0					
		0.65%	0.55%	0.60%	0.00%	1.95%	0.00%	0.48%	0.63%	0.70%	0.82%	0.00%	0.64%	0.48%	1.31%	0.40%	0.97%	1.09%	0.99%	0.84%	0.00%	0.11%	2.25%	1.70%	0.89%	1.32%	0.91%	0.53%	0.55%	1.20%	2.38%	0.68%	0.21%	0.11%	0.32%	0.54%	0.96%	0.65%	0.00%					
