Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																							
Дата голосования: 07.12.2003 0:00:00																																																																							
																																																																							
Наименование Избирательной комиссии:    Анапская курортная																																																																							
																																																																							
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																							
																																																																							
		Сумма	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264					
1	"Число избирателей, внесенных в списки"	101314	2520	3784	3085	2750	1928	1270	2443	1394	1683	2699	1999	2423	1436	2592	1901	2572	2433	377	352	1345	2556	1861	1695	927	1656	1424	378	318	714	1762	2727	2267	2348	1124	632	2245	808	655	2719	1997	2479	1540	388	1445	1022	630	547	399	2617	1175	506	2040	707	721	667	632	1199	2477	1895	1399	1671	584	1478	1297					
2	"Число бюллетеней, полученных участковыми комиссиями"	97410	2200	2700	2000	2600	1800	1200	2500	1300	1700	2800	1900	2400	2700	2400	1900	2100	2300	700	350	1300	2500	1800	1800	900	1600	1400	400	210	700	1700	2700	2300	2300	1050	600	2200	800	650	2700	1900	2300	1500	350	1400	950	650	550	400	2500	1300	500	1900	700	600	550	600	1100	2400	1800	1400	1600	550	1500	1250					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	51368	1276	2365	1846	1435	953	706	1187	713	677	1423	1063	1039	1411	1425	1081	1481	1199	362	214	609	1092	820	823	401	815	662	193	185	368	1071	1177	995	1315	577	377	970	439	373	1134	934	1121	790	160	763	544	291	272	184	1298	605	148	1066	384	369	318	370	553	1114	755	619	648	307	836	667					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2890	191	100	141	69	28	29	25	32	28	13	13	35	25	16	40	20	25	15	7	13	54	59	77	32	45	34	0	12	33	25	57	84	57	45	10	34	13	20	29	28	47	39	14	57	29	145	53	33	16	95	116	30	35	11	23	17	34	69	93	46	206	12	36	21					
6	Число погашенных бюллетеней	43152	733	235	13	1096	819	465	1288	555	995	1364	824	1326	1264	959	779	599	1076	323	129	678	1354	921	900	467	740	704	207	13	299	604	1466	1221	928	428	213	1196	348	257	1537	938	1132	671	176	580	377	214	225	183	1186	600	236	804	281	220	209	213	513	1217	952	735	746	231	628	562					
7	Число бюллетеней в переносных ящиках для голосования	2890	191	100	141	69	28	29	25	32	28	13	13	35	25	16	40	20	25	15	7	13	54	59	77	32	45	34	0	12	33	25	57	84	57	45	10	34	13	20	29	28	47	39	14	57	29	145	53	33	16	95	116	30	35	11	23	17	34	69	93	46	206	12	36	21					
8	Число бюллетеней в стационарных ящиках для голосования	51342	1275	2365	1845	1435	953	706	1187	713	677	1423	1063	1039	1411	1425	1081	1481	1197	362	214	609	1092	820	823	401	815	662	193	185	368	1071	1174	992	1315	577	377	954	439	373	1134	934	1121	790	160	763	544	291	272	184	1298	605	148	1066	384	369	318	370	553	1114	755	619	648	307	836	667					
9	Число недействительных бюллетеней	635	13	31	21	9	3	8	9	8	8	13	3	11	34	18	5	7	12	8	3	3	14	16	6	14	12	5	4	1	4	10	12	4	22	4	7	19	14	7	11	7	14	17	4	11	8	15	7	6	6	5	6	9	8	6	2	9	9	19	12	12	4	13	10	3					
10	Число действительных бюллетеней	53597	1453	2434	1965	1495	978	727	1203	737	697	1423	1073	1063	1402	1423	1116	1494	1210	369	218	619	1132	863	894	419	848	691	189	196	397	1086	1219	1072	1350	618	380	969	438	386	1152	955	1154	812	170	809	565	421	318	211	1308	695	258	1087	411	374	339	378	578	1164	836	653	850	306	862	685					
