Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    район Южное Тушино																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №3140	УИК №3141	УИК №3142	УИК №3143	УИК №3144	УИК №3145	УИК №3146	УИК №3147	УИК №3148	УИК №3149	УИК №3150	УИК №3151	УИК №3152	УИК №3153	УИК №3154	УИК №3155	УИК №3156	УИК №3157	УИК №3158	УИК №3159	УИК №3160	УИК №3161	УИК №3162	УИК №3163	УИК №3164	УИК №3165	УИК №3166	УИК №3167	УИК №3168	УИК №3169	УИК №3170	УИК №3171	УИК №3790									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	64591	2029	1864	1843	2005	1789	1255	1999	2228	2484	2371	2399	2167	1509	1516	1427	1141	1698	2254	2293	2311	2364	2287	2599	1458	1750	2433	2288	2240	1791	1881	2216	2688	14									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	53500	1500	1500	1500	1500	1500	1000	1500	1700	2000	2000	2000	1800	1200	1300	1000	1000	1500	2000	2000	2000	2000	2000	2000	1300	1500	2000	2000	2000	1500	1500	1700	2000	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	21069	643	569	623	757	701	442	655	665	736	805	739	685	472	535	405	337	557	713	741	744	836	714	726	493	572	805	794	750	521	633	727	961	13									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	582	11	29	28	29	23	5	23	22	25	32	33	26	6	5	22	17	0	7	18	19	28	35	28	17	28	14	14	13	11	4	4	6	0									
6	Число погашенных избирательных бюллетеней	31849	846	902	849	714	776	553	822	1013	1239	1163	1228	1089	722	760	573	646	943	1280	1241	1237	1136	1251	1246	790	900	1181	1192	1237	968	863	969	1033	487									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	582	11	29	28	29	23	5	23	22	25	32	33	26	6	5	22	17	0	7	18	19	28	35	28	17	28	14	14	13	11	4	4	6	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	21032	632	568	614	756	701	442	655	664	736	805	739	685	467	535	405	337	557	713	741	744	835	714	726	493	572	802	793	750	521	632	724	961	13									
9	Число недействительных избирательных бюллетеней	329	10	8	10	11	15	6	12	10	10	6	12	19	9	6	6	2	17	11	20	15	8	5	14	5	13	5	12	6	9	13	7	17	0									
10	Число действительных избирательных бюллетеней	21285	633	589	632	774	709	441	666	676	751	831	760	692	464	534	421	352	540	709	739	748	855	744	740	505	587	811	795	757	523	623	721	950	13									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	710	20	20	20	20	20	20	30	20	20	20	20	20	20	20	20	20	20	30	30	20	30	20	20	20	20	20	30	20	20	20	30	30	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	399	17	13	6	14	12	7	20	8	6	12	11	3	9	2	5	5	14	25	21	12	21	12	9	6	11	12	21	17	11	8	23	26	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	267	8	5	6	8	3	2	8	6	9	5	14	9	7	1	6	12	1	3	21	6	4	7	14	13	28	5	8	2	4	6	9	26	1									
14	Число погашенных неиспользованных открепительных удостоверений	311	3	7	14	6	8	13	10	12	14	8	9	17	11	18	15	15	6	5	9	8	9	8	11	14	9	8	9	3	9	12	7	4	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	63	0	1	2	1	1	4	2	2	1	5	2	1	4	2	0	0	2	2	4	3	0	0	1	2	2	5	0	8	1	2	0	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1255	41	34	28	60	50	31	49	46	57	57	44	33	31	34	30	17	34	40	50	39	49	30	40	14	36	24	36	60	18	54	38	51	0									
		5.81%	6.38%	5.70%	4.36%	7.64%	6.91%	6.94%	7.23%	6.71%	7.49%	6.81%	5.70%	4.64%	6.55%	6.30%	7.03%	4.80%	6.10%	5.56%	6.59%	5.11%	5.68%	4.01%	5.31%	2.75%	6.00%	2.94%	4.46%	7.86%	3.38%	8.49%	5.22%	5.27%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	388	12	18	8	14	17	6	16	9	13	14	11	17	4	11	7	12	7	14	10	14	12	11	20	9	3	11	15	12	16	10	15	20	0									
		1.80%	1.87%	3.02%	1.25%	1.78%	2.35%	1.34%	2.36%	1.31%	1.71%	1.67%	1.42%	2.39%	0.85%	2.04%	1.64%	3.39%	1.26%	1.94%	1.32%	1.83%	1.39%	1.47%	2.65%	1.76%	0.50%	1.35%	1.86%	1.57%	3.01%	1.57%	2.06%	2.07%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	608	14	17	24	28	23	11	22	17	28	29	19	16	12	10	12	8	13	20	21	13	27	19	30	22	15	13	19	22	12	9	33	29	1									
		2.81%	2.18%	2.85%	3.74%	3.57%	3.18%	2.46%	3.24%	2.48%	3.68%	3.46%	2.46%	2.25%	2.54%	1.85%	2.81%	2.26%	2.33%	2.78%	2.77%	1.70%	3.13%	2.54%	3.98%	4.31%	2.50%	1.59%	2.35%	2.88%	2.26%	1.42%	4.53%	2.99%	7.69%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7461	198	195	223	218	263	159	246	248	244	294	283	225	135	183	156	131	179	241	255	287	276	268	271	198	241	301	264	255	205	182	303	329	5									
		34.52%	30.79%	32.66%	34.74%	27.77%	36.33%	35.57%	36.28%	36.15%	32.06%	35.13%	36.66%	31.65%	28.54%	33.89%	36.53%	37.01%	32.14%	33.47%	33.60%	37.61%	31.98%	35.78%	35.94%	38.82%	40.17%	36.89%	32.71%	33.42%	38.53%	28.62%	41.62%	34.02%	38.46%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	297	13	10	7	10	10	9	9	9	10	13	13	7	7	8	7	4	11	3	13	7	9	11	6	5	3	12	20	10	9	12	8	12	0									
		1.37%	2.02%	1.68%	1.09%	1.27%	1.38%	2.01%	1.33%	1.31%	1.31%	1.55%	1.68%	0.98%	1.48%	1.48%	1.64%	1.13%	1.97%	0.42%	1.71%	0.92%	1.04%	1.47%	0.80%	0.98%	0.50%	1.47%	2.48%	1.31%	1.69%	1.89%	1.10%	1.24%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	106	4	3	3	9	5	0	2	6	0	3	2	2	4	3	0	1	6	3	11	4	7	2	6	1	1	3	1	5	2	2	3	2	0									
		0.49%	0.62%	0.50%	0.47%	1.15%	0.69%	0.00%	0.29%	0.87%	0.00%	0.36%	0.26%	0.28%	0.85%	0.56%	0.00%	0.28%	1.08%	0.42%	1.45%	0.52%	0.81%	0.27%	0.80%	0.20%	0.17%	0.37%	0.12%	0.66%	0.38%	0.31%	0.41%	0.21%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2775	75	74	71	98	79	56	93	85	105	90	97	97	71	65	58	52	70	84	84	88	112	100	91	74	90	111	118	85	84	81	101	133	3									
		12.84%	11.66%	12.40%	11.06%	12.48%	10.91%	12.53%	13.72%	12.39%	13.80%	10.75%	12.56%	13.64%	15.01%	12.04%	13.58%	14.69%	12.57%	11.67%	11.07%	11.53%	12.98%	13.35%	12.07%	14.51%	15.00%	13.60%	14.62%	11.14%	15.79%	12.74%	13.87%	13.75%	23.08%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	486	13	15	11	19	16	16	14	19	21	18	17	17	13	21	14	9	6	12	11	20	12	25	12	6	3	13	27	19	10	24	11	22	0									
		2.25%	2.02%	2.51%	1.71%	2.42%	2.21%	3.58%	2.06%	2.77%	2.76%	2.15%	2.20%	2.39%	2.75%	3.89%	3.28%	2.54%	1.08%	1.67%	1.45%	2.62%	1.39%	3.34%	1.59%	1.18%	0.50%	1.59%	3.35%	2.49%	1.88%	3.77%	1.51%	2.28%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	734	35	16	20	31	20	21	19	23	21	21	22	28	22	19	7	8	17	37	36	30	25	20	24	9	15	28	16	38	19	29	18	40	0									
