Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																									
Дата голосования: 04.12.2011																									
																									
Наименование Избирательной комиссии:    Сорокинская																									
																									
Сводная таблица результатов выборов																									
																									
		Сумма	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555					
1	"Число избирателей, внесенных в список избирателей"	8480	1412	1206	929	1150	310	494	355	82	198	757	114	177	248	130	463	83	123	249					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8656	1411	1222	915	1165	326	518	376	90	200	783	118	196	255	135	479	88	126	253					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7115	1164	1072	730	1004	231	382	318	74	158	618	104	144	226	106	399	76	114	195					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	850	127	57	150	64	52	88	25	5	15	110	9	30	14	12	36	5	5	46					
6	Число погашенных избирательных бюллетеней	691	120	93	35	97	43	48	33	11	27	55	5	22	15	17	44	7	7	12					
7	Число избирательных бюллетеней в переносных ящиках для голосования	850	127	57	150	64	52	88	25	5	15	110	9	30	14	12	36	5	5	46					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7115	1164	1072	730	1004	231	382	318	74	158	618	104	144	226	106	399	76	114	195					
9	Число недействительных избирательных бюллетеней	28	0	0	1	9	5	0	2	0	4	0	0	5	2	0	0	0	0	0					
10	Число действительных избирательных бюллетеней	7937	1291	1129	879	1059	278	470	341	79	169	728	113	169	238	118	435	81	119	241					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	420	70	40	30	40	15	30	25	5	5	40	7	18	20	15	30	5	5	20					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	231	35	29	5	17	15	14	18	5	5	33	5	15	12	7	10	3	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	74	16	14	3	1	5	1	6	1	7	3	2	1	4	3	2	1	1	3					
14	Число погашенных неиспользованных открепительных удостоверений	189	35	11	25	23	0	16	7	0	0	7	2	3	8	8	20	2	3	19					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	6	1	1	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	170	20	29	20	12	23	9	4	1	17	17	0	1	2	1	6	2	5	1					
		2.13%	1.55%	2.57%	2.27%	1.12%	8.13%	1.91%	1.17%	1.27%	9.83%	2.34%	0.00%	0.57%	0.83%	0.85%	1.38%	2.47%	4.20%	0.41%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	470	61	31	25	120	71	8	15	2	32	26	7	10	5	6	32	6	6	7					
		5.90%	4.73%	2.75%	2.84%	11.24%	25.09%	1.70%	4.37%	2.53%	18.50%	3.57%	6.19%	5.75%	2.08%	5.08%	7.36%	7.41%	5.04%	2.90%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	32	5	3	1	6	0	12	0	0	0	1	0	0	0	0	4	0	0	0					
		0.40%	0.39%	0.27%	0.11%	0.56%	0.00%	2.55%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.92%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	164	28	20	15	23	15	9	5	2	10	7	2	3	5	4	9	2	0	5					
		2.06%	2.17%	1.77%	1.70%	2.15%	5.30%	1.91%	1.46%	2.53%	5.78%	0.96%	1.77%	1.72%	2.08%	3.39%	2.07%	2.47%	0.00%	2.07%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	22	5	4	1	3	2	0	0	0	2	3	0	1	0	0	1	0	0	0					
		0.28%	0.39%	0.35%	0.11%	0.28%	0.71%	0.00%	0.00%	0.00%	1.16%	0.41%	0.00%	0.57%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7074	1170	1042	816	894	166	432	317	74	108	674	104	154	226	107	383	71	108	228					
		88.81%	90.63%	92.29%	92.73%	83.71%	58.66%	91.91%	92.42%	93.67%	62.43%	92.58%	92.04%	88.51%	94.17%	90.68%	88.05%	87.65%	90.76%	94.61%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	5	2	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.06%	0.15%	0.00%	0.11%	0.09%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
