Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																										
Дата голосования: 18.09.2016																																										
																																										
Наименование Избирательной комиссии:    Кичменгско-Городецкая																																										
																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																										
																																										
		Сумма	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14436	492	197	120	692	180	825	2074	2193	354	578	359	306	174	174	325	248	324	603	290	152	345	179	285	390	257	803	183	145	84	202	903									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14130	500	200	120	700	200	800	2000	2000	350	500	350	300	170	170	300	250	300	600	300	170	370	180	290	400	260	800	200	160	90	200	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5535	260	61	46	220	95	315	886	857	173	273	148	117	72	98	120	90	84	165	85	62	159	48	75	136	116	248	80	49	55	74	268									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1976	25	73	27	124	42	69	106	77	5	34	41	79	25	30	67	40	95	182	95	35	69	87	124	68	23	83	48	53	14	45	91									
6	Число погашенных избирательных бюллетеней	6619	215	66	47	356	63	416	1008	1066	172	193	161	104	73	42	113	120	121	253	120	73	142	45	91	196	121	469	72	58	21	81	541									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1976	25	73	27	124	42	69	106	77	5	34	41	79	25	30	67	40	95	182	95	35	69	87	124	68	23	83	48	53	14	45	91									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5533	260	61	46	220	95	315	885	857	172	273	148	117	72	98	120	90	84	165	85	62	159	48	75	136	116	248	80	49	55	74	268									
9	Число недействительных избирательных бюллетеней	121	2	1	3	4	0	9	15	24	4	5	2	2	0	0	2	1	2	4	7	3	3	1	1	8	1	2	0	2	0	2	11									
10	Число действительных избирательных бюллетеней	7388	283	133	70	340	137	375	976	910	173	302	187	194	97	128	185	129	177	343	173	94	225	134	198	196	138	329	128	100	69	117	348									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	600	20	20	15	30	20	20	30	30	20	20	20	25	10	10	15	15	10	20	25	15	30	15	15	15	10	35	15	20	10	10	35									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	393	15	17	8	30	20	12	16	30	7	14	4	25	0	3	5	6	10	20	25	15	24	5	4	15	2	12	15	18	4	7	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	161	1	2	2	5	2	8	44	16	6	11	7	0	1	1	2	1	4	2	5	2	4	4	4	6	2	2	2	3	2	4	6									
14	Число погашенных неиспользованных открепительных удостоверений	207	5	3	7	0	0	8	14	0	13	6	16	0	10	7	10	9	0	0	0	0	6	10	11	0	8	23	0	2	6	3	30									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	145	3	0	1	2	7	10	24	25	5	8	5	7	4	1	0	2	1	3	6	2	3	1	3	1	1	1	3	5	6	2	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	72	5	0	1	3	2	4	14	9	1	1	0	4	0	3	1	3	1	0	1	3	3	1	1	0	2	3	1	1	0	3	1									
		0.96%	1.75%	0.00%	1.37%	0.87%	1.46%	1.04%	1.41%	0.96%	0.56%	0.33%	0.00%	2.04%	0.00%	2.34%	0.53%	2.31%	0.56%	0.00%	0.56%	3.09%	1.32%	0.74%	0.50%	0.00%	1.44%	0.91%	0.78%	0.98%	0.00%	2.52%	0.28%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	244	12	5	3	12	2	7	33	34	5	13	7	7	5	4	1	5	5	12	8	6	7	3	5	3	5	8	2	3	1	8	13									
		3.25%	4.21%	3.73%	4.11%	3.49%	1.46%	1.82%	3.33%	3.64%	2.82%	4.23%	3.70%	3.57%	5.15%	3.13%	0.53%	3.85%	2.79%	3.46%	4.44%	6.19%	3.07%	2.22%	2.51%	1.47%	3.60%	2.42%	1.56%	2.94%	1.45%	6.72%	3.62%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	225	2	0	2	11	6	8	35	35	3	7	3	0	2	0	5	7	14	14	11	1	4	1	4	7	6	10	2	2	1	7	15									
		2.99%	0.70%	0.00%	2.74%	3.20%	4.38%	2.08%	3.53%	3.75%	1.69%	2.28%	1.59%	0.00%	2.06%	0.00%	2.67%	5.38%	7.82%	4.03%	6.11%	1.03%	1.75%	0.74%	2.01%	3.43%	4.32%	3.02%	1.56%	1.96%	1.45%	5.88%	4.18%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3469	168	73	37	178	67	184	357	330	59	115	89	89	45	87	108	61	94	191	53	38	121	80	110	108	73	160	56	61	52	44	181									
		46.20%	58.95%	54.48%	50.68%	51.74%	48.91%	47.92%	36.02%	35.33%	33.33%	37.46%	47.09%	45.41%	46.39%	67.97%	57.75%	46.92%	52.51%	55.04%	29.44%	39.18%	53.07%	59.26%	55.28%	52.94%	52.52%	48.34%	43.75%	59.80%	75.36%	36.97%	50.42%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	33	1	1	1	1	1	1	5	4	1	4	0	0	1	0	0	1	2	1	1	0	0	0	1	1	1	3	1	0	0	0	0									
		0.44%	0.35%	0.75%	1.37%	0.29%	0.73%	0.26%	0.50%	0.43%	0.56%	1.30%	0.00%	0.00%	1.03%	0.00%	0.00%	0.77%	1.12%	0.29%	0.56%	0.00%	0.00%	0.00%	0.50%	0.49%	0.72%	0.91%	0.78%	0.00%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	16	1	0	1	0	0	0	0	2	0	1	0	0	0	0	2	2	0	1	0	0	0	0	2	1	0	3	0	0	0	0	0									
		0.21%	0.35%	0.00%	1.37%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	1.07%	1.54%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	1.01%	0.49%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1500	53	35	19	70	36	89	156	196	44	62	35	60	20	24	27	21	27	61	44	13	42	29	46	44	22	61	52	17	6	30	59									
		19.98%	18.60%	26.12%	26.03%	20.35%	26.28%	23.18%	15.74%	20.99%	24.86%	20.20%	18.52%	30.61%	20.62%	18.75%	14.44%	16.15%	15.08%	17.58%	24.44%	13.40%	18.42%	21.48%	23.12%	21.57%	15.83%	18.43%	40.63%	16.67%	8.70%	25.21%	16.43%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	20	1	0	0	0	1	0	4	6	1	1	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1									
