Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
Наименование Избирательной комиссии:    Высокогорская																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	36011	316	114	119	473	272	331	120	305	502	273	373	107	605	234	2244	2949	2435	1598	2354	449	1439	165	353	138	2500	1258	100	567	400	325	843	822	415	403	472	290	206	176	355	1713	851	1483	680	207	1427	378	989	883									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	36509	318	117	125	486	276	336	127	309	521	274	373	107	625	234	2271	3040	2445	1629	2399	441	1470	179	356	141	2506	1247	102	576	413	330	851	833	403	409	474	304	210	178	367	1754	852	1498	678	206	1454	380	997	888									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	33712	280	107	110	367	241	310	113	281	453	261	330	94	572	214	2139	2802	2352	1534	2234	410	1331	150	254	138	2320	1215	100	534	386	319	800	757	398	377	420	260	187	159	340	1522	851	1418	645	194	1383	371	849	830									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1286	36	7	9	36	31	17	7	21	40	7	37	13	31	20	38	51	15	15	45	29	68	13	94	0	43	2	0	7	12	5	17	33	0	9	40	27	16	13	15	131	0	21	33	12	15	0	111	44									
6	Число погашенных избирательных бюллетеней	1511	2	3	6	83	4	9	7	7	28	6	6	0	22	0	94	187	78	80	120	2	71	16	8	3	143	30	2	35	15	6	34	43	5	23	14	17	7	6	12	101	1	59	0	0	56	9	37	14									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1286	36	7	9	36	31	17	7	21	40	7	37	13	31	20	38	51	15	15	45	29	68	13	94	0	43	2	0	7	12	5	17	33	0	9	40	27	16	13	15	131	0	21	33	12	15	0	111	44									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	33712	280	107	110	367	241	310	113	281	453	261	330	94	572	214	2139	2802	2352	1534	2234	410	1331	150	254	138	2320	1215	100	534	386	319	800	757	398	377	420	260	187	159	340	1522	851	1418	645	194	1383	371	849	830									
9	Число недействительных избирательных бюллетеней	40	0	0	0	0	0	0	1	2	0	0	0	0	0	0	5	0	2	11	0	0	11	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	34958	316	114	119	403	272	327	119	300	493	268	367	107	603	234	2172	2853	2365	1538	2279	439	1388	163	348	138	2355	1217	100	541	398	324	817	790	398	386	460	287	203	172	355	1653	851	1439	678	206	1398	371	960	874									
