Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																															
Дата голосования: 07.12.2003 0:00:00																															
																															
Наименование Избирательной комиссии:    Район Печатники																															
																															
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																															
																															
		Сумма	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №3125	УИК №3126	УИК №3127					
1	"Число избирателей, внесенных в списки"	51810	2490	2562	2061	2468	2328	2349	1973	2625	2284	2168	2416	2873	2617	2023	2321	2853	2961	2689	1555	2970	2562	233	27	402					
2	"Число бюллетеней, полученных участковыми комиссиями"	46700	2300	2300	2000	2300	2000	2200	1700	2200	2000	2000	2200	2600	2500	1700	2000	2600	2600	2500	1200	2600	2300	300	100	500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	28895	1313	1494	1208	1347	1332	1236	1128	1512	1241	1230	1446	1587	1389	1144	1153	1618	1649	1439	880	1538	1349	233	27	402					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	718	33	36	29	51	29	45	24	28	43	21	18	12	41	45	43	23	46	58	19	34	40	0	0	0					
6	Число погашенных бюллетеней	17087	954	770	763	902	639	919	548	660	716	749	736	1001	1070	511	804	959	905	1003	301	1028	911	67	73	98					
7	Число бюллетеней в переносных ящиках для голосования	718	33	36	29	51	29	45	24	28	43	21	18	12	41	45	43	23	46	58	19	34	40	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	28747	1311	1492	1203	1345	1295	1231	1128	1512	1239	1228	1443	1587	1389	1113	1110	1618	1646	1439	877	1530	1349	233	27	402					
9	Число недействительных бюллетеней	448	15	23	13	25	7	10	29	23	26	32	7	17	10	14	0	31	32	41	26	22	28	3	0	14					
10	Число действительных бюллетеней	29017	1329	1505	1219	1371	1317	1266	1123	1517	1256	1217	1454	1582	1420	1144	1153	1610	1660	1456	870	1542	1361	230	27	388					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	1200	60	60	50	60	50	60	50	60	55	50	60	65	60	50	50	65	65	60	40	70	60	0	0	0					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	570	27	20	20	36	34	26	21	40	30	22	31	31	24	17	23	41	39	31	14	22	21	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	419	27	10	32	13	10	6	12	14	9	7	33	16	16	13	15	27	5	7	41	18	17	12	2	57					
14	Число погашенных открепительных удостоверений	630	33	40	30	24	16	34	29	20	25	28	29	34	36	33	27	24	26	29	26	48	39	0	0	0					
15	Число открепительных удостоверений выданных ТИК	5	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																															
18	"1. ""ЕДИНЕНИЕ"""	236	11	7	12	7	14	11	4	14	9	8	15	10	11	7	12	13	7	19	5	15	10	4	0	11					
