Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																														
Дата голосования: 07.12.2003 0:00:00																																														
																																														
Наименование Избирательной комиссии:    Семикаракорская																																														
																																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																														
																																														
		Сумма	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №1232	УИК №2567					
1	"Число избирателей, внесенных в списки"	40730	359	1830	2139	1919	2168	2547	2275	2034	588	1475	150	168	1506	1150	1283	1795	512	621	522	1712	665	1058	849	698	1095	385	455	387	794	851	771	784	373	1394	320	258	710	1576	554					
2	"Число бюллетеней, полученных участковыми комиссиями"	36330	311	1570	1893	1676	1953	2166	2005	1808	532	1310	145	169	1337	1014	1137	1564	464	552	472	1508	590	1057	777	715	959	351	402	332	734	755	685	746	342	1275	299	226	629	1379	491					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	22044	250	925	1005	844	1035	1324	970	1049	346	845	118	113	1005	571	704	1042	366	386	313	920	377	635	543	469	627	198	226	291	505	472	419	444	261	608	202	164	389	796	287					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2286	17	76	75	76	102	106	55	57	29	197	14	34	82	41	85	89	17	19	10	152	32	59	24	17	37	25	103	0	54	46	37	69	21	210	37	15	53	69	45					
6	Число погашенных бюллетеней	12000	44	569	813	756	816	736	980	702	157	268	13	22	250	402	348	433	81	147	149	436	181	363	210	229	295	128	73	41	175	237	229	233	60	457	60	47	187	514	159					
7	Число бюллетеней в переносных ящиках для голосования	2286	17	76	75	76	102	106	55	57	29	197	14	34	82	41	85	89	17	19	10	152	32	59	24	17	37	25	103	0	54	46	37	69	21	210	37	15	53	69	45					
8	Число бюллетеней в стационарных ящиках для голосования	22034	250	925	1005	844	1035	1324	970	1039	346	845	118	113	1005	571	704	1042	366	386	313	920	377	635	543	469	627	198	226	291	505	472	419	444	261	608	202	164	389	796	287					
9	Число недействительных бюллетеней	452	2	14	8	12	9	15	18	9	1	0	0	0	8	5	46	29	6	7	12	15	12	56	21	10	7	6	4	8	7	16	17	12	6	22	7	9	6	4	6					
10	Число действительных бюллетеней	23868	265	987	1072	908	1128	1415	1007	1087	374	1042	132	147	1079	607	743	1102	377	398	311	1057	397	638	546	476	657	217	325	283	552	502	439	501	276	796	232	170	436	861	326					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	999	19	40	40	40	50	50	40	40	20	20	15	15	30	20	25	25	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	50	40					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	286	2	17	6	9	21	20	20	33	4	3	0	3	20	4	7	8	4	3	7	11	0	5	5	3	4	3	5	2	6	2	3	11	1	6	0	2	0	18	8					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	252	4	5	6	6	12	10	10	9	4	19	7	14	6	8	5	8	4	7	3	5	6	3	5	5	5	2	2	3	3	4	4	3	5	5	4	5	1	33	2					
14	Число погашенных открепительных удостоверений	713	17	23	34	31	29	30	20	7	16	17	15	12	10	16	18	17	16	17	13	9	20	15	15	17	16	17	15	18	14	18	17	9	19	14	20	18	20	32	32					
15	Число открепительных удостоверений выданных ТИК	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																														
18	"1. ""ЕДИНЕНИЕ"""	408	4	5	15	12	9	14	10	19	5	9	3	3	8	17	11	29	10	9	5	23	9	23	11	10	21	3	7	13	8	9	9	14	4	19	4	9	1	10	4					
		1.67%	1.49%	0.49%	1.38%	1.30%	0.79%	0.97%	0.97%	1.73%	1.33%	0.86%	2.27%	2.04%	0.73%	2.77%	1.39%	2.56%	2.61%	2.22%	1.54%	2.14%	2.20%	3.31%	1.94%	2.05%	3.16%	1.34%	2.12%	4.46%	1.43%	1.73%	1.97%	2.72%	1.41%	2.32%	1.67%	5.02%	0.22%	1.15%	1.20%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	202	8	9	6	4	16	15	10	8	1	5	1	3	5	6	9	11	3	7	0	9	3	1	5	3	4	0	3	5	5	4	5	1	1	5	2	2	4	7	6					
		0.83%	2.99%	0.89%	0.55%	0.43%	1.40%	1.04%	0.97%	0.72%	0.26%	0.47%	0.75%	2.04%	0.45%	0.98%	1.14%	0.97%	0.78%	1.72%	0.0%	0.83%	0.73%	0.14%	0.88%	0.61%	0.60%	0.0%	0.91%	1.71%	0.89%	0.77%	1.09%	0.19%	0.35%	0.61%	0.83%	1.11%	0.90%	0.80%	1.80%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	618	2	33	34	32	32	45	52	28	7	26	1	9	15	11	19	13	4	11	4	18	12	22	8	15	16	9	9	10	13	11	12	13	10	21	0	2	10	15	14					
		2.54%	0.74%	3.29%	3.14%	3.47%	2.81%	3.14%	5.07%	2.55%	1.86%	2.49%	0.75%	6.12%	1.37%	1.79%	2.40%	1.14%	1.04%	2.71%	1.23%	1.67%	2.93%	3.17%	1.41%	3.08%	2.40%	4.03%	2.73%	3.43%	2.32%	2.12%	2.63%	2.53%	3.54%	2.56%	0.0%	1.11%	2.26%	1.73%	4.21%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	277	3	18	16	6	13	25	13	28	9	9	2	2	7	6	3	15	3	4	4	10	1	5	3	3	6	0	6	3	3	2	2	1	1	6	5	3	4	19	8					
		1.13%	1.12%	1.79%	1.48%	0.65%	1.14%	1.74%	1.26%	2.55%	2.4%	0.86%	1.51%	1.36%	0.64%	0.98%	0.38%	1.32%	0.78%	0.98%	1.23%	0.93%	0.24%	0.72%	0.52%	0.61%	0.90%	0.0%	1.82%	1.03%	0.53%	0.38%	0.43%	0.19%	0.35%	0.73%	2.09%	1.67%	0.90%	2.19%	2.40%					
22	"5. ""За Русь Святую"""	107	0	6	11	5	2	0	11	3	2	6	1	1	3	1	0	7	3	0	4	6	3	3	0	2	5	1	2	4	1	3	2	2	0	3	2	0	0	1	1					
		0.43%	0.0%	0.59%	1.01%	0.54%	0.17%	0.0%	1.07%	0.27%	0.53%	0.57%	0.75%	0.68%	0.27%	0.16%	0.0%	0.61%	0.78%	0.0%	1.23%	0.55%	0.73%	0.43%	0.0%	0.41%	0.75%	0.44%	0.60%	1.37%	0.17%	0.57%	0.43%	0.38%	0.0%	0.36%	0.83%	0.0%	0.0%	0.11%	0.30%					
23	"6. ""Объединенная Российская партия ""Русь"""	50	0	5	1	2	0	6	0	3	0	1	0	0	0	3	0	5	3	3	1	1	0	1	5	0	2	1	0	0	0	0	1	3	0	0	1	0	0	1	1					
		0.20%	0.0%	0.49%	0.09%	0.21%	0.0%	0.41%	0.0%	0.27%	0.0%	0.09%	0.0%	0.0%	0.0%	0.49%	0.0%	0.44%	0.78%	0.74%	0.30%	0.09%	0.0%	0.14%	0.88%	0.0%	0.30%	0.44%	0.0%	0.0%	0.0%	0.0%	0.21%	0.58%	0.0%	0.0%	0.41%	0.0%	0.0%	0.11%	0.30%					
