Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																				
Дата голосования: 18.09.2016																																																																				
																																																																				
Наименование Избирательной комиссии:    Аксайская - 152																																																																				
																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																				
																																																																				
		Сумма	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №1220	УИК №1221	УИК №2624	УИК №8344									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	69304	1549	1533	1588	1586	1602	1644	1593	1583	1510	1597	1618	1506	1578	1562	1632	1504	1525	1537	1610	1654	1525	906	1656	876	1507	1725	877	830	742	1106	335	765	746	1081	355	359	799	399	790	2063	1934	694	2160	2216	1215	66	357	1494	1715	504	305	206	2534	1578	488	215	670									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	66179	1323	1296	1096	1026	1131	1377	1180	1000	1437	1100	1376	1017	1335	1423	1440	1170	1262	1275	1698	1375	1304	775	1180	695	1270	1429	549	690	610	989	282	595	667	808	300	285	622	319	622	1734	1653	548	1620	2101	1081	63	323	1278	1403	429	257	170	2008	1385	483	215	10100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	37536	541	1193	1059	1008	886	1169	596	454	1136	791	418	377	1083	453	536	547	536	616	494	625	461	713	1071	229	1149	1399	284	465	441	853	121	410	575	586	296	200	400	306	297	1410	667	401	608	1346	921	61	314	1006	1272	322	245	162	1772	1202	407	0	646									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3808	7	79	16	8	7	151	11	25	78	28	63	27	180	25	18	20	157	230	20	26	1	16	33	24	60	16	9	15	62	42	43	30	42	42	2	35	15	8	62	31	93	9	928	430	67	0	8	40	28	15	0	3	1	183	0	215	24									
6	Число погашенных избирательных бюллетеней	24835	775	24	21	10	238	57	573	521	223	281	895	613	72	945	886	603	569	429	1184	724	842	46	76	442	61	14	256	210	107	94	118	155	50	180	2	50	207	5	263	293	893	138	84	325	93	2	1	232	103	92	12	5	235	0	76	0	9430									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3808	7	79	16	8	7	151	11	25	78	28	63	27	180	25	18	20	157	230	20	26	1	16	33	24	60	16	9	15	62	42	43	30	42	42	2	35	15	8	62	31	93	9	928	430	67	0	8	40	28	15	0	3	1	183	0	215	24									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	37522	541	1190	1059	1008	886	1169	585	454	1136	791	418	377	1083	453	536	547	536	616	494	625	461	713	1071	229	1149	1399	284	465	441	853	121	410	575	586	296	200	400	306	297	1410	667	401	608	1346	921	61	314	1006	1272	322	245	162	1772	1202	407	0	646									
9	Число недействительных избирательных бюллетеней	626	14	18	11	0	10	2	10	10	8	16	9	0	0	9	11	11	0	0	6	6	14	0	0	0	0	5	4	0	3	4	1	16	0	18	0	23	5	0	19	65	20	11	17	25	0	0	2	8	0	3	0	0	0	183	21	3	5									
10	Число действительных избирательных бюллетеней	40704	534	1251	1064	1016	883	1318	586	469	1206	803	472	404	1263	469	543	556	693	846	508	645	448	729	1104	253	1209	1410	289	480	500	891	163	424	617	610	298	212	410	314	340	1376	740	399	1519	1751	988	61	320	1038	1300	334	245	165	1773	1202	386	212	665									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1165	30	25	30	25	25	20	25	15	30	15	25	25	30	20	30	20	20	15	30	30	30	20	20	10	20	20	10	10	10	15	10	10	10	20	10	10	20	10	20	20	20	15	80	45	10	10	10	15	10	10	5	5	30	90	0	0	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	651	12	16	11	15	6	8	17	10	11	11	10	9	9	14	11	12	15	7	22	12	14	3	7	5	9	20	10	3	3	4	0	2	3	20	3	2	4	7	1	12	14	5	80	43	6	0	3	13	9	5	2	0	25	76	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	720	6	8	2	9	90	9	10	20	6	0	3	26	4	6	8	8	3	14	5	6	2	0	0	0	2	49	69	1	0	0	0	2	1	5	3	0	71	0	60	6	6	49	80	20	7	1	1	3	4	0	3	2	2	16	5	0	7									
14	Число погашенных неиспользованных открепительных удостоверений	514	18	9	19	10	19	12	8	5	19	4	15	16	21	6	19	8	5	8	8	18	16	17	13	5	11	0	0	7	7	11	10	8	7	0	7	8	16	3	19	8	6	10	0	2	4	10	7	2	1	5	3	5	5	14	0	0	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	30	0	0	0	2	1	0	1	0	1	0	1	0	0	2	1	1	0	0	0	0	2	0	1	1	2	0	3	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	0	0	4	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	570	21	13	15	10	28	9	11	13	12	10	4	3	2	18	19	16	19	16	9	14	15	3	1	7	5	18	6	1	5	16	0	7	9	7	0	1	7	0	8	27	25	7	11	22	1	0	2	0	10	1	0	1	19	18	3	3	42									
		1.38%	3.83%	1.02%	1.40%	0.98%	3.14%	0.68%	1.85%	2.71%	0.99%	1.22%	0.83%	0.74%	0.16%	3.77%	3.43%	2.82%	2.74%	1.89%	1.75%	2.15%	3.25%	0.41%	0.09%	2.77%	0.41%	1.27%	2.05%	0.21%	0.99%	1.79%	0.00%	1.59%	1.46%	1.11%	0.00%	0.43%	1.69%	0.00%	2.23%	1.87%	3.29%	1.71%	0.72%	1.24%	0.10%	0.00%	0.62%	0.00%	0.77%	0.30%	0.00%	0.61%	1.07%	1.30%	0.74%	1.40%	6.27%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	604	13	19	29	3	17	2	17	17	8	21	22	2	2	19	14	19	19	17	17	17	15	5	0	16	3	23	3	2	7	15	10	7	8	17	6	16	9	2	12	15	26	9	18	13	1	1	3	0	9	2	0	1	5	16	6	4	5									
		1.46%	2.37%	1.50%	2.70%	0.30%	1.90%	0.15%	2.85%	3.55%	0.66%	2.56%	4.57%	0.50%	0.16%	3.97%	2.53%	3.35%	2.74%	2.01%	3.31%	2.61%	3.25%	0.69%	0.00%	6.32%	0.25%	1.63%	1.02%	0.42%	1.39%	1.68%	6.10%	1.59%	1.30%	2.71%	2.01%	6.81%	2.17%	0.64%	3.34%	1.04%	3.42%	2.20%	1.17%	0.73%	0.10%	1.64%	0.93%	0.00%	0.69%	0.59%	0.00%	0.61%	0.28%	1.16%	1.47%	1.86%	0.75%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	437	17	17	12	10	12	0	11	10	8	11	9	3	5	21	6	7	12	23	14	14	10	2	2	2	6	12	3	5	4	9	5	7	8	8	1	5	0	9	5	19	9	14	11	8	3	0	1	2	9	1	0	1	4	7	13	1	9									
		1.06%	3.10%	1.34%	1.12%	0.98%	1.34%	0.00%	1.85%	2.09%	0.66%	1.34%	1.87%	0.74%	0.40%	4.39%	1.08%	1.23%	1.73%	2.72%	2.72%	2.15%	2.16%	0.27%	0.18%	0.79%	0.50%	0.85%	1.02%	1.04%	0.80%	1.01%	3.05%	1.59%	1.30%	1.27%	0.34%	2.13%	0.00%	2.87%	1.39%	1.32%	1.18%	3.41%	0.72%	0.45%	0.30%	0.00%	0.31%	0.19%	0.69%	0.30%	0.00%	0.61%	0.23%	0.51%	3.19%	0.47%	1.34%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	28246	263	981	582	752	556	1092	282	176	957	575	239	260	947	198	278	305	495	559	252	308	210	643	946	151	870	1098	158	384	303	713	98	263	359	443	262	134	233	211	259	1057	358	255	1179	1266	918	55	281	727	924	231	215	133	1242	890	165	138	417									
		68.34%	47.99%	77.30%	54.14%	74.02%	62.26%	82.73%	47.32%	36.74%	78.83%	70.21%	49.69%	64.36%	74.98%	41.42%	50.18%	53.79%	71.43%	66.08%	49.03%	47.31%	45.45%	88.20%	85.69%	59.68%	71.96%	77.60%	53.92%	80.00%	60.24%	79.66%	59.76%	59.77%	58.18%	70.54%	87.92%	57.02%	56.14%	67.20%	72.14%	73.35%	47.11%	62.20%	76.76%	71.28%	92.91%	90.16%	87.27%	69.50%	71.08%	68.55%	87.76%	80.61%	70.05%	64.26%	40.54%	64.19%	62.24%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	177	3	3	5	2	3	0	7	2	0	0	2	2	4	4	3	8	5	7	5	5	3	0	0	0	3	10	4	2	7	2	2	0	1	4	2	1	0	0	2	3	7	2	5	10	1	0	0	0	5	1	0	1	6	17	1	1	4									
		0.43%	0.55%	0.24%	0.47%	0.20%	0.34%	0.00%	1.17%	0.42%	0.00%	0.00%	0.42%	0.50%	0.32%	0.84%	0.54%	1.41%	0.72%	0.83%	0.97%	0.77%	0.65%	0.00%	0.00%	0.00%	0.25%	0.71%	1.37%	0.42%	1.39%	0.22%	1.22%	0.00%	0.16%	0.64%	0.67%	0.43%	0.00%	0.00%	0.56%	0.21%	0.92%	0.49%	0.33%	0.56%	0.10%	0.00%	0.00%	0.00%	0.38%	0.30%	0.00%	0.61%	0.34%	1.23%	0.25%	0.47%	0.60%									
24	"6. Политическая партия ""Гражданская Платформа"""	61	1	2	0	5	4	0	1	2	1	2	0	0	1	1	4	0	1	0	1	2	1	2	0	0	3	1	2	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	3	3	2	0	0	0	0	0	0	1	3	2	2	1	1									
