Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																	
Дата голосования: 18.09.2016																	
																	
Наименование Избирательной комиссии:    Сусуманская																	
																	
Сводная таблица итогов голосования по федеральному избирательному округу																	
																	
		Сумма	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4738	1556	1355	317	99	468	943									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5787	1849	1585	410	95	646	1202									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	185	0	141	0	27	0	17									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1870	567	571	117	58	196	361									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	159	88	27	0	0	38	6									
6	Число погашенных избирательных бюллетеней	3573	1194	846	293	10	412	818									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	344	88	168	0	27	38	23									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1870	567	571	117	58	196	361									
9	Число недействительных избирательных бюллетеней	44	15	13	3	0	5	8									
10	Число действительных избирательных бюллетеней	2170	640	726	114	85	229	376									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	205	44	47	20	34	20	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	135	32	47	8	8	20	20									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	33	13	10	6	2	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	70	12	0	12	26	0	20									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	35	11	18	1	4	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0									
																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	23	16	2	1	1	1	2									
		1.04%	2.44%	0.27%	0.85%	1.18%	0.43%	0.52%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	48	13	11	1	2	2	19									
		2.17%	1.98%	1.49%	0.85%	2.35%	0.85%	4.95%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	61	15	17	4	1	14	10									
		2.76%	2.29%	2.30%	3.42%	1.18%	5.98%	2.60%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1200	318	476	52	56	141	157									
		54.20%	48.55%	64.41%	44.44%	65.88%	60.26%	40.89%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	8	2	0	1	1	3	1									
		0.36%	0.31%	0.00%	0.85%	1.18%	1.28%	0.26%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	2	1	0	0	1	2									
		0.27%	0.31%	0.14%	0.00%	0.00%	0.43%	0.52%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	412	141	122	22	12	33	82									
		18.61%	21.53%	16.51%	18.80%	14.12%	14.10%	21.35%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	6	2	4	0	0	0	0									
		0.27%	0.31%	0.54%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	14	4	4	0	2	1	3									
		0.63%	0.61%	0.54%	0.00%	2.35%	0.43%	0.78%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	2	1	0	1	0	0	0									
		0.09%	0.15%	0.00%	0.85%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	14	7	3	3	0	0	1									
		0.63%	1.07%	0.41%	2.56%	0.00%	0.00%	0.26%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	290	90	60	20	10	28	82									
		13.10%	13.74%	8.12%	17.09%	11.76%	11.97%	21.35%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	5	1	1	0	0	0	3									
		0.23%	0.15%	0.14%	0.00%	0.00%	0.00%	0.78%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	81	28	25	9	0	5	14									
		3.66%	4.27%	3.38%	7.69%	0.00%	2.14%	3.65%									
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
