Выборы Президента Российской Федерации																																																																																														
Дата голосования: 02.03.2008																																																																																														
																																																																																														
"Наименование Избирательной комиссии:    Казань, Приволжская"																																																																																														
																																																																																														
Сводная таблица результатов выборов																																																																																														
																																																																																														
	Число участковых избирательных комиссий	87																																																																																												
	"Число участковых избирательных комиссий, приступивших к передаче сведений"	87																																																																																												
																																																																																														
		Сумма	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351					
1	"Число избирателей, включенных в списки избирателей"	181904	935	2192	857	1117	2755	2899	2875	982	1967	1565	1074	2854	2905	1511	2062	1278	2429	2326	1700	1930	1415	1551	2252	2086	1458	1365	2602	2150	1652	2800	2366	1867	1890	2694	2673	2728	2750	2788	2722	2648	1992	2195	2252	2561	2446	2625	2615	2600	2048	2711	2773	2744	2500	2734	2769	1706	2850	2835	2464	2998	2458	2366	2594	1915	2461	2654	2780	2882	2927	2440	1969	2758	2452	2998	1892	2587	2576	2123	962	1440	300	295	226	180	86	40	455					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	167360	850	1900	800	1100	2600	2500	2500	800	1900	1300	1000	2600	2600	1300	1600	1000	2300	2200	1700	1700	1200	1500	2000	2000	1300	1300	2400	1800	1700	2500	2200	1600	1800	2500	2500	2600	2600	2700	2700	2400	1800	2100	2100	2400	2400	2500	2400	2200	1900	2500	2500	2500	2500	2600	2600	1600	2600	2600	2300	2700	2400	2200	2500	1800	2300	2600	2600	2700	2400	2200	1800	2300	2100	2500	1700	2400	2300	2000	900	1650	300	300	300	180	90	40	450					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в помещениях для голосования в день голосования"	125225	730	1501	577	695	1802	1974	1983	635	1728	1080	697	1547	1981	907	1411	852	1544	1564	1105	1476	931	985	1524	1220	962	926	1898	1476	1482	1871	1648	1300	1273	1540	1446	1623	1710	1877	1828	1808	1355	1474	1574	1874	1603	1804	2106	1974	1474	1907	1917	1843	1675	1902	1907	1047	1986	2089	1838	2181	1696	1630	1782	1287	1709	1914	2030	2047	2077	1713	1344	1881	1735	2038	1271	1616	1724	1750	674	1440	294	295	226	180	86	40	99					
5	"Число избирательных бюллетеней, выданных вне помещений для голосования в день голосования"	5790	48	17	40	86	109	80	101	88	145	47	46	273	84	151	69	43	58	51	67	57	50	101	71	98	42	43	54	136	115	23	54	65	42	31	207	67	29	75	77	72	80	96	49	63	102	101	55	55	88	73	57	86	50	46	53	73	54	30	45	62	44	37	50	61	38	42	60	41	36	50	34	39	31	53	35	129	27	74	131	0	0	0	0	0	0	0	348					
6	Число погашенных избирательных бюллетеней	36345	72	382	183	319	689	446	416	77	27	173	257	780	535	242	120	105	698	585	528	167	219	414	405	682	296	331	448	188	103	606	498	235	485	929	847	910	861	748	795	520	365	530	477	463	695	595	239	171	338	520	526	571	775	652	640	480	560	481	417	457	660	533	668	452	553	644	510	612	287	437	422	380	334	409	394	655	549	176	95	210	6	5	74	0	4	0	3					
