Выборы Президента Российской Федерации																																																																																															
																																																																																															
"Наименование Избирательной комиссии:    Казань, Приволжская"																																																																																															
																																																																																															
Итоги голосования 																																																																																															
																																																																																															
		Сумма	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №370	УИК №371	УИК №372					
1	"Число избирателей, внесенных в список"	167870	902	1582	704	943	2254	2832	2519	807	1626	2285	2324	1315	1605	1225	1789	1020	2125	2361	1893	2201	1584	1618	2119	1583	513	1432	1456	1575	1862	1506	2218	2158	1405	1881	2090	2054	2214	2637	2963	2588	2626	2210	2167	2219	2462	2473	2755	2429	2866	2810	1605	2363	2627	2294	2617	2983	1414	2748	2491	2161	2387	2791	2854	2843	2765	2804	2430	2637	2758	2690	2028	2438	2961	2367	1854	2702	1243	2010	811	1311	272	230	130	150	35	171	33	77					
2	Число полученных избирательных бюллетеней	173375	850	1650	750	1050	2700	2900	2600	750	1550	2250	2400	1500	1950	1300	1750	1050	2450	2550	2000	2150	1550	1500	2250	1750	580	1700	1500	1580	1900	1650	2500	2250	1550	1900	2200	2400	2850	2700	2850	2600	2700	2200	2250	2150	2500	2500	2700	2400	2850	2850	1600	2300	2550	2200	2600	3000	1450	3000	2500	2200	2450	2850	2900	2850	2700	2800	2400	3000	2900	2750	2050	2550	3000	2400	1850	2700	1250	2000	800	1600	300	250	120	150	35	190	40	80					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	121819	615	1111	494	596	1567	2262	1998	464	1255	1813	986	1182	1563	927	1004	609	1349	1691	1165	1382	929	1315	1809	1070	334	1101	937	921	1112	1435	1603	1463	935	1269	1265	2022	1779	2456	2176	1802	2397	2049	2037	1976	2068	2088	2364	2227	1987	1973	1068	1522	2292	1851	1690	1939	895	1823	1619	1438	2147	1796	1833	1804	1721	1775	1564	1885	1829	1730	1376	1613	1987	1540	1129	1632	836	1672	500	1300	266	230	120	150	34	171	33	77					
5	"Число избирательных бюллетеней, выданных вне помещения"	3992	17	34	83	21	92	35	37	44	34	35	209	15	20	57	35	27	31	56	42	65	32	44	41	49	38	44	33	63	61	71	20	31	26	32	41	32	120	148	47	66	73	62	73	53	83	88	77	38	66	80	37	60	52	59	29	34	58	36	10	39	31	43	42	58	38	49	56	31	20	26	43	35	18	42	30	56	25	58	150	0	6	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	47562	218	505	173	433	1041	603	565	242	261	402	1205	303	367	316	711	412	1070	803	793	703	589	141	400	631	208	555	530	596	727	144	877	756	589	599	894	346	951	96	627	732	230	89	140	121	349	324	259	135	797	797	495	718	206	290	881	1027	497	1141	871	723	272	1011	1025	988	941	976	780	1084	1051	994	631	902	995	818	691	1012	389	270	150	300	28	20	0	0	1	19	7	3					
7	Число избирательных бюллетеней в переносных ящиках	3991	17	34	83	21	92	35	37	44	34	35	209	15	20	57	35	27	31	56	42	65	32	44	41	49	38	44	33	63	61	71	20	31	26	32	41	32	120	148	47	66	73	62	73	53	83	88	77	38	66	80	37	60	52	59	29	34	58	36	10	39	31	43	42	58	38	49	55	31	20	26	43	35	18	42	30	56	25	58	150	0	6	0	0	0	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	121670	615	1111	494	596	1567	2262	1998	463	1255	1813	986	1182	1563	927	1004	609	1349	1691	1160	1382	929	1315	1809	1070	331	1101	937	921	1112	1435	1596	1463	935	1269	1265	2022	1779	2456	2176	1802	2397	2049	2037	1976	2068	2088	2364	2227	1987	1968	1068	1522	2292	1851	1690	1935	892	1823	1619	1438	2147	1796	1833	1804	1721	1775	1546	1885	1829	1627	1376	1613	1987	1540	1129	1632	836	1672	500	1300	266	230	120	150	34	171	33	77					
9	Число недействительных избирательных бюллетеней	1852	17	1	18	19	7	2	12	27	17	23	0	27	32	8	28	14	32	52	28	21	7	16	25	18	2	22	21	15	25	85	43	34	15	23	24	43	2	14	15	19	37	36	41	32	28	35	38	25	0	52	13	22	5	19	27	34	11	32	17	8	33	18	14	13	28	18	34	43	19	32	37	25	31	16	18	31	22	18	2	18	7	1	5	0	0	3	1	0					
10	Число действительных избирательных бюллетеней	123809	615	1144	559	598	1652	2295	2023	480	1272	1825	1195	1170	1551	976	1011	622	1348	1695	1174	1426	954	1343	1825	1101	367	1123	949	969	1148	1421	1573	1460	946	1278	1282	2011	1897	2590	2208	1849	2433	2075	2069	1997	2123	2141	2403	2240	2053	1996	1092	1560	2339	1891	1692	1935	939	1827	1612	1469	2145	1821	1861	1849	1731	1806	1567	1873	1830	1621	1382	1623	1974	1566	1141	1657	839	1712	648	1282	265	229	115	150	34	168	32	77					
