Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																															
Дата голосования: 18.09.2016																																																															
																																																															
Наименование Избирательной комиссии:    Холмская судовая																																																															
																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																															
																																																															
		Сумма	УИК №400	УИК №401	УИК №402	УИК №403	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	1130	11	11	11	8	18	11	37	14	11	13	17	16	24	12	18	16	8	19	20	16	128	29	32	18	10	8	6	15	7	6	63	65	37	12	23	28	15	25	27	19	26	30	16	18	10	9	25	30	12	24	27	19									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	1130	11	11	11	8	18	11	37	14	11	13	17	16	24	12	18	16	8	19	20	16	128	29	32	18	10	8	6	15	7	6	63	65	37	12	23	28	15	25	27	19	26	30	16	18	10	9	25	30	12	24	27	19									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1104	11	11	11	8	18	11	37	14	11	13	17	16	18	12	18	16	8	19	20	16	128	26	30	15	10	8	6	15	7	6	63	62	37	12	23	28	15	25	27	19	26	23	14	18	10	9	25	30	12	24	27	19									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	26	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	3	2	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1104	11	11	11	8	18	11	37	14	11	13	17	16	18	12	18	16	8	19	20	16	128	26	30	15	10	8	6	15	7	6	63	62	37	12	23	28	15	25	27	19	26	23	14	18	10	9	25	30	12	24	27	19									
9	Число недействительных избирательных бюллетеней	44	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	7	6	0	0	16	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0									
10	Число действительных избирательных бюллетеней	1060	11	11	11	8	18	11	33	14	11	13	17	16	18	12	18	14	8	19	19	16	128	26	30	15	5	8	6	15	7	6	63	55	31	12	23	12	15	25	27	19	25	23	14	18	10	8	25	30	12	24	26	19									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	31	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	14	5	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1									
		2.81%	0.00%	0.00%	0.00%	12.50%	0.00%	0.00%	2.70%	0.00%	0.00%	7.69%	0.00%	0.00%	0.00%	0.00%	5.56%	0.00%	0.00%	5.26%	0.00%	0.00%	2.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.67%	0.00%	0.00%	22.22%	8.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.35%	7.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.26%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	47	0	1	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	3	3	2	4	1	2	0	0	0	0	0	0	0	0	6	1	0	10	0	1	1	1	0	0	2	1	1	1	0	1	0	0	0	0	1									
		4.26%	0.00%	9.09%	0.00%	0.00%	5.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.25%	5.56%	0.00%	5.56%	0.00%	0.00%	15.79%	15.00%	12.50%	3.13%	3.85%	6.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	9.68%	2.70%	0.00%	43.48%	0.00%	6.67%	4.00%	3.70%	0.00%	0.00%	8.70%	7.14%	5.56%	10.00%	0.00%	4.00%	0.00%	0.00%	0.00%	0.00%	5.26%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	56	0	0	0	0	2	0	0	0	0	0	1	0	1	0	3	1	3	0	1	0	4	4	0	0	0	0	0	2	1	0	0	3	3	2	3	0	1	3	1	1	3	2	1	3	0	0	3	0	3	0	1	0									
