Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																														
Дата голосования: 04.12.2011																																																																																														
																																																																																														
"Наименование Избирательной комиссии:    Калининград, Московская"																																																																																														
																																																																																														
Сводная таблица результатов выборов																																																																																														
																																																																																														
		Сумма	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №708	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №729	УИК №731	УИК №732	УИК №735					
1	"Число избирателей, внесенных в список избирателей"	125651	2603	2801	2236	1421	2805	1955	2032	2694	2585	2266	1798	2233	2265	1010	492	1530	2624	2357	1723	1500	1884	1852	1650	2596	2276	2348	648	2126	888	2430	2096	1958	1876	2453	1784	2311	2503	2183	2777	2090	2341	1310	2113	2447	2074	2425	2045	2513	2419	2492	2711	2909	2440	2630	3010	2338	1970	2104	1035	40	16	16	16	15	16	16	41	26	22	11	11	11	11	11	11	11	11	17	17	28	14	34	37	42	33	109	23					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	88770	1700	1950	1600	950	2000	1400	1450	1900	1850	1600	1300	1600	1600	750	500	1100	1850	1650	1250	850	1350	1300	1200	1800	1600	1650	450	1500	600	1700	1500	1400	1350	1750	1250	1650	1750	1550	1950	1500	1650	900	1450	1750	1450	1750	1450	1800	1700	1750	1950	2050	1700	1850	2200	1400	1400	1500	750	40	16	16	16	15	16	16	43	26	22	11	11	11	11	11	11	12	11	17	17	28	14	34	37	43	33	109	23					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	15	0	0	41	0	0	11	11	11	11	11	11	11	11	17	17	28	14	34	33	42	33	0	23					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	63062	1223	1367	885	642	1413	907	803	1279	1374	1185	830	1123	1148	471	445	788	1255	1121	862	808	970	1046	852	1205	1104	1098	414	1014	451	1351	1149	1042	1037	1209	1025	1221	1182	1055	1320	976	1064	645	962	1160	896	1291	1040	1249	1197	1194	1484	1559	1088	1268	2123	1365	1036	1095	464	0	16	16	16	0	16	16	0	26	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	850	93	9	8	1	12	16	11	20	8	13	10	22	13	5	0	2	16	7	18	0	12	14	16	14	16	8	6	5	5	18	17	12	22	20	6	8	27	19	18	12	14	8	15	22	19	11	17	16	14	8	8	5	59	11	24	6	12	9	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
6	Число погашенных избирательных бюллетеней	24432	384	574	707	307	575	477	636	601	468	402	460	455	439	274	55	310	579	522	370	42	367	240	332	581	480	544	30	481	144	331	334	346	290	521	219	421	541	476	612	512	572	247	473	568	535	448	393	535	489	548	458	486	553	571	53	29	352	396	273	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	1	0	5	0					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1274	93	9	8	1	12	16	11	20	8	13	10	22	13	5	0	2	16	7	18	0	12	14	16	14	16	8	6	5	5	18	17	12	22	20	6	8	27	19	18	12	14	8	15	22	19	11	17	16	14	8	8	5	59	11	24	6	12	9	13	39	0	0	0	15	0	0	41	0	0	11	11	11	11	11	11	11	11	17	17	28	14	34	33	42	33	0	23					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	63020	1220	1356	885	642	1413	906	803	1277	1374	1184	830	1123	1148	471	445	788	1255	1121	862	808	970	1046	851	1205	1102	1098	414	1014	451	1351	1149	1042	1037	1208	1023	1221	1180	1055	1320	976	1064	645	962	1160	896	1291	1038	1247	1197	1194	1484	1559	1088	1268	2119	1360	1036	1095	464	0	15	16	16	0	16	14	0	26	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0					
9	Число недействительных избирательных бюллетеней	1125	22	20	21	16	17	18	14	29	21	17	19	21	26	7	11	13	11	23	24	8	20	22	7	17	15	14	4	24	8	22	18	20	25	19	15	16	20	17	27	9	15	12	20	13	18	41	19	26	20	23	24	28	21	19	54	32	11	12	4	2	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0	1	3	1	0	2					
10	Число действительных избирательных бюллетеней	63169	1291	1345	872	627	1408	904	800	1268	1361	1180	821	1124	1135	469	434	777	1260	1105	856	800	962	1038	860	1202	1103	1092	416	995	448	1347	1148	1034	1034	1209	1014	1213	1187	1057	1311	979	1063	641	957	1169	897	1261	1036	1237	1191	1179	1468	1536	1126	1260	2089	1334	1037	1092	473	37	15	16	14	15	16	14	41	25	22	11	10	11	11	11	11	11	10	17	17	27	13	34	32	39	32	104	21					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1360	30	30	20	10	25	20	20	30	20	20	20	40	25	20	0	20	30	20	20	10	20	20	20	20	50	20	10	20	10	30	30	20	20	20	20	30	30	20	30	25	25	10	20	20	25	30	20	25	20	30	35	35	20	30	20	40	30	20	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1166	19	27	19	10	24	20	20	27	20	12	12	30	21	10	0	11	30	19	20	9	19	17	13	20	46	20	3	20	9	25	22	15	16	16	20	26	22	14	24	21	24	10	11	20	24	28	20	24	16	29	35	33	15	30	8	36	28	17	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1104	18	10	5	42	13	7	15	20	5	5	9	7	7	6	65	5	7	14	9	307	24	10	11	19	12	19	48	17	12	22	12	8	22	7	11	20	13	9	16	9	15	1	9	5	8	7	10	16	9	11	17	10	13	20	16	10	9	13	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число погашенных неиспользованных открепительных удостоверений	194	11	3	1	0	1	0	0	3	0	8	8	10	4	10	0	9	0	1	0	1	1	3	7	0	4	0	7	0	1	5	8	5	4	4	0	4	8	6	6	4	1	0	9	0	1	2	0	1	4	1	0	2	5	0	12	4	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	39	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
