Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
Наименование Избирательной комиссии:    Ичалковская																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №266	УИК №267	УИК №268	УИК №269	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14529	328	135	307	864	887	834	592	282	822	745	348	353	637	120	410	202	101	854	379	358	754	215	451	359	380	377	336	281	142	214	84	215	458	262	199	115	129									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	15200	341	144	322	903	937	882	599	294	860	786	354	368	664	115	432	203	102	895	400	396	787	224	465	360	395	396	350	298	147	224	93	229	489	279	208	124	135									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11884	269	120	276	639	788	629	521	253	740	591	312	310	464	100	288	156	84	633	296	331	674	177	402	283	300	284	267	227	127	150	76	146	423	209	161	75	103									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1520	41	10	27	71	73	81	49	19	37	72	23	23	51	13	110	34	11	56	49	27	50	31	17	35	68	66	43	36	10	54	5	62	28	45	31	36	26									
6	Число погашенных избирательных бюллетеней	1796	31	14	19	193	76	172	29	22	83	123	19	35	149	2	34	13	7	206	55	38	63	16	46	42	27	46	40	35	10	20	12	21	38	25	16	13	6									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1520	41	10	27	71	73	81	49	19	37	72	23	23	51	13	110	34	11	56	49	27	50	31	17	35	68	66	43	36	10	54	5	62	28	45	31	36	26									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11884	269	120	276	639	788	629	521	253	740	591	312	310	464	100	288	156	84	633	296	331	674	177	402	283	300	284	267	227	127	150	76	146	423	209	161	75	103									
9	Число недействительных избирательных бюллетеней	6	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	13398	310	130	303	710	861	710	570	272	775	663	335	333	515	113	398	189	95	686	345	358	724	208	419	318	368	350	310	263	137	204	81	208	451	254	192	111	129									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	580	13	5	12	34	35	34	23	11	33	30	14	14	25	3	17	8	4	34	15	15	30	9	18	14	15	15	14	12	6	8	3	9	19	11	8	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	536	13	5	11	34	35	31	23	11	33	27	1	14	25	3	15	0	3	34	15	13	30	8	17	13	14	14	12	12	6	8	3	9	19	11	8	5	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	101	4	1	1	4	1	0	6	1	6	1	0	1	0	29	2	3	5	4	1	5	0	1	3	0	2	3	3	2	3	2	0	0	0	3	3	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	44	0	0	1	0	0	3	0	0	0	3	13	0	0	0	2	8	1	0	0	2	0	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	0	0	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
