Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва									
Дата голосования: 07.12.2003 0:00:00									
									
Наименование Избирательной комиссии:    Северо-Курильская									
									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)									
									
		Сумма	УИК №160	УИК №161					
1	"Число избирателей, внесенных в списки"	2053	1095	958					
2	"Число бюллетеней, полученных участковыми комиссиями"	2468	1198	1270					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	1107	555	552					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	29	13	16					
6	Число погашенных бюллетеней	1332	630	702					
7	Число бюллетеней в переносных ящиках для голосования	29	13	16					
8	Число бюллетеней в стационарных ящиках для голосования	1107	555	552					
9	Число недействительных бюллетеней	11	5	6					
10	Число действительных бюллетеней	1125	563	562					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	61	30	31					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1	1	0					
14	Число погашенных открепительных удостоверений	61	30	31					
15	Число открепительных удостоверений выданных ТИК	0	0	0					
16	Число утраченных бюллетеней	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0					
									
18	"1. ""ЕДИНЕНИЕ"""	6	2	4					
		0.52%	0.35%	0.70%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	35	17	18					
		3.08%	2.99%	3.16%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	44	20	24					
		3.87%	3.52%	4.22%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	44	16	28					
		3.87%	2.81%	4.92%					
22	"5. ""За Русь Святую"""	11	6	5					
		0.96%	1.05%	0.88%					
23	"6. ""Объединенная Российская партия ""Русь"""	4	3	1					
		0.35%	0.52%	0.17%					
24	"7. ""Новый курс - Автомобильная Россия"""	8	4	4					
		0.70%	0.70%	0.70%					
25	"8. ""Народно-республиканская партия России"""	0	0	0					
		0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	5	3	2					
		0.44%	0.52%	0.35%					
27	"10. ""Аграрная партия России"""	26	11	15					
		2.28%	1.93%	2.64%					
28	"11. ""Истинные патриоты России"""	3	1	2					
		0.26%	0.17%	0.35%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	2	1	1					
		0.17%	0.17%	0.17%					
30	"13. ""Демократическая партия России"""	4	2	2					
		0.35%	0.35%	0.35%					
31	"14. ""Великая Россия - Евразийский Союз"""	4	2	2					
		0.35%	0.35%	0.35%					
32	"15. ""Партия СЛОН"""	1	1	0					
		0.08%	0.17%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	69	39	30					
		6.07%	6.86%	5.28%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	1	0	1					
		0.08%	0.0%	0.17%					
35	"18. ""ЛДПР"""	226	116	110					
		19.89%	20.42%	19.36%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	21	14	7					
		1.84%	2.46%	1.23%					
37	"20. ""Политическая партия ""Единая Россия"""	479	241	238					
		42.16%	42.42%	41.90%					
38	"21. ""Российская Конституционно-демократическая партия"""	3	2	1					
		0.26%	0.35%	0.17%					
39	"22. ""Развитие предпринимательства"""	5	3	2					
		0.44%	0.52%	0.35%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	81	37	44					
		7.13%	6.51%	7.74%					
									
41	Против всех	43	22	21					
		3.78%	3.87%	3.69%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
