Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																											
Дата голосования: 04.12.2011																																											
																																											
Наименование Избирательной комиссии:    Дубовская																																											
																																											
Сводная таблица результатов выборов																																											
																																											
		Сумма	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436					
1	"Число избирателей, внесенных в список избирателей"	22557	1287	720	637	1255	1222	924	937	966	934	361	1319	820	833	964	729	484	519	967	533	580	513	830	670	344	1066	776	76	61	108	183	71	254	112	54	251	197					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20802	1170	640	550	1130	1080	780	850	870	830	350	1190	730	740	860	700	460	490	850	480	560	510	840	680	348	1050	700	83	57	108	183	73	248	116	53	246	197					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	11279	641	399	314	561	558	413	480	466	457	182	689	451	395	449	416	247	300	427	285	309	293	537	371	208	446	274	42	32	73	104	41	124	67	31	104	93					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1660	52	32	34	93	61	91	54	46	81	14	39	61	35	64	30	42	58	117	44	77	26	82	46	69	71	84	10	11	17	36	1	56	7	3	9	7					
6	Число погашенных избирательных бюллетеней	7863	477	209	202	476	461	276	316	358	292	154	462	218	310	347	254	171	132	306	151	174	191	221	263	71	533	342	31	14	18	43	31	68	42	19	133	97					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1660	52	32	34	93	61	91	54	46	81	14	39	61	35	64	30	42	58	117	44	77	26	82	46	69	71	84	10	11	17	36	1	56	7	3	9	7					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	11276	638	399	314	561	558	413	480	466	457	182	689	451	395	449	416	247	300	427	285	309	293	537	371	208	446	274	42	32	73	104	41	124	67	31	104	93					
9	Число недействительных избирательных бюллетеней	188	11	6	5	9	11	12	5	6	8	4	14	4	3	12	6	2	0	8	6	6	9	7	7	3	5	6	0	1	0	1	1	2	4	1	2	1					
10	Число действительных избирательных бюллетеней	12748	679	425	343	645	608	492	529	506	530	192	714	508	427	501	440	287	358	536	323	380	310	612	410	274	512	352	52	42	90	139	41	178	70	33	111	99					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	355	21	7	12	10	17	8	15	14	10	9	15	17	6	3	14	3	24	7	20	12	30	10	14	10	13	12	3	3	0	1	0	2	6	0	1	6					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	338	17	7	9	10	17	7	14	11	10	7	15	17	6	3	11	3	24	7	20	12	30	10	14	10	13	12	3	3	0	1	0	2	6	0	1	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	183	7	9	6	6	11	5	11	10	9	5	5	4	5	7	3	5	4	2	6	3	4	4	4	4	8	4	4	2	1	3	2	6	2	3	4	5					
14	Число погашенных неиспользованных открепительных удостоверений	17	4	0	3	0	0	1	1	3	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	10	0	0	0	1	0	1	0	2	1	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3319	202	132	104	196	224	153	148	166	179	46	220	172	124	92	111	59	95	102	58	94	78	115	57	23	135	85	14	4	14	9	8	26	8	5	38	23					
		25.66%	29.28%	30.63%	29.89%	29.97%	36.19%	30.36%	27.72%	32.42%	33.27%	23.47%	30.22%	33.59%	28.84%	17.93%	24.89%	20.42%	26.54%	18.75%	17.63%	24.35%	24.45%	18.58%	13.67%	8.30%	26.11%	23.74%	26.92%	9.30%	15.56%	6.43%	19.05%	14.44%	10.81%	14.71%	33.63%	23.00%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1527	74	47	59	92	62	55	65	58	68	20	97	67	50	48	64	32	45	73	66	31	29	57	29	33	70	45	8	1	13	5	3	21	10	2	20	8					
		11.80%	10.72%	10.90%	16.95%	14.07%	10.02%	10.91%	12.17%	11.33%	12.64%	10.20%	13.32%	13.09%	11.63%	9.36%	14.35%	11.07%	12.57%	13.42%	20.06%	8.03%	9.09%	9.21%	6.95%	11.91%	13.54%	12.57%	15.38%	2.33%	14.44%	3.57%	7.14%	11.67%	13.51%	5.88%	17.70%	8.00%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	75	9	4	2	6	4	4	0	3	2	1	6	7	3	2	2	0	3	2	0	3	0	0	2	1	2	1	2	0	0	1	0	3	0	0	0	0					
		0.58%	1.30%	0.93%	0.57%	0.92%	0.65%	0.79%	0.00%	0.59%	0.37%	0.51%	0.82%	1.37%	0.70%	0.39%	0.45%	0.00%	0.84%	0.37%	0.00%	0.78%	0.00%	0.00%	0.48%	0.36%	0.39%	0.28%	3.85%	0.00%	0.00%	0.71%	0.00%	1.67%	0.00%	0.00%	0.00%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	2470	155	96	59	133	137	101	131	102	148	57	156	107	57	110	80	70	59	88	41	60	52	68	67	28	93	65	7	9	13	27	11	29	9	4	16	25					
		19.09%	22.46%	22.27%	16.95%	20.34%	22.13%	20.04%	24.53%	19.92%	27.51%	29.08%	21.43%	20.90%	13.26%	21.44%	17.94%	24.22%	16.48%	16.18%	12.46%	15.54%	16.30%	10.99%	16.07%	10.11%	17.99%	18.16%	13.46%	20.93%	14.44%	19.29%	26.19%	16.11%	12.16%	11.76%	14.16%	25.00%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	150	10	8	12	7	8	9	12	12	11	3	9	8	4	4	6	0	0	7	2	1	5	1	2	0	4	2	0	0	1	2	0	0	0	0	0	0					
		1.16%	1.45%	1.86%	3.45%	1.07%	1.29%	1.79%	2.25%	2.34%	2.04%	1.53%	1.24%	1.56%	0.93%	0.78%	1.35%	0.00%	0.00%	1.29%	0.61%	0.26%	1.57%	0.16%	0.48%	0.00%	0.77%	0.56%	0.00%	0.00%	1.11%	1.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5156	227	133	106	205	169	169	170	162	121	64	223	144	187	245	177	125	155	264	155	190	146	368	251	188	208	152	21	28	49	95	19	96	43	22	37	42					
		39.86%	32.90%	30.86%	30.46%	31.35%	27.30%	33.53%	31.84%	31.64%	22.49%	32.65%	30.63%	28.13%	43.49%	47.76%	39.69%	43.25%	43.30%	48.53%	47.11%	49.22%	45.77%	59.45%	60.19%	67.87%	40.23%	42.46%	40.38%	65.12%	54.44%	67.86%	45.24%	53.33%	58.11%	64.71%	32.74%	42.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	51	2	5	1	6	4	1	3	3	1	1	3	3	2	0	0	1	1	0	1	1	0	3	2	1	0	2	0	0	0	0	0	3	0	0	0	1					
		0.39%	0.29%	1.16%	0.29%	0.92%	0.65%	0.20%	0.56%	0.59%	0.19%	0.51%	0.41%	0.59%	0.47%	0.00%	0.00%	0.35%	0.28%	0.00%	0.30%	0.26%	0.00%	0.48%	0.48%	0.36%	0.00%	0.56%	0.00%	0.00%	0.00%	0.00%	0.00%	1.67%	0.00%	0.00%	0.00%	1.00%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
