Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Дальнереченская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК  1267	УИК  1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277	УИК №1278	УИК №1279	УИК №1280	УИК №1281	УИК №1282	УИК №1283	УИК №1284	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290					
1	"Число избирателей, внесенных в список"	9525	1015	511	888	185	589	84	43	283	139	289	1006	125	146	609	281	204	247	346	871	308	287	318	545	206					
2	Число полученных избирательных бюллетеней	9465	1025	527	897	185	589	82	44	280	141	286	998	122	150	600	280	194	245	342	854	306	284	316	530	188					
3	"Число избирательных бюллетеней, выданных  досрочно"	108	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	21	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	7260	728	354	602	174	452	68	42	233	100	216	734	115	133	477	239	174	200	296	536	193	271	300	445	178					
5	"Число избирательных бюллетеней, выданных вне помещения"	892	70	30	71	0	68	5	0	20	31	61	68	5	10	68	32	17	29	20	209	58	0	0	20	0					
6	Число погашенных избирательных бюллетеней	1205	227	143	162	11	69	9	2	27	10	9	196	2	7	55	9	3	16	26	84	34	13	16	65	10					
7	Число избирательных бюллетеней в переносных ящиках	1000	70	30	133	0	68	5	0	20	31	61	68	5	10	68	32	17	29	20	234	79	0	0	20	0					
8	Число бюллетеней в стационарных ящиках для голосования	7255	728	354	602	174	452	68	42	233	100	216	729	115	133	477	239	174	200	296	536	193	271	300	445	178					
9	Число недействительных избирательных бюллетеней	85	1	6	14	1	4	1	0	2	1	3	9	0	0	9	0	4	0	4	12	6	1	1	3	3					
10	Число действительных избирательных бюллетеней	8170	797	378	721	173	516	72	42	251	130	274	788	120	143	536	271	187	229	312	758	266	270	299	462	175					
11	Число полученных открепительных  удостоверений	210	15	3	15	9	10	0	0	8	6	10	17	4	13	23	5	1	8	5	15	6	2	1	14	20					
12	Число выданных открепительных удостоверений	161	10	1	11	9	10	0	0	7	6	10	17	3	13	12	2	0	8	5	10	6	1	0	10	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	102	6	0	2	1	2	2	0	3	5	3	13	5	2	6	3	7	2	4	13	8	8	1	5	1					
14	Число неиспользованных открепительных удостоверений	49	5	2	4	0	0	0	0	1	0	0	0	1	0	11	3	1	0	0	5	0	1	1	4	10					
15	"Число открепительных удостоверений, выданных в ТИК"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	284	39	13	29	3	22	1	1	7	2	13	33	2	1	9	17	10	11	8	27	7	7	7	13	2					
		3.44%	4.89%	3.39%	3.95%	1.72%	4.23%	1.37%	2.38%	2.77%	1.53%	4.69%	4.14%	1.67%	0.70%	1.65%	6.27%	5.24%	4.80%	2.53%	3.51%	2.57%	2.58%	2.33%	2.80%	1.12%					
19	. Малышкин Олег Александрович	388	46	20	26	12	26	0	6	3	18	16	44	7	6	39	9	13	6	10	30	10	8	3	21	9					
		4.70%	5.76%	5.21%	3.54%	6.90%	5.00%	0.00%	14.29%	1.19%	13.74%	5.78%	5.52%	5.83%	4.20%	7.16%	3.32%	6.81%	2.62%	3.16%	3.90%	3.68%	2.95%	1.00%	4.52%	5.06%					
20	. Миронов Сергей Михайлович	133	20	10	4	1	8	0	0	0	3	1	14	1	0	10	4	3	2	5	15	13	3	5	9	2					
		1.61%	2.51%	2.60%	0.54%	0.57%	1.54%	0.00%	0.00%	0.00%	2.29%	0.36%	1.76%	0.83%	0.00%	1.83%	1.48%	1.57%	0.87%	1.58%	1.95%	4.78%	1.11%	1.67%	1.94%	1.12%					
21	. Путин Владимир Владимирович	4879	483	192	482	98	295	32	30	176	65	120	397	68	106	293	173	115	165	188	459	135	175	172	337	123					
		59.10%	60.53%	50.00%	65.58%	56.32%	56.73%	43.84%	71.43%	69.57%	49.62%	43.32%	49.81%	56.67%	74.13%	53.76%	63.84%	60.21%	72.05%	59.49%	59.61%	49.63%	64.58%	57.33%	72.47%	69.10%					
