Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																												
Дата голосования: 07.12.2003 0:00:00																																												
																																												
Наименование Избирательной комиссии:    Козельская																																												
																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																												
																																												
		Сумма	УИК  358	УИК  359	УИК  360	УИК  361	УИК  362	УИК  363	УИК  364	УИК  365	УИК  366	УИК  367	УИК  368	УИК  369	УИК  370	УИК  371	УИК  372	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381	УИК  382	УИК  383	УИК  384	УИК  385	УИК  386	УИК  387	УИК  388	УИК  389	УИК  390	УИК  391	УИК  392	УИК  393	УИК  394					
1	"Число избирателей, внесенных в списки"	36658	1672	240	435	131	961	205	78	499	501	394	260	158	431	475	212	914	331	671	220	299	1051	866	1232	1175	2335	836	1920	78	2564	2721	1527	1940	1536	2398	2194	1620	1578					
2	"Число бюллетеней, полученных участковыми комиссиями"	34731	1500	240	430	130	950	200	133	500	480	380	250	158	430	470	310	900	330	680	230	300	1000	880	1200	1150	2000	800	1700	100	2500	2500	1500	1800	1500	2000	2100	1500	1500					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	353	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	38	286	9	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	17789	835	89	195	75	460	107	58	178	159	77	63	60	136	169	110	426	130	227	62	118	441	397	484	499	1090	429	1014	78	1415	1549	922	1015	869	1257	1187	642	767					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	2047	35	56	77	19	73	28	20	74	124	120	104	30	89	77	102	118	83	135	85	78	22	38	58	48	93	13	20	0	16	88	8	11	0	16	27	57	5					
6	Число погашенных бюллетеней	14542	630	95	158	36	417	65	55	248	197	183	83	68	205	224	98	356	117	318	83	104	537	445	658	603	797	358	666	22	1031	577	561	774	631	727	886	801	728					
7	Число бюллетеней в переносных ящиках для голосования	2400	35	56	77	19	73	28	20	74	124	120	104	30	89	77	102	118	83	135	85	78	22	38	58	48	113	13	20	0	54	374	17	11	0	16	27	57	5					
8	Число бюллетеней в стационарных ящиках для голосования	17780	835	89	195	75	459	107	58	178	159	77	63	60	136	169	110	426	130	227	62	118	441	397	484	498	1090	428	1014	78	1415	1549	922	1012	869	1254	1187	642	767					
9	Число недействительных бюллетеней	250	19	3	3	1	8	3	0	4	1	0	2	0	1	2	4	2	2	4	1	3	7	1	10	17	6	14	14	2	10	18	7	6	4	17	19	28	7					
10	Число действительных бюллетеней	19930	851	142	269	93	524	132	78	248	282	197	165	90	224	244	208	542	211	358	146	193	456	434	532	529	1197	427	1020	76	1459	1905	932	1017	865	1253	1195	671	765					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	502	22	5	10	5	15	5	5	10	10	10	5	5	10	10	10	15	10	10	5	10	10	10	15	15	20	10	25	0	25	55	10	20	20	20	20	20	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	181	18	1	0	2	0	1	0	5	0	0	0	1	1	1	0	5	2	7	1	0	8	6	1	2	8	1	11	0	11	49	7	6	2	9	10	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	98	4	2	1	1	5	2	0	5	0	2	3	1	2	4	1	3	2	1	0	0	1	7	1	5	4	1	3	2	3	22	2	0	3	1	3	1	0					
