Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Верхнехавская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	19295	273	396	423	495	1019	350	92	249	1222	1420	1311	1325	66	257	419	68	221	611	406	326	389	1212	433	465	1070	379	93	440	1435	1215	1100	115									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19600	300	400	450	500	1000	350	100	250	1250	1450	1400	1350	75	250	430	65	230	600	400	350	400	1200	450	480	1100	400	100	450	1400	1200	1100	120									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8223	154	205	201	214	334	187	37	120	592	640	608	559	22	92	292	27	105	255	152	204	184	484	172	244	367	166	46	139	563	363	383	112									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	4694	70	72	66	141	394	51	31	76	154	329	268	336	24	58	98	26	54	96	165	101	90	198	159	78	312	150	33	215	295	261	293	0									
6	Число погашенных избирательных бюллетеней	6683	76	123	183	145	272	112	32	54	504	481	524	455	29	100	40	12	71	249	83	45	126	518	119	158	421	84	21	96	542	576	424	8									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	4694	70	72	66	141	394	51	31	76	154	329	268	336	24	58	98	26	54	96	165	101	90	198	159	78	312	150	33	215	295	261	293	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8223	154	205	201	214	334	187	37	120	592	640	608	559	22	92	292	27	105	255	152	204	184	484	172	244	367	166	46	139	563	363	383	112									
9	Число недействительных избирательных бюллетеней	185	3	0	2	3	2	9	3	3	11	20	17	17	0	3	1	0	5	7	6	0	2	14	4	5	8	4	0	11	3	13	6	3									
10	Число действительных избирательных бюллетеней	12732	221	277	265	352	726	229	65	193	735	949	859	878	46	147	389	53	154	344	311	305	272	668	327	317	671	312	79	343	855	611	670	109									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	757	20	25	50	35	30	20	5	20	40	50	47	25	3	10	10	2	10	25	10	27	15	28	20	30	60	25	5	35	20	20	35	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	757	20	25	50	35	30	20	5	20	40	50	47	25	3	10	10	2	10	25	10	27	15	28	20	30	60	25	5	35	20	20	35	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	136	4	5	5	4	4	3	3	2	10	15	15	6	4	4	1	3	0	4	1	3	2	11	2	1	3	0	0	6	3	8	4	0									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	143	0	0	0	3	2	0	5	0	13	20	63	8	11	0	0	0	0	0	0	0	0	10	1	0	2	1	1	0	2	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	339	4	3	6	22	17	1	0	5	30	43	28	29	0	5	7	2	5	4	3	3	4	22	4	7	7	12	0	8	18	22	16	2									
		2.62%	1.79%	1.08%	2.25%	6.20%	2.34%	0.42%	0.00%	2.55%	4.02%	4.44%	3.20%	3.24%	0.00%	3.33%	1.79%	3.77%	3.14%	1.14%	0.95%	0.98%	1.46%	3.23%	1.21%	2.17%	1.03%	3.80%	0.00%	2.26%	2.10%	3.53%	2.37%	1.79%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	368	3	13	7	5	12	12	5	3	23	38	24	24	1	3	0	5	7	8	8	7	8	13	2	11	28	5	1	8	24	28	26	6									
		2.85%	1.34%	4.69%	2.62%	1.41%	1.65%	5.04%	7.35%	1.53%	3.08%	3.92%	2.74%	2.68%	2.17%	2.00%	0.00%	9.43%	4.40%	2.28%	2.52%	2.30%	2.92%	1.91%	0.60%	3.42%	4.12%	1.58%	1.27%	2.26%	2.80%	4.49%	3.85%	5.36%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	192	0	4	1	5	9	1	0	4	24	9	13	14	3	4	3	2	2	6	16	2	7	9	2	3	14	2	0	2	12	11	7	1									
		1.49%	0.00%	1.44%	0.37%	1.41%	1.24%	0.42%	0.00%	2.04%	3.22%	0.93%	1.48%	1.56%	6.52%	2.67%	0.77%	3.77%	1.26%	1.71%	5.05%	0.66%	2.55%	1.32%	0.60%	0.93%	2.06%	0.63%	0.00%	0.56%	1.40%	1.76%	1.04%	0.89%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7281	150	159	155	219	466	131	23	113	341	450	432	518	30	74	280	34	83	184	140	224	176	327	209	194	409	195	72	206	554	292	391	50									
		56.37%	66.96%	57.40%	58.05%	61.69%	64.01%	55.04%	33.82%	57.65%	45.71%	46.44%	49.32%	57.88%	65.22%	49.33%	71.79%	64.15%	52.20%	52.42%	44.16%	73.44%	64.23%	47.95%	63.14%	60.25%	60.24%	61.71%	91.14%	58.19%	64.57%	46.79%	57.84%	44.64%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	80	0	3	2	0	3	1	0	1	12	5	5	6	0	3	1	0	0	0	2	0	1	2	1	1	6	1	1	1	6	7	9	0									
		0.62%	0.00%	1.08%	0.75%	0.00%	0.41%	0.42%	0.00%	0.51%	1.61%	0.52%	0.57%	0.67%	0.00%	2.00%	0.26%	0.00%	0.00%	0.00%	0.63%	0.00%	0.36%	0.29%	0.30%	0.31%	0.88%	0.32%	1.27%	0.28%	0.70%	1.12%	1.33%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	23	0	1	0	0	1	1	1	1	0	8	3	0	0	0	1	0	0	0	1	0	0	1	1	0	0	1	0	0	0	1	1	0									
		0.18%	0.00%	0.36%	0.00%	0.00%	0.14%	0.42%	1.47%	0.51%	0.00%	0.83%	0.34%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.15%	0.30%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.16%	0.15%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1626	39	24	24	31	64	22	10	25	103	129	119	129	9	24	34	4	23	57	55	34	27	107	48	47	81	42	2	44	93	77	78	21									
		12.59%	17.41%	8.66%	8.99%	8.73%	8.79%	9.24%	14.71%	12.76%	13.81%	13.31%	13.58%	14.41%	19.57%	16.00%	8.72%	7.55%	14.47%	16.24%	17.35%	11.15%	9.85%	15.69%	14.50%	14.60%	11.93%	13.29%	2.53%	12.43%	10.84%	12.34%	11.54%	18.75%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	40	0	1	0	0	2	0	0	0	4	2	7	4	0	0	0	0	0	3	2	0	0	1	2	2	2	1	0	0	2	3	1	1									
		0.31%	0.00%	0.36%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.54%	0.21%	0.80%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.63%	0.00%	0.00%	0.15%	0.60%	0.62%	0.29%	0.32%	0.00%	0.00%	0.23%	0.48%	0.15%	0.89%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	39	0	0	0	0	2	1	0	1	1	7	0	8	0	0	0	0	0	4	1	1	0	2	1	0	2	0	0	1	3	4	0	0									
		0.30%	0.00%	0.00%	0.00%	0.00%	0.27%	0.42%	0.00%	0.51%	0.13%	0.72%	0.00%	0.89%	0.00%	0.00%	0.00%	0.00%	0.00%	1.14%	0.32%	0.33%	0.00%	0.29%	0.30%	0.00%	0.29%	0.00%	0.00%	0.28%	0.35%	0.64%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	15	0	0	0	0	1	0	0	0	1	2	0	2	0	0	0	0	0	1	2	0	0	2	0	0	0	0	0	1	1	1	1	0									
		0.12%	0.00%	0.00%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.13%	0.21%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.63%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.12%	0.16%	0.15%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	67	2	1	0	0	2	0	0	1	4	4	7	6	0	2	0	0	1	3	2	1	0	8	3	0	2	2	0	2	4	4	6	0									
		0.52%	0.89%	0.36%	0.00%	0.00%	0.27%	0.00%	0.00%	0.51%	0.54%	0.41%	0.80%	0.67%	0.00%	1.33%	0.00%	0.00%	0.63%	0.85%	0.63%	0.33%	0.00%	1.17%	0.91%	0.00%	0.29%	0.63%	0.00%	0.56%	0.47%	0.64%	0.89%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2331	19	64	64	59	128	47	24	35	179	215	200	119	2	27	53	5	30	63	64	28	47	151	52	46	103	47	3	65	114	140	113	25									
		18.05%	8.48%	23.10%	23.97%	16.62%	17.58%	19.75%	35.29%	17.86%	23.99%	22.19%	22.83%	13.30%	4.35%	18.00%	13.59%	9.43%	18.87%	17.95%	20.19%	9.18%	17.15%	22.14%	15.71%	14.29%	15.17%	14.87%	3.80%	18.36%	13.29%	22.44%	16.72%	22.32%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	35	0	0	0	0	2	0	0	0	1	3	3	5	0	0	1	0	1	1	1	1	0	4	0	0	4	0	0	2	3	1	1	1									
		0.27%	0.00%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.13%	0.31%	0.34%	0.56%	0.00%	0.00%	0.26%	0.00%	0.63%	0.28%	0.32%	0.33%	0.00%	0.59%	0.00%	0.00%	0.59%	0.00%	0.00%	0.56%	0.35%	0.16%	0.15%	0.89%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	296	4	4	6	11	17	12	2	4	12	34	18	14	1	5	9	1	2	10	14	4	2	19	2	6	13	4	0	3	21	20	20	2									
		2.29%	1.79%	1.44%	2.25%	3.10%	2.34%	5.04%	2.94%	2.04%	1.61%	3.51%	2.05%	1.56%	2.17%	3.33%	2.31%	1.89%	1.26%	2.85%	4.42%	1.31%	0.73%	2.79%	0.60%	1.86%	1.91%	1.27%	0.00%	0.85%	2.45%	3.21%	2.96%	1.79%									
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
