Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																						
Дата голосования: 18.09.2016																						
																						
Наименование Избирательной комиссии:    Югорская городская																						
																						
Сводная таблица итогов голосования по федеральному избирательному округу																						
																						
		Сумма	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27116	2607	2524	2537	2440	2709	2578	2943	2348	2752	2710	968									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23883	2344	2254	2101	2169	2432	2301	2582	2032	2447	2356	865									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11425	1105	1028	1072	1191	1114	1117	1309	992	966	1082	449									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	151	10	8	18	19	13	22	15	8	22	11	5									
6	Число погашенных избирательных бюллетеней	12307	1229	1218	1011	959	1305	1162	1258	1032	1459	1263	411									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	151	10	8	18	19	13	22	15	8	22	11	5									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11424	1105	1028	1072	1190	1114	1117	1309	992	966	1082	449									
9	Число недействительных избирательных бюллетеней	488	40	40	70	37	51	61	68	28	53	24	16									
10	Число действительных избирательных бюллетеней	11087	1075	996	1020	1172	1076	1078	1256	972	935	1069	438									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	550	50	50	50	50	50	50	50	50	50	50	50									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	89	4	9	8	15	9	5	16	3	5	9	6									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	85	3	2	4	4	12	20	23	5	2	7	3									
14	Число погашенных неиспользованных открепительных удостоверений	461	46	41	42	35	41	45	34	47	45	41	44									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	131	9	5	7	9	24	15	16	6	21	7	12									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0									
																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	173	22	20	16	19	15	15	17	19	14	16	0									
		1.49%	1.97%	1.93%	1.47%	1.57%	1.33%	1.32%	1.28%	1.90%	1.42%	1.46%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	198	20	13	16	20	19	26	28	17	14	16	9									
		1.71%	1.79%	1.25%	1.47%	1.65%	1.69%	2.28%	2.11%	1.70%	1.42%	1.46%	1.98%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	323	38	24	25	42	30	28	35	22	23	45	11									
		2.79%	3.41%	2.32%	2.29%	3.47%	2.66%	2.46%	2.64%	2.20%	2.33%	4.12%	2.42%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4811	453	508	418	537	458	435	575	438	356	426	207									
		41.56%	40.63%	49.03%	38.35%	44.42%	40.64%	38.19%	43.43%	43.80%	36.03%	38.98%	45.59%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	178	19	14	19	15	21	21	14	14	19	15	7									
		1.54%	1.70%	1.35%	1.74%	1.24%	1.86%	1.84%	1.06%	1.40%	1.92%	1.37%	1.54%									
24	"6. Политическая партия ""Гражданская Платформа"""	23	2	3	2	0	4	2	2	3	3	2	0									
		0.20%	0.18%	0.29%	0.18%	0.00%	0.35%	0.18%	0.15%	0.30%	0.30%	0.18%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2834	291	220	295	254	244	291	300	263	267	303	106									
		24.48%	26.10%	21.24%	27.06%	21.01%	21.65%	25.55%	22.66%	26.30%	27.02%	27.72%	23.35%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	63	6	4	5	3	6	11	11	5	6	4	2									
		0.54%	0.54%	0.39%	0.46%	0.25%	0.53%	0.97%	0.83%	0.50%	0.61%	0.37%	0.44%									
