Выборы Президента Российской Федерации																															
																															
Наименование Избирательной комиссии:    Тарногская																															
																															
Итоги голосования 																															
																															
		Сумма	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767					
1	"Число избирателей, внесенных в список"	11131	2047	2147	423	200	396	228	217	468	141	173	616	170	596	262	305	403	113	425	107	104	569	308	282	431					
2	Число полученных избирательных бюллетеней	11157	2000	2094	430	205	410	240	220	490	145	175	630	180	585	270	300	420	120	428	110	105	570	305	290	435					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	6171	1130	1191	255	131	218	93	139	214	99	108	249	109	347	138	153	219	69	281	84	78	301	136	174	255					
5	"Число избирательных бюллетеней, выданных вне помещения"	2371	138	147	106	46	111	96	30	188	24	49	287	56	153	80	107	104	24	99	15	18	198	102	87	106					
6	Число погашенных избирательных бюллетеней	2615	732	756	69	28	81	51	51	88	22	18	94	15	85	52	40	97	27	48	11	9	71	67	29	74					
7	Число избирательных бюллетеней в переносных ящиках	2371	138	147	106	46	111	96	30	188	24	49	287	56	153	80	107	104	24	99	15	18	198	102	87	106					
8	Число бюллетеней в стационарных ящиках для голосования	6171	1130	1191	255	131	218	93	139	214	99	108	249	109	347	138	153	219	69	281	84	78	301	136	174	255					
9	Число недействительных избирательных бюллетеней	47	7	8	0	0	0	0	2	2	2	1	3	0	3	1	3	2	3	3	1	0	1	1	3	1					
10	Число действительных избирательных бюллетеней	8495	1261	1330	361	177	329	189	167	400	121	156	533	165	497	217	257	321	90	377	98	96	498	237	258	360					
11	Число полученных открепительных  удостоверений	192	25	26	6	6	6	6	6	8	6	6	6	6	6	6	6	6	6	9	6	6	10	6	6	6					
12	Число выданных открепительных удостоверений	102	17	26	4	1	1	6	3	8	0	3	0	0	1	1	4	2	1	8	0	0	9	2	5	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	73	11	13	4	1	2	2	4	5	1	1	2	0	1	1	2	0	2	7	2	2	4	3	1	2					
14	Число неиспользованных открепительных удостоверений	90	8	0	2	5	5	0	3	0	6	3	6	6	5	5	2	4	5	1	6	6	1	4	1	6					
15	"Число открепительных удостоверений, выданных в ТИК"	4	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																															
18	. Глазьев Сергей Юрьевич	152	46	27	8	1	7	2	0	9	1	2	5	3	7	4	2	4	2	1	0	1	8	3	5	4					
		1.78%	3.63%	2.02%	2.22%	0.56%	2.13%	1.06%	0.00%	2.24%	0.81%	1.27%	0.93%	1.82%	1.40%	1.83%	0.77%	1.24%	2.15%	0.26%	0.00%	1.04%	1.60%	1.26%	1.92%	1.11%					
19	. Малышкин Олег Александрович	197	32	28	5	3	10	5	1	8	0	4	21	0	8	4	7	6	0	9	2	4	17	10	10	3					
		2.31%	2.52%	2.09%	1.39%	1.69%	3.04%	2.65%	0.59%	1.99%	0.00%	2.55%	3.92%	0.00%	1.60%	1.83%	2.69%	1.86%	0.00%	2.37%	2.02%	4.17%	3.41%	4.20%	3.83%	0.83%					
20	. Миронов Сергей Михайлович	62	9	5	1	0	4	2	2	7	0	1	5	0	3	1	3	2	0	5	2	1	1	1	4	3					
		0.73%	0.71%	0.37%	0.28%	0.00%	1.22%	1.06%	1.18%	1.74%	0.00%	0.64%	0.93%	0.00%	0.60%	0.46%	1.15%	0.62%	0.00%	1.32%	2.02%	1.04%	0.20%	0.42%	1.53%	0.83%					
21	. Путин Владимир Владимирович	6342	939	1016	172	153	207	146	145	282	88	132	433	120	376	133	211	267	59	286	89	70	361	185	188	284					
		74.24%	74.05%	75.93%	47.65%	86.44%	62.92%	77.25%	85.80%	70.15%	71.54%	84.08%	80.78%	72.73%	75.20%	61.01%	81.15%	82.66%	63.44%	75.26%	89.90%	72.92%	72.34%	77.73%	72.03%	78.67%					
22	. Хакамада Ирина Муцуовна	137	27	29	5	1	9	0	0	4	2	2	8	4	8	1	1	7	4	5	0	1	12	2	1	4					
		1.60%	2.13%	2.17%	1.39%	0.56%	2.74%	0.00%	0.00%	1.00%	1.63%	1.27%	1.49%	2.42%	1.60%	0.46%	0.38%	2.17%	4.30%	1.32%	0.00%	1.04%	2.40%	0.84%	0.38%	1.11%					
23	. Харитонов Николай Михайлович	1475	189	200	166	16	89	31	19	86	27	11	53	36	87	72	30	28	23	65	4	17	94	34	40	58					
		17.27%	14.91%	14.95%	45.98%	9.04%	27.05%	16.40%	11.24%	21.39%	21.95%	7.01%	9.89%	21.82%	17.40%	33.03%	11.54%	8.67%	24.73%	17.11%	4.04%	17.71%	18.84%	14.29%	15.33%	16.07%					
																															
24	Против всех	130	19	25	4	3	3	3	0	4	3	4	8	2	8	2	3	7	2	6	1	2	5	2	10	4					
		1.52%	1.50%	1.87%	1.11%	1.69%	0.91%	1.59%	0.00%	1.00%	2.44%	2.55%	1.49%	1.21%	1.60%	0.92%	1.15%	2.17%	2.15%	1.58%	1.01%	2.08%	1.00%	0.84%	3.83%	1.11%					
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
