Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва									
Дата голосования: 02.12.2007									
									
Наименование Избирательной комиссии:    Кедровая поселковая									
									
Сводная таблица результатов выборов									
									
		Сумма	УИК №761	УИК №762					
1	"Число избирателей, внесенных в списки избирателей"	3182	1574	1608					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	2900	1400	1500					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	1668	789	879					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	30	15	15					
6	Число погашенных избирательных бюллетеней	1202	596	606					
7	Число избирательных бюллетеней в переносных ящиках для голосования	30	15	15					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	1667	788	879					
9	Число недействительных избирательных бюллетеней	17	8	9					
10	Число действительных избирательных бюллетеней	1680	795	885					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	80	40	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	46	24	22					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	28	18	10					
14	Число погашенных неиспользованных открепительных удостоверений	34	16	18					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	2					
16	Число утраченных избирательных бюллетеней	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0					
									
18	1.Политическая партия «Аграрная партия России»	21	12	9					
		1.24%	1.49%	1.01%					
19	2.Всероссийская политическая партия «Гражданская Сила»	11	3	8					
		0.65%	0.37%	0.89%					
20	3.Политическая партия «Демократическая партия России»	1	1	0					
		0.06%	0.12%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	132	59	73					
		7.78%	7.35%	8.17%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	12	5	7					
		0.71%	0.62%	0.78%					
23	6.Политическая партия «Партия социальной справедливости»	0	0	0					
		0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	248	103	145					
		14.61%	12.83%	16.22%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	129	63	66					
		7.60%	7.85%	7.38%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	6	5	1					
		0.35%	0.62%	0.11%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	1105	542	563					
		65.11%	67.50%	62.98%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	15	2	13					
		0.88%	0.25%	1.45%					
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
