Выборы Президента Российской Федерации																																																													
																																																													
Наименование Избирательной комиссии:    Курагинская																																																													
																																																													
Итоги голосования 																																																													
																																																													
		Сумма	УИК  1508	УИК  1509	УИК  1510	УИК  1511	УИК  1512	УИК  1513	УИК  1514	УИК  1515	УИК  1516	УИК  1517	УИК  1518	УИК  1519	УИК  1520	УИК  1521	УИК  1522	УИК  1523	УИК  1524	УИК  1525	УИК  1526	УИК  1527	УИК  1528	УИК  1529	УИК  1530	УИК  1531	УИК  1532	УИК  1533	УИК  1534	УИК  1535	УИК  1536	УИК  1537	УИК  1538	УИК  1539	УИК  1540	УИК  1541	УИК  1542	УИК  1543	УИК  1544	УИК  1545	УИК  1546	УИК  1547	УИК  1548	УИК  1549	УИК  1550	УИК  1551	УИК  1552	УИК  1553	УИК  1554	УИК  1555	УИК  1556	УИК  1557	УИК  1558	УИК  1559	УИК  1560	УИК  1561					
1	"Число избирателей, внесенных в список"	37425	450	242	723	353	134	665	289	311	770	361	633	1586	1370	1450	1777	1446	1659	500	1005	160	2020	1773	208	522	298	136	277	104	94	581	177	257	87	996	597	749	173	318	226	631	522	208	231	923	1017	1201	664	731	1210	1931	2044	142	264	229					
2	Число полученных избирательных бюллетеней	37334	462	238	734	356	138	673	299	311	778	363	631	1551	1289	1439	1767	1405	1626	498	1025	167	2030	1758	205	533	304	136	288	108	96	593	180	248	89	1000	602	755	179	320	230	638	538	201	232	922	1018	1206	652	717	1192	1927	2043	142	268	234					
3	"Число избирательных бюллетеней, выданных  досрочно"	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18322	251	123	488	198	89	330	144	149	389	202	296	699	586	673	807	574	863	264	474	95	1012	977	121	281	150	89	146	53	47	300	89	122	53	483	324	314	115	204	137	326	268	115	141	370	435	482	260	369	603	867	973	79	166	157					
5	"Число избирательных бюллетеней, выданных вне помещения"	1468	6	11	2	10	0	48	3	9	38	9	16	94	105	80	56	114	52	28	70	12	37	31	0	6	7	0	14	4	0	35	4	33	12	34	0	31	3	0	7	14	41	11	5	26	68	88	57	28	16	27	36	4	26	0					
6	Число погашенных избирательных бюллетеней	17450	205	104	244	148	49	295	152	153	351	152	319	758	598	686	904	717	711	206	481	60	981	750	84	246	147	47	128	51	49	258	87	93	24	483	278	410	61	116	86	298	229	75	86	432	515	636	335	320	573	1033	1034	59	76	77					
7	Число избирательных бюллетеней в переносных ящиках	1562	6	11	2	10	0	48	3	9	38	9	16	94	105	80	56	114	52	28	70	12	37	31	0	6	7	0	14	4	0	35	4	33	12	34	0	31	3	0	7	14	41	11	5	120	68	88	57	28	16	27	36	4	26	0					
8	Число бюллетеней в стационарных ящиках для голосования	18321	251	123	488	198	89	330	144	149	389	202	296	699	586	672	807	574	863	264	474	95	1012	977	121	281	150	89	146	53	47	300	89	122	53	483	324	314	115	204	137	326	268	115	141	370	435	482	260	369	603	867	973	79	166	157					
9	Число недействительных избирательных бюллетеней	123	1	0	4	3	0	3	1	2	6	2	5	1	4	3	2	0	5	0	12	4	3	2	0	2	2	0	2	0	0	4	1	1	0	6	1	4	1	6	2	5	0	0	2	6	1	0	1	0	1	4	4	2	2	0					
10	Число действительных избирательных бюллетеней	19760	256	134	486	205	89	375	146	156	421	209	307	792	687	749	861	688	910	292	532	103	1046	1006	121	285	155	89	158	57	47	331	92	154	65	511	323	341	117	198	142	335	309	126	144	484	502	570	316	397	618	890	1005	81	190	157					
11	Число полученных открепительных  удостоверений	450	4	3	8	3	3	6	3	3	7	3	6	15	15	15	20	15	15	4	10	3	25	25	3	7	3	3	3	3	3	5	3	3	3	15	8	10	3	3	3	10	5	3	6	20	15	15	7	7	11	25	25	3	3	3					
12	Число выданных открепительных удостоверений	89	1	0	1	0	0	0	0	0	1	0	2	3	1	3	4	2	2	0	3	0	6	4	0	3	0	0	0	1	0	3	0	0	0	1	3	0	0	0	1	1	4	1	0	0	3	6	1	4	4	8	12	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	55	1	0	1	0	0	0	0	0	3	0	2	3	1	1	0	2	2	0	1	1	1	4	0	2	0	0	0	0	0	2	2	0	0	2	1	2	0	1	1	4	2	4	1	1	0	1	0	0	1	2	2	1	0	0					
14	Число неиспользованных открепительных удостоверений	361	3	3	7	3	3	6	3	3	6	3	4	12	14	12	16	13	13	4	7	3	19	21	3	4	3	3	3	2	3	2	3	3	3	14	5	10	3	3	2	9	1	2	6	20	12	9	6	3	7	17	13	3	3	3					
15	"Число открепительных удостоверений, выданных в ТИК"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																													
18	. Глазьев Сергей Юрьевич	2554	21	12	40	0	0	38	10	16	46	29	49	135	105	127	166	119	139	24	34	3	188	165	2	40	23	14	12	8	2	23	2	25	11	68	16	44	5	5	8	22	24	15	8	30	52	69	39	48	76	165	198	5	26	3					
		12.85%	8.17%	8.96%	8.16%	0.00%	0.00%	10.05%	6.80%	10.13%	10.77%	13.74%	15.71%	17.02%	15.20%	16.89%	19.24%	17.30%	15.19%	8.22%	6.25%	2.80%	17.92%	16.37%	1.65%	13.94%	14.65%	15.73%	7.50%	14.04%	4.26%	6.87%	2.15%	16.13%	16.92%	13.15%	4.94%	12.75%	4.24%	2.45%	5.56%	6.47%	7.77%	11.90%	5.48%	6.12%	10.34%	12.11%	12.30%	12.09%	12.28%	18.46%	19.62%	6.02%	13.54%	1.91%					
19	. Малышкин Олег Александрович	537	6	6	7	8	3	15	5	2	14	16	13	25	20	12	24	12	15	8	12	4	37	32	4	5	3	5	4	4	2	10	6	6	6	14	1	5	5	9	7	8	5	2	1	11	6	6	17	6	11	17	30	5	16	4					
		2.70%	2.33%	4.48%	1.43%	3.85%	3.37%	3.97%	3.40%	1.27%	3.28%	7.58%	4.17%	3.15%	2.89%	1.60%	2.78%	1.74%	1.64%	2.74%	2.21%	3.74%	3.53%	3.17%	3.31%	1.74%	1.91%	5.62%	2.50%	7.02%	4.26%	2.99%	6.45%	3.87%	9.23%	2.71%	0.31%	1.45%	4.24%	4.41%	4.86%	2.35%	1.62%	1.59%	0.68%	2.24%	1.19%	1.05%	5.36%	1.51%	1.78%	1.90%	2.97%	6.02%	8.33%	2.55%					
20	. Миронов Сергей Михайлович	200	6	2	4	3	1	6	0	3	3	3	4	6	4	2	4	7	9	4	3	4	20	16	3	1	2	0	2	1	0	2	0	2	2	4	2	2	2	2	0	3	4	0	1	3	5	6	5	2	2	11	9	3	2	3					
		1.01%	2.33%	1.49%	0.82%	1.44%	1.12%	1.59%	0.00%	1.90%	0.70%	1.42%	1.28%	0.76%	0.58%	0.27%	0.46%	1.02%	0.98%	1.37%	0.55%	3.74%	1.91%	1.59%	2.48%	0.35%	1.27%	0.00%	1.25%	1.75%	0.00%	0.60%	0.00%	1.29%	3.08%	0.77%	0.62%	0.58%	1.69%	0.98%	0.00%	0.88%	1.29%	0.00%	0.68%	0.61%	0.99%	1.05%	1.58%	0.50%	0.32%	1.23%	0.89%	3.61%	1.04%	1.91%					
21	. Путин Владимир Владимирович	11695	135	74	321	132	62	194	87	82	258	132	168	443	380	429	485	386	593	167	244	70	530	534	84	151	100	41	55	35	32	174	53	76	35	285	238	212	77	136	95	247	225	64	113	344	335	355	179	262	429	517	539	47	124	130					
		58.82%	52.53%	55.22%	65.51%	63.46%	69.66%	51.32%	59.18%	51.90%	60.42%	62.56%	53.85%	55.86%	54.99%	57.05%	56.20%	56.10%	64.81%	57.19%	44.85%	65.42%	50.52%	52.98%	69.42%	52.61%	63.69%	46.07%	34.38%	61.40%	68.09%	51.94%	56.99%	49.03%	53.85%	55.13%	73.46%	61.45%	65.25%	66.67%	65.97%	72.65%	72.82%	50.79%	77.40%	70.20%	66.60%	62.28%	56.47%	65.99%	69.31%	57.83%	53.42%	56.63%	64.58%	82.80%					
22	. Хакамада Ирина Муцуовна	489	4	6	5	4	5	5	5	8	8	3	9	19	18	24	18	26	19	11	10	4	28	31	1	3	2	7	2	1	0	5	3	5	5	9	11	10	8	3	3	6	8	3	6	9	13	11	8	6	7	25	25	2	5	7					
		2.46%	1.56%	4.48%	1.02%	1.92%	5.62%	1.32%	3.40%	5.06%	1.87%	1.42%	2.88%	2.40%	2.60%	3.19%	2.09%	3.78%	2.08%	3.77%	1.84%	3.74%	2.67%	3.08%	0.83%	1.05%	1.27%	7.87%	1.25%	1.75%	0.00%	1.49%	3.23%	3.23%	7.69%	1.74%	3.40%	2.90%	6.78%	1.47%	2.08%	1.76%	2.59%	2.38%	4.11%	1.84%	2.58%	1.93%	2.52%	1.51%	1.13%	2.80%	2.48%	2.41%	2.60%	4.46%					
