Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																	
Дата голосования: 04.12.2011																																	
																																	
Наименование Избирательной комиссии:    Тереньгульская																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №551	УИК №552	УИК №553	УИК №554	УИК №555	УИК №556	УИК №557	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576					
1	"Число избирателей, внесенных в список избирателей"	13655	1324	1473	1422	579	295	117	236	412	343	263	483	349	161	692	451	268	291	319	119	823	302	83	1084	942	578	246					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	14590	1310	1500	1490	591	323	131	264	438	356	298	531	402	194	754	490	303	307	337	133	895	348	97	1180	960	595	363					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7620	696	750	660	374	175	86	162	229	134	186	337	248	112	393	301	182	203	179	82	461	170	42	534	444	270	210					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1480	116	54	108	61	35	12	25	53	73	35	75	37	34	80	102	33	33	50	20	46	30	5	161	119	82	1					
6	Число погашенных избирательных бюллетеней	5490	498	696	722	156	113	33	77	156	149	77	119	117	48	281	87	88	71	108	31	388	148	50	485	397	243	152					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1480	116	54	108	61	35	12	25	53	73	35	75	37	34	80	102	33	33	50	20	46	30	5	161	119	82	1					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7619	696	750	660	374	175	86	162	229	134	186	337	248	112	393	301	182	203	179	82	461	170	42	534	443	270	210					
9	Число недействительных избирательных бюллетеней	88	8	8	9	6	4	0	3	2	2	1	7	4	0	6	1	1	1	2	2	6	3	0	0	2	2	8					
10	Число действительных избирательных бюллетеней	9011	804	796	759	429	206	98	184	280	205	220	405	281	146	467	402	214	235	227	100	501	197	47	695	560	350	203					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1046	45	45	65	30	20	13	40	30	20	40	50	40	30	50	40	40	20	20	20	80	50	13	115	50	30	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1034	45	45	65	30	20	13	37	30	20	40	42	40	30	49	40	40	20	20	20	80	50	13	115	50	30	50					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	213	10	12	12	9	2	3	5	9	8	9	3	6	4	5	8	9	8	7	8	14	18	5	21	11	5	2					
14	Число погашенных неиспользованных открепительных удостоверений	12	0	0	0	0	0	0	3	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
