Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Туруханская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №108	УИК №109	УИК №112	УИК №116	УИК №117	УИК №1954	УИК №1955	УИК №1956	УИК №1957	УИК №1960	УИК №1961	УИК №1962	УИК №1964	УИК №1965	УИК №1968	УИК №1969	УИК №1970	УИК №1971	УИК №1973	УИК №1975	УИК №1976									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13499	58	719	490	1844	1816	419	898	419	1342	172	409	208	95	104	1342	2151	588	66	64	205	90									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12900	50	700	500	1800	1800	400	900	400	1300	150	400	200	100	100	1250	1950	500	65	65	180	90									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	1100	0	0	0	0	0	0	76	26	11	0	12	0	0	0	321	520	95	0	0	39	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3831	36	263	43	444	417	173	221	132	437	103	205	128	70	91	265	461	169	34	39	65	35									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	222	0	15	9	16	11	2	13	10	18	12	0	4	0	0	30	36	6	0	4	7	29									
6	Число погашенных избирательных бюллетеней	7747	14	422	448	1340	1372	225	590	232	834	35	183	68	30	9	634	933	230	31	22	69	26									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1322	0	15	9	16	11	2	89	36	29	12	12	4	0	0	351	556	101	0	4	46	29									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3830	36	263	43	443	417	173	221	132	437	103	205	128	70	91	265	461	169	34	39	65	35									
9	Число недействительных избирательных бюллетеней	114	0	3	2	13	17	4	4	3	4	3	4	4	8	0	17	21	6	0	0	0	1									
10	Число действительных избирательных бюллетеней	5038	36	275	50	446	411	171	306	165	462	112	213	128	62	91	599	996	264	34	43	111	63									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	425	5	15	15	50	50	20	20	20	50	10	20	10	10	10	30	50	20	5	5	10	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	23	0	4	0	1	1	0	7	0	3	0	0	2	0	0	1	2	1	0	1	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	18	2	0	0	2	1	3	2	0	0	1	1	0	0	1	2	2	0	0	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	402	5	11	15	49	49	20	13	20	47	10	20	8	10	10	29	48	19	5	4	10	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	2	0	0	0	0									
