Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
Наименование Избирательной комиссии:    г. Балей																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК  368	УИК  369	УИК  370	УИК  371	УИК  372	УИК  373	УИК  374	УИК  375	УИК  376	УИК  377	УИК  378	УИК  379	УИК  380	УИК  381					
1	"Число избирателей, внесенных в списки"	10718	460	809	1304	856	1160	806	858	813	470	369	962	742	793	316					
2	"Число бюллетеней, полученных участковыми комиссиями"	9809	412	744	1174	770	1050	728	772	755	436	332	891	667	793	285					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	5067	206	403	662	422	530	359	396	405	237	188	373	318	413	155					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	400	30	41	26	33	28	29	10	64	15	10	75	4	22	13					
6	Число погашенных бюллетеней	4342	176	300	486	315	492	340	366	286	184	134	443	345	358	117					
7	Число бюллетеней в переносных ящиках для голосования	400	30	41	26	33	28	29	10	64	15	10	75	4	22	13					
8	Число бюллетеней в стационарных ящиках для голосования	5067	206	403	662	422	530	359	396	405	237	188	373	318	413	155					
9	Число недействительных бюллетеней	80	2	1	3	4	13	4	6	8	6	4	14	3	8	4					
10	Число действительных бюллетеней	5387	234	443	685	451	545	384	400	461	246	194	434	319	427	164					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	100	7	7	10	7	10	7	7	7	7	5	7	7	7	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	23	2	1	1	0	7	7	2	0	0	1	1	0	0	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	17	4	0	3	1	0	4	4	0	0	0	0	1	0	0					
14	Число погашенных открепительных удостоверений	77	5	6	9	7	3	0	5	7	7	4	6	7	7	4					
