Выборы Президента Российской Федерации																																																																	
																																																																	
Наименование Избирательной комиссии:    Назаровская																																																																	
																																																																	
Итоги голосования 																																																																	
																																																																	
		Сумма	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701					
1	"Число избирателей, внесенных в список"	16754	205	285	223	179	583	305	311	175	96	64	188	105	93	596	413	197	125	1129	173	342	147	124	1049	218	111	68	178	117	44	193	181	747	105	118	123	128	745	65	112	167	1409	303	201	839	155	104	93	1161	192	172	246	289	179	181	249	126	224	104					
2	Число полученных избирательных бюллетеней	16492	203	279	226	180	568	294	305	177	97	65	190	103	93	578	405	198	122	1087	168	334	139	122	1023	214	111	67	179	120	46	194	185	742	110	121	122	132	729	64	112	169	1402	295	199	825	152	104	93	1116	189	172	240	280	177	181	244	127	223	100					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	9545	83	152	137	98	331	160	207	111	56	43	141	84	69	333	173	128	83	577	92	186	98	79	577	97	81	55	120	68	25	114	105	402	68	89	84	106	345	59	85	107	742	199	135	390	92	65	61	605	121	129	121	166	107	115	162	86	148	93					
5	"Число избирательных бюллетеней, выданных вне помещения"	618	34	9	20	18	27	31	13	0	0	0	0	0	0	39	40	12	5	16	21	11	9	10	27	9	7	0	12	8	0	15	2	39	16	6	6	10	14	0	0	0	32	19	12	22	10	5	0	6	0	10	10	0	0	6	0	0	0	0					
6	Число погашенных избирательных бюллетеней	6329	86	118	69	64	210	103	85	66	41	22	49	19	24	206	192	58	34	494	55	137	32	33	419	108	23	12	47	44	21	65	78	301	26	26	32	16	370	5	27	62	628	77	52	413	50	34	32	505	68	33	109	114	70	60	82	41	75	7					
7	Число избирательных бюллетеней в переносных ящиках	618	34	9	20	18	27	31	13	0	0	0	0	0	0	39	40	12	5	16	21	11	9	10	27	9	7	0	12	8	0	15	2	39	16	6	6	10	14	0	0	0	32	19	12	22	10	5	0	6	0	10	10	0	0	6	0	0	0	0					
8	Число бюллетеней в стационарных ящиках для голосования	9544	83	152	137	98	331	160	207	111	56	43	141	84	69	333	173	128	83	576	92	186	98	79	577	97	81	55	120	68	25	114	105	402	68	89	84	106	345	59	85	107	742	199	135	390	92	65	61	605	121	129	121	166	107	115	162	86	148	93					
9	Число недействительных избирательных бюллетеней	79	0	1	2	0	2	0	4	0	0	0	0	0	1	3	0	2	0	6	1	1	2	0	3	1	0	0	0	0	1	0	0	5	1	0	3	0	3	0	0	0	7	2	0	3	0	0	3	6	5	1	2	2	3	0	1	0	2	0					
10	Число действительных избирательных бюллетеней	10083	117	160	155	116	356	191	216	111	56	43	141	84	68	369	213	138	88	586	112	196	105	89	601	105	88	55	132	76	24	129	107	436	83	95	87	116	356	59	85	107	767	216	147	409	102	70	58	605	116	138	129	164	104	121	161	86	146	93					
11	Число полученных открепительных  удостоверений	230	5	4	4	3	7	4	4	3	3	3	3	3	3	7	4	4	3	8	3	4	3	3	8	4	3	3	3	3	3	3	3	7	3	3	3	3	7	3	3	3	8	4	4	7	3	3	3	8	3	3	4	4	3	3	4	3	4	3					
12	Число выданных открепительных удостоверений	28	1	1	2	0	0	0	1	0	0	0	0	0	0	3	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	67	0	2	2	0	1	1	1	1	1	0	2	1	0	4	3	2	2	1	2	2	2	3	3	0	1	0	0	0	0	0	0	2	0	2	3	0	1	1	2	1	1	2	0	0	1	2	1	2	0	1	0	1	3	1	1	1	0	1					
14	Число неиспользованных открепительных удостоверений	202	4	3	2	3	7	4	3	3	3	3	3	3	3	4	4	4	3	5	3	4	2	3	7	4	3	3	3	3	3	3	3	0	2	3	3	3	7	3	3	3	5	4	3	7	3	3	3	8	3	3	4	4	3	3	4	3	1	3					
