Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																								
Дата голосования: 04.12.2011																								
																								
Наименование Избирательной комиссии:    Мещанский район																								
																								
Сводная таблица результатов выборов																								
																								
		Сумма	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №3213	УИК №3214	УИК №3215					
1	"Число избирателей, внесенных в список избирателей"	36963	2346	2234	2531	1919	2438	2407	2716	2601	2887	2805	2402	2130	2745	2663	761	799	579					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	31200	2000	1600	2100	1600	2100	2000	2200	2100	2100	2300	2000	1800	2200	2200	1200	1000	700					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	24373	1239	1425	1463	1348	1740	1782	1680	1678	1859	2087	1435	1494	1598	1478	734	799	534					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	585	75	42	18	33	26	44	27	29	100	31	34	39	39	48	0	0	0					
6	Число погашенных избирательных бюллетеней	6242	686	133	619	219	334	174	493	393	141	182	531	267	563	674	466	201	166					
7	Число избирательных бюллетеней в переносных ящиках для голосования	584	75	42	18	33	26	44	27	29	100	31	34	38	39	48	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	24176	1239	1425	1445	1348	1740	1738	1680	1649	1759	2087	1429	1494	1598	1478	734	799	534					
9	Число недействительных избирательных бюллетеней	345	12	0	44	0	0	20	0	24	4	7	2	25	150	11	15	20	11					
10	Число действительных избирательных бюллетеней	24415	1302	1467	1419	1381	1766	1762	1707	1654	1855	2111	1461	1507	1487	1515	719	779	523					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	840	70	50	80	50	50	70	50	50	50	70	100	50	50	50	0	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	648	64	39	53	33	46	59	42	46	36	44	69	50	27	40	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	751	30	31	22	44	36	20	48	33	72	36	49	45	48	57	37	69	74					
14	Число погашенных неиспользованных открепительных удостоверений	192	6	11	27	17	4	11	8	4	14	26	31	0	23	10	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	1	1	5	2	3	1	2	0	0	0	2	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																								
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2734	264	173	213	113	177	82	177	120	110	220	89	211	119	275	123	151	117					
		11.04%	20.09%	11.79%	14.56%	8.18%	10.02%	4.60%	10.37%	7.15%	5.92%	10.39%	6.08%	13.77%	7.27%	18.02%	16.76%	18.90%	21.91%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1598	106	68	136	93	124	31	122	118	117	8	85	84	87	125	103	139	52					
		6.45%	8.07%	4.64%	9.30%	6.73%	7.02%	1.74%	7.15%	7.03%	6.29%	0.38%	5.81%	5.48%	5.31%	8.19%	14.03%	17.40%	9.74%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	174	28	3	18	2	1	14	2	10	8	9	2	17	5	18	11	15	11					
		0.70%	2.13%	0.20%	1.23%	0.14%	0.06%	0.79%	0.12%	0.60%	0.43%	0.42%	0.14%	1.11%	0.31%	1.18%	1.50%	1.88%	2.06%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	5466	394	202	440	219	248	189	389	398	372	821	352	289	342	339	207	144	121					
		22.08%	29.98%	13.77%	30.08%	15.86%	14.04%	10.61%	22.79%	23.72%	20.01%	38.76%	24.06%	18.86%	20.89%	22.21%	28.20%	18.02%	22.66%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1208	92	8	249	43	1	27	8	24	14	206	3	55	75	266	38	59	40					
		4.88%	7.00%	0.55%	17.02%	3.11%	0.06%	1.52%	0.47%	1.43%	0.75%	9.73%	0.21%	3.59%	4.58%	17.43%	5.18%	7.38%	7.49%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13102	408	1009	349	909	1214	1406	1005	970	1225	840	929	834	847	485	233	261	178					
		52.92%	31.05%	68.78%	23.86%	65.82%	68.74%	78.90%	58.88%	57.81%	65.90%	39.66%	63.50%	54.44%	51.74%	31.78%	31.74%	32.67%	33.33%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	133	10	4	14	2	1	13	4	14	9	7	1	17	12	7	4	10	4					
		0.54%	0.76%	0.27%	0.96%	0.14%	0.06%	0.73%	0.23%	0.83%	0.48%	0.33%	0.07%	1.11%	0.73%	0.46%	0.54%	1.25%	0.75%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
