Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																															
Дата голосования: 02.12.2007																																															
																																															
Наименование Избирательной комиссии:    Шербакульская																																															
																																															
Сводная таблица результатов выборов																																															
																																															
		Сумма	УИК №1883	УИК №1884	УИК №1885	УИК №1886	УИК №1887	УИК №1888	УИК №1889	УИК №1890	УИК №1891	УИК №1892	УИК №1893	УИК №1894	УИК №1895	УИК №1896	УИК №1897	УИК №1898	УИК №1899	УИК №1900	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922					
1	"Число избирателей, внесенных в списки избирателей"	17092	1969	2022	1813	595	85	147	696	104	54	111	937	124	1048	159	164	349	117	656	195	265	86	175	1097	97	807	286	246	54	76	119	652	173	132	50	571	152	92	135	147	335					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	18302	1952	2013	1915	665	108	165	774	112	66	124	984	146	1151	185	177	405	130	774	251	309	89	177	1154	97	898	306	268	66	102	138	699	179	137	51	614	167	104	147	161	342					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	12905	1203	1174	1192	512	79	124	547	93	54	91	794	112	789	143	146	266	102	447	174	246	59	150	803	93	701	250	206	38	52	111	601	141	129	49	466	128	86	130	138	286					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1077	206	111	104	33	4	9	62	8	0	11	44	4	84	7	11	27	7	74	21	11	2	0	59	3	62	15	13	4	5	7	18	9	0	0	34	2	0	0	0	6					
6	Число погашенных избирательных бюллетеней	4320	543	728	619	120	25	32	165	11	12	22	146	30	278	35	20	112	21	253	56	52	28	27	292	1	135	41	49	24	45	20	80	29	8	2	114	37	18	17	23	50					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1076	206	110	104	33	4	9	62	8	0	11	44	4	84	7	11	27	7	74	21	11	2	0	59	3	62	15	13	4	5	7	18	9	0	0	34	2	0	0	0	6					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	12903	1203	1172	1192	512	79	124	547	93	54	91	794	112	789	143	146	266	102	447	174	246	59	150	803	93	701	250	206	38	52	111	601	141	129	49	466	128	86	130	138	286					
9	Число недействительных избирательных бюллетеней	190	19	16	22	2	0	4	3	0	0	1	25	2	10	0	1	5	5	13	1	2	1	0	16	1	3	8	6	1	0	1	11	1	0	0	6	0	0	0	2	2					
10	Число действительных избирательных бюллетеней	13789	1390	1266	1274	543	83	129	606	101	54	101	813	114	863	150	156	288	104	508	194	255	60	150	846	95	760	257	213	41	57	117	608	149	129	49	494	130	86	130	136	290					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	1382	95	70	105	91	25	22	95	15	10	20	40	20	100	20	15	50	15	100	35	35	15	20	60	0	70	20	15	10	15	20	54	10	10	5	20	10	10	10	20	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1376	95	70	105	91	25	22	95	12	10	20	40	20	100	20	15	50	15	100	35	35	15	20	60	0	70	20	15	10	15	20	54	10	10	5	20	10	10	10	17	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	295	31	25	20	11	4	4	22	2	1	6	9	3	19	1	3	6	3	8	10	5	1	2	12	1	20	6	3	9	8	2	8	4	4	2	12	2	1	3	0	2					
14	Число погашенных неиспользованных открепительных удостоверений	6	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	118	12	7	9	0	0	0	11	0	1	0	3	0	1	0	0	0	0	20	0	0	0	0	4	0	15	0	0	7	2	0	4	0	0	0	19	0	1	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																															
18	1.Политическая партия «Аграрная партия России»	341	17	25	17	23	0	7	16	2	0	0	52	0	27	0	1	0	0	25	7	2	0	1	23	0	11	5	3	0	3	2	13	14	3	0	22	0	1	2	6	11					
		2.44%	1.21%	1.95%	1.31%	4.22%	0.00%	5.26%	2.63%	1.98%	0.00%	0.00%	6.21%	0.00%	3.09%	0.00%	0.64%	0.00%	0.00%	4.80%	3.59%	0.78%	0.00%	0.67%	2.67%	0.00%	1.44%	1.89%	1.37%	0.00%	5.26%	1.69%	2.10%	9.33%	2.33%	0.00%	4.40%	0.00%	1.16%	1.54%	4.35%	3.77%					
19	2.Всероссийская политическая партия «Гражданская Сила»	62	8	13	8	4	0	1	0	1	0	1	4	0	7	0	0	0	0	2	0	0	0	0	1	0	2	2	0	0	0	0	0	1	0	0	4	0	0	0	1	2					
		0.44%	0.57%	1.01%	0.62%	0.73%	0.00%	0.75%	0.00%	0.99%	0.00%	0.98%	0.48%	0.00%	0.80%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.26%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.67%	0.00%	0.00%	0.80%	0.00%	0.00%	0.00%	0.72%	0.68%					
20	3.Политическая партия «Демократическая партия России»	16	1	0	1	1	0	0	3	0	0	0	2	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3					
