Выборы Президента Российской Федерации																																																									
																																																									
Наименование Избирательной комиссии:    Городецкая																																																									
																																																									
Итоги голосования 																																																									
																																																									
		Сумма	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771					
1	"Число избирателей, внесенных в список"	81369	1864	2204	2092	1747	1749	1273	2640	1673	1831	1669	2248	2023	1861	874	1436	2519	1593	1628	2341	2107	2148	2525	2547	2605	2852	2612	2969	2483	2918	1209	2549	852	731	1002	492	654	953	1153	620	722	298	1680	548	1223	1228	1078	1197	1007	546	596					
2	Число полученных избирательных бюллетеней	81150	1900	2200	2050	1820	1740	1260	2650	1700	1850	1650	2100	2050	1900	880	1450	2500	1550	1600	2300	2100	2150	2550	2400	2650	2900	2600	2990	2480	2900	1200	2550	830	750	1000	490	660	930	1150	620	740	290	1690	500	1240	1240	1020	1230	1000	550	600					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	39851	1038	1032	1064	897	857	424	987	845	1001	642	884	1084	933	380	662	994	962	851	1177	1048	1156	1320	1295	1324	1466	1460	1587	1369	1616	633	1473	424	315	465	198	248	354	541	343	350	125	707	250	581	451	532	460	492	256	298					
5	"Число избирательных бюллетеней, выданных вне помещения"	4773	49	126	66	36	103	115	137	32	35	47	254	17	19	42	64	49	40	29	85	34	28	76	189	66	50	16	17	35	32	4	3	60	218	237	106	239	172	221	28	126	88	162	112	188	280	184	292	84	45	36					
6	Число погашенных избирательных бюллетеней	36526	813	1042	920	887	780	721	1526	823	814	961	962	949	948	458	724	1457	548	720	1038	1018	966	1154	916	1260	1384	1124	1386	1076	1252	563	1074	346	217	298	186	173	404	388	249	264	77	821	138	471	509	304	478	424	249	266					
7	Число избирательных бюллетеней в переносных ящиках	4773	49	126	66	36	103	115	137	32	35	47	254	17	19	42	64	49	40	29	85	34	28	76	189	66	50	16	17	35	32	4	3	60	218	237	106	239	172	221	28	126	88	162	112	188	280	184	292	84	45	36					
8	Число бюллетеней в стационарных ящиках для голосования	39835	1038	1032	1064	897	857	424	987	845	1000	642	884	1084	930	380	662	984	962	850	1177	1048	1156	1320	1294	1324	1466	1460	1587	1369	1616	633	1473	424	315	465	198	248	354	541	343	350	125	707	250	581	451	532	460	492	256	298					
9	Число недействительных избирательных бюллетеней	315	10	24	11	2	7	0	10	6	4	1	11	7	4	5	5	9	5	9	17	6	7	8	7	10	0	9	10	8	11	3	8	7	1	7	2	3	2	8	2	2	3	5	6	7	3	10	5	2	4	2					
10	Число действительных избирательных бюллетеней	44293	1077	1134	1119	931	953	539	1114	871	1031	688	1127	1094	945	417	721	1024	997	870	1245	1076	1177	1388	1476	1380	1516	1467	1594	1396	1637	634	1468	477	532	695	302	484	524	754	369	474	210	864	356	762	728	706	747	574	297	332					
