Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Читинская - 44																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №3606	УИК №3610	УИК №3611	УИК №3612	УИК №3613	УИК №3614	УИК №3615	УИК №3616	УИК №3617	УИК №3618	УИК №3619	УИК №3620	УИК №3621	УИК №3622	УИК №3623	УИК №3624	УИК №3625	УИК №3626	УИК №3627	УИК №3628	УИК №3629	УИК №3630	УИК №3631	УИК №3632	УИК №3633	УИК №3634	УИК №3648	УИК №3649	УИК №3650	УИК №3651	УИК №3652	УИК №3653									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21188	1257	65	64	85	274	1006	359	263	785	256	589	165	229	900	501	1525	435	889	248	2346	2748	645	235	546	202	2196	797	657	294	197	218	212									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19100	1000	80	50	70	250	1000	350	300	800	250	550	150	200	850	550	1400	400	800	200	1900	2300	600	200	500	200	1900	700	650	300	200	200	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7587	446	57	41	48	187	296	133	258	161	100	134	59	67	282	136	343	104	371	104	1300	896	168	61	238	83	757	164	221	85	85	104	98									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	463	15	8	0	2	4	28	15	5	27	32	44	13	17	13	4	36	27	24	16	9	7	9	0	25	7	17	12	18	4	6	5	14									
6	Число погашенных избирательных бюллетеней	11050	539	15	9	20	59	676	202	37	612	118	372	78	116	555	410	1021	269	405	80	591	1397	423	139	237	110	1126	524	411	211	109	91	88									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	463	15	8	0	2	4	28	15	5	27	32	44	13	17	13	4	36	27	24	16	9	7	9	0	25	7	17	12	18	4	6	5	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7587	446	57	41	48	187	296	133	258	161	100	134	59	67	282	136	343	104	371	104	1300	896	168	61	238	83	757	164	221	85	85	104	98									
9	Число недействительных избирательных бюллетеней	237	7	0	0	1	4	2	2	4	21	7	7	1	2	7	6	17	4	10	2	30	23	6	3	5	3	42	6	2	2	3	5	3									
10	Число действительных избирательных бюллетеней	7813	454	65	41	49	187	322	146	259	167	125	171	71	82	288	134	362	127	385	118	1279	880	171	58	258	87	732	170	237	87	88	104	109									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	250	10	5	5	5	5	10	10	10	10	5	10	5	5	10	5	10	5	10	5	20	15	5	5	10	5	10	10	10	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	77	2	0	0	0	2	5	3	5	4	0	2	0	0	0	1	2	2	2	0	13	13	2	0	2	1	9	1	2	0	0	0	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	402	8	11	9	1	1	1	4	4	1	1	3	2	10	5	2	2	2	8	2	120	178	3	2	3	4	4	3	2	5	1	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	173	8	5	5	5	3	5	7	5	6	5	8	5	5	10	4	8	3	8	5	7	2	3	5	8	4	1	9	8	5	5	5	1									
