Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																									
Дата голосования: 18.09.2016																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Вольская																																																																																									
																																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																									
																																																																																									
		Сумма	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №1887	УИК №1888									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	64481	2130	1269	1349	2229	506	671	1040	1629	476	850	899	794	1721	1038	583	310	149	729	1410	1661	1060	1968	454	2057	438	1210	1043	1946	1360	1870	1210	1095	1329	910	707	2066	140	410	1731	1790	707	509	134	700	573	100	655	116	122	148	741	250	303	1378	1660	1420	486	323	185	969	293	560	223	110	184	1986	261	300	686	300	202	265	118	85	389	300	123	380									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	70590	2500	1200	1100	2300	550	900	900	1900	500	1250	600	800	2070	1150	700	300	150	900	1700	1800	1150	2000	650	2000	700	1250	1050	2000	1350	2000	1300	1150	1500	950	900	2000	120	450	2050	2000	850	540	150	700	650	90	700	150	150	150	850	400	450	1800	1700	1200	500	350	200	1000	350	650	240	130	250	2650	281	400	750	300	250	350	150	100	400	309	160	450									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	38170	1621	382	373	1092	170	471	666	1025	303	364	424	437	1148	496	198	132	66	442	1030	1286	865	1381	287	1584	369	970	543	1283	669	1133	633	425	834	441	344	1151	110	292	1153	1417	378	288	97	463	304	64	384	91	87	71	269	204	168	625	1047	674	258	223	148	371	101	170	84	58	136	1067	174	166	410	180	122	230	79	63	306	97	123	380									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	5622	83	302	31	140	60	200	107	111	42	105	87	38	160	122	102	60	24	67	56	81	26	111	27	116	14	170	35	147	34	59	32	79	104	167	133	200	4	5	205	29	59	77	8	109	85	23	55	10	26	28	99	46	40	69	24	38	29	90	23	48	30	53	35	13	5	275	53	66	56	31	22	35	16	15	72	184	0	0									
6	Число погашенных избирательных бюллетеней	26798	796	516	696	1068	320	229	127	764	155	781	89	325	762	532	400	108	60	391	614	433	259	508	336	300	317	110	472	570	647	808	635	646	562	342	423	649	6	153	692	554	413	175	45	128	261	3	261	49	37	51	482	150	242	1106	629	488	213	37	29	581	219	427	121	59	109	1308	54	168	284	89	106	85	55	22	22	28	37	70									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	5622	83	302	31	140	60	200	107	111	42	105	87	38	160	122	102	60	24	67	56	81	26	111	27	116	14	170	35	147	34	59	32	79	104	167	133	200	4	5	205	29	59	77	8	109	85	23	55	10	26	28	99	46	40	69	24	38	29	90	23	48	30	53	35	13	5	275	53	66	56	31	22	35	16	15	72	184	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	37980	1621	382	373	1092	170	471	666	1025	303	364	424	437	988	496	197	132	66	442	1030	1286	865	1381	287	1584	369	970	543	1283	669	1133	633	425	834	441	344	1151	110	292	1153	1417	378	288	97	463	304	64	384	91	87	71	269	204	168	625	1023	674	258	223	148	371	101	170	84	58	131	1067	174	166	410	180	122	230	79	63	306	97	123	380									
9	Число недействительных избирательных бюллетеней	325	1	12	9	4	2	1	4	0	3	6	3	7	15	3	2	5	0	2	6	5	4	6	4	0	3	12	5	10	15	10	6	8	0	0	15	0	0	1	0	0	4	6	0	3	5	0	5	0	0	0	12	6	2	11	22	8	11	1	0	8	1	0	2	2	2	0	0	0	7	5	9	3	0	0	0	0	0	1									
10	Число действительных избирательных бюллетеней	43277	1703	672	395	1228	228	670	769	1136	342	463	508	468	1133	615	297	187	90	507	1080	1362	887	1486	310	1700	380	1128	573	1420	688	1182	659	496	938	608	462	1351	114	296	1358	1446	433	359	105	569	384	87	434	101	113	99	356	244	206	683	1025	704	276	312	171	411	130	223	117	69	134	1342	227	232	459	206	135	262	95	78	378	281	123	379									
