Выборы Президента Российской Федерации																																																															
																																																															
Наименование Избирательной комиссии:    Почепская																																																															
																																																															
Итоги голосования 																																																															
																																																															
		Сумма	УИК  834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850	УИК №851	УИК №852	УИК №853	УИК №854	УИК №855	УИК №856	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868	УИК №869	УИК №870	УИК №871	УИК №872	УИК №873	УИК №874	УИК №875	УИК №876	УИК №877	УИК №878	УИК №879	УИК №880	УИК №881	УИК №882	УИК №883	УИК №884	УИК №885	УИК №886	УИК №887	УИК №888	УИК №889					
1	"Число избирателей, внесенных в список"	34451	2113	1315	1767	1085	1578	1838	1490	1757	848	294	499	423	559	244	596	66	144	1061	745	229	342	487	512	272	470	377	660	555	347	405	730	436	198	176	249	591	1768	400	165	950	58	420	236	325	464	621	483	307	255	232	293	359	307	97	479	774					
2	Число полученных избирательных бюллетеней	34954	2120	1310	1680	1080	1590	1860	1530	1830	853	313	500	400	553	241	593	66	140	1059	760	228	343	487	520	277	519	380	1065	560	327	412	720	451	198	175	258	602	1780	403	160	920	54	425	237	328	465	606	484	307	245	227	294	363	310	100	471	775					
3	"Число избирательных бюллетеней, выданных  досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных в день голосования"	18484	985	560	746	481	754	800	740	742	481	165	292	233	398	137	308	36	96	521	367	74	173	273	291	192	375	190	573	295	193	271	445	238	104	70	118	394	1010	260	82	558	39	198	114	162	311	345	232	148	171	176	151	188	201	58	358	611					
5	"Число избирательных бюллетеней, выданных вне помещения"	4055	95	45	149	104	64	76	67	62	100	56	19	69	54	36	128	18	16	240	157	91	84	46	59	35	13	79	87	53	44	58	111	52	50	73	86	98	141	43	45	127	8	113	70	79	61	98	118	68	62	24	107	101	59	26	31	0					
6	Число погашенных избирательных бюллетеней	12415	1040	705	785	495	772	984	723	1026	272	92	189	98	101	68	157	12	28	298	236	63	86	168	170	50	131	111	405	212	90	83	164	161	44	32	54	110	629	100	33	235	7	114	53	87	93	163	134	91	12	27	36	74	50	16	82	164					
7	Число избирательных бюллетеней в переносных ящиках	4055	95	45	149	104	64	76	67	62	100	56	19	69	54	36	128	18	16	240	157	91	84	46	59	35	13	79	87	53	44	58	111	52	50	73	86	98	141	43	45	127	8	113	70	79	61	98	118	68	62	24	107	101	59	26	31	0					
8	Число бюллетеней в стационарных ящиках для голосования	18484	985	560	746	481	754	800	740	742	481	165	292	233	398	137	308	36	96	521	367	74	173	273	291	192	375	190	573	295	193	271	445	238	104	70	118	394	1010	260	82	558	39	198	114	162	311	345	232	148	171	176	151	188	201	58	358	611					
9	Число недействительных избирательных бюллетеней	220	15	7	11	5	7	8	8	11	10	0	1	5	2	2	6	0	2	3	5	2	9	2	8	1	6	2	10	4	2	3	1	0	0	0	4	0	14	3	0	11	1	3	1	1	9	0	1	1	0	1	3	2	0	0	5	2					
10	Число действительных избирательных бюллетеней	22319	1065	598	884	580	811	868	799	793	571	221	310	297	450	171	430	54	110	758	519	163	248	317	342	226	382	267	650	344	235	326	555	290	154	143	200	492	1137	300	127	674	46	308	183	240	363	443	349	215	233	199	255	287	260	84	384	609					
