Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																													
Дата голосования: 18.09.2016																																													
																																													
"Наименование Избирательной комиссии:    Чита, Черновская"																																													
																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																													
																																													
		Сумма	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №8000									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	67711	2736	2293	2361	2439	2446	2510	2652	1139	2069	2349	2166	2371	2801	1717	2450	2320	1827	2622	2154	894	1515	1874	2655	2233	950	1842	1375	966	1058	593	1182	903	674	5575									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	101450	2700	2100	2300	2400	2400	2500	2600	1100	2000	2300	2000	2300	2800	1700	2400	2300	1800	2600	2100	750	1500	1800	2600	2200	900	1800	1300	900	1000	500	1200	900	600	41100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	115									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	23543	843	862	787	856	847	816	796	248	694	581	644	641	776	503	806	744	649	758	703	105	314	605	508	490	251	404	448	228	468	85	197	160	274	5452									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	787	13	7	17	7	11	5	44	34	8	15	80	3	16	7	16	14	19	27	16	87	19	29	19	30	16	13	13	17	10	34	13	22	98	8									
6	Число погашенных избирательных бюллетеней	77005	1844	1231	1496	1537	1542	1679	1760	818	1298	1704	1276	1656	2008	1190	1578	1542	1132	1815	1381	558	1167	1166	2073	1680	633	1383	839	655	522	381	990	718	228	35525									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	902	13	7	17	7	11	5	44	34	8	15	80	3	16	7	16	14	19	27	16	87	19	29	19	30	16	13	13	17	10	34	13	22	98	123									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	23529	830	862	787	856	847	816	796	248	694	581	644	641	775	503	806	744	649	758	703	105	314	605	508	490	251	404	448	228	468	85	197	160	274	5452									
9	Число недействительных избирательных бюллетеней	789	29	18	20	38	20	29	24	21	25	15	19	18	23	13	31	24	24	24	19	5	8	13	28	12	13	11	10	12	15	6	6	3	0	213									
10	Число действительных избирательных бюллетеней	23642	814	851	784	825	838	792	816	261	677	581	705	626	768	497	791	734	644	761	700	187	325	621	499	508	254	406	451	233	463	113	204	179	372	5362									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	847	30	30	30	30	30	30	32	30	30	30	30	30	30	30	30	30	30	30	30	10	10	20	20	20	20	30	30	30	30	10	10	10	10	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	287	8	12	13	12	12	15	29	4	12	7	13	18	14	6	15	14	10	9	5	0	9	5	6	6	1	7	7	4	3	3	7	1	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	331	5	8	15	7	6	4	13	4	8	10	9	7	1	2	6	6	6	8	12	2	2	9	2	4	5	8	5	4	7	1	5	8	1	131									
14	Число погашенных неиспользованных открепительных удостоверений	560	22	18	17	18	18	15	3	26	18	23	17	12	16	24	15	16	20	21	25	10	1	15	14	14	19	23	23	26	27	7	3	9	10	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	58	1	4	2	3	3	9	2	2	2	1	2	5	2	2	4	0	1	1	1	1	0	1	2	2	0	0	0	2	1	1	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	315	13	9	10	20	13	9	10	3	7	6	5	3	9	10	16	16	14	14	7	0	4	8	2	7	6	2	8	3	5	1	0	2	3	70									
		1.29%	1.54%	1.04%	1.24%	2.32%	1.52%	1.10%	1.19%	1.06%	0.99%	1.01%	0.69%	0.47%	1.14%	1.96%	1.95%	2.11%	2.10%	1.78%	0.97%	0.00%	1.20%	1.26%	0.38%	1.35%	2.25%	0.48%	1.74%	1.22%	1.05%	0.84%	0.00%	1.10%	0.81%	1.26%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	817	33	39	27	35	29	28	29	9	30	26	19	17	24	23	30	27	30	44	49	10	14	29	35	17	6	19	23	8	12	2	8	4	11	71									
		3.34%	3.91%	4.49%	3.36%	4.06%	3.38%	3.41%	3.45%	3.19%	4.27%	4.36%	2.62%	2.64%	3.03%	4.51%	3.65%	3.56%	4.49%	5.61%	6.82%	5.21%	4.20%	4.57%	6.64%	3.27%	2.25%	4.56%	4.99%	3.27%	2.51%	1.68%	3.81%	2.20%	2.96%	1.27%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	516	16	20	19	16	18	27	12	5	10	13	16	20	19	17	33	13	17	25	13	4	10	23	9	12	5	9	15	5	14	1	4	1	5	70									
		2.11%	1.90%	2.30%	2.36%	1.85%	2.10%	3.29%	1.43%	1.77%	1.42%	2.18%	2.21%	3.11%	2.40%	3.33%	4.01%	1.72%	2.54%	3.18%	1.81%	2.08%	3.00%	3.63%	1.71%	2.31%	1.87%	2.16%	3.25%	2.04%	2.93%	0.84%	1.90%	0.55%	1.34%	1.26%									
